parent;pagetitle;content1;content2;price;picture;picture-big;brand;
75;Радиоприемник SUPRA SA-30FM bl /blue;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/audiovideo/radiopriyomniki?mfr=2092">SUPRA</a> </li>                        <li class="tec-char"><span>Часы:</span> Есть </li>                        <li class="tec-char"><span>Работа от сети:</span> Есть </li>                        <li class="tec-char"><span>Тип радиоприемника:</span> радиобудильник </li>                        <li class="tec-char"><span>Тип тюнера:</span> аналоговый </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Часы:</td><td>Есть&nbsp-</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Выход на наушники:</td><td>Нет&nbsp-</td></tr>						<tr><td class="tthlbl">Количество динамиков:</td><td>1&nbsp-</td></tr>						<tr><td class="tthlbl">Прием:</td><td>FM-СВ-УКВ&nbsp-</td></tr>						<tr><td class="tthlbl">Работа от сети:</td><td>Есть&nbsp-</td></tr>						<tr><td class="tthlbl">Тип радиоприемника:</td><td>радиобудильник&nbsp-</td></tr>						<tr><td class="tthlbl">Тип тюнера:</td><td>аналоговый&nbsp-</td></tr>					</table>;520;assets/images/audiovideo/radiopriyomniki/Radiopriemnik-SUPRA-SA-30FM-bl--blue_STI0MzI0N1R0TDE4MA.jpg;assets/images/audiovideo/radiopriyomniki/Radiopriemnik-SUPRA-SA-30FM-bl--blue_STI0MzI0N1Rp.jpg;SUPRA;
75;Радиоприемник SUPRA SA-16FM(black-blue);<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/audiovideo/radiopriyomniki?mfr=2092">SUPRA</a> </li>                        <li class="tec-char"><span>Часы:</span> Есть </li>                        <li class="tec-char"><span>Тип элементов питания:</span> 6F22 (крона) </li>                        <li class="tec-char"><span>Работа от сети:</span> Есть </li>                        <li class="tec-char"><span>Тип радиоприемника:</span> радиобудильник </li>                        <li class="tec-char"><span>Тип тюнера:</span> аналоговый </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Часы:</td><td>Есть&nbsp-</td></tr>						<tr><th colspan="2">Питание</th></tr>						<tr><td class="tthlbl">Тип элементов питания:</td><td>6F22 (крона)&nbsp-</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Выход на наушники:</td><td>Есть&nbsp-</td></tr>						<tr><td class="tthlbl">Количество динамиков:</td><td>1&nbsp-</td></tr>						<tr><td class="tthlbl">Прием:</td><td>FM-СВ-УКВ&nbsp-</td></tr>						<tr><td class="tthlbl">Работа от сети:</td><td>Есть&nbsp-</td></tr>						<tr><td class="tthlbl">Тип радиоприемника:</td><td>радиобудильник&nbsp-</td></tr>						<tr><td class="tthlbl">Тип тюнера:</td><td>аналоговый&nbsp-</td></tr>					</table>;771;assets/images/audiovideo/radiopriyomniki/Radiopriemnik-SUPRA-SA-16FM%28black-blue%29_STI0NjI1NlR0TDE4MA.jpg;assets/images/audiovideo/radiopriyomniki/Radiopriemnik-SUPRA-SA-16FM%28black-blue%29_STI0NjI1NlRp.jpg;SUPRA;
75;Радиоприемник SUPRA SA-16FM(black-blue);<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/audiovideo/radiopriyomniki?mfr=2092">SUPRA</a> </li>                        <li class="tec-char"><span>Часы:</span> Есть </li>                        <li class="tec-char"><span>Тип элементов питания:</span> 6F22 (крона) </li>                        <li class="tec-char"><span>Работа от сети:</span> Есть </li>                        <li class="tec-char"><span>Тип радиоприемника:</span> радиобудильник </li>                        <li class="tec-char"><span>Тип тюнера:</span> аналоговый </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Часы:</td><td>Есть&nbsp-</td></tr>						<tr><th colspan="2">Питание</th></tr>						<tr><td class="tthlbl">Тип элементов питания:</td><td>6F22 (крона)&nbsp-</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Выход на наушники:</td><td>Есть&nbsp-</td></tr>						<tr><td class="tthlbl">Количество динамиков:</td><td>1&nbsp-</td></tr>						<tr><td class="tthlbl">Прием:</td><td>FM-СВ-УКВ&nbsp-</td></tr>						<tr><td class="tthlbl">Работа от сети:</td><td>Есть&nbsp-</td></tr>						<tr><td class="tthlbl">Тип радиоприемника:</td><td>радиобудильник&nbsp-</td></tr>						<tr><td class="tthlbl">Тип тюнера:</td><td>аналоговый&nbsp-</td></tr>					</table>;771;assets/images/audiovideo/radiopriyomniki/Radiopriemnik-SUPRA-SA-16FM%28black-blue%29_STI0NjI1NlR0TDE4MA.jpg;assets/images/audiovideo/radiopriyomniki/Radiopriemnik-SUPRA-SA-16FM%28black-blue%29_STI0NjI1NlRp.jpg;SUPRA;
75;Радиоприемник SUPRA ST-110 B;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/audiovideo/radiopriyomniki?mfr=2092">SUPRA</a> </li>                        <li class="tec-char"><span>Часы:</span> Есть </li>                        <li class="tec-char"><span>Тип элементов питания:</span> D </li>                        <li class="tec-char"><span>Работа от сети:</span> Есть </li>                        <li class="tec-char"><span>Тип радиоприемника:</span> переносной </li>                        <li class="tec-char"><span>Тип тюнера:</span> аналоговый </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Часы:</td><td>Есть&nbsp-</td></tr>						<tr><th colspan="2">Питание</th></tr>						<tr><td class="tthlbl">Тип элементов питания:</td><td>D&nbsp-</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Выход на наушники:</td><td>Есть&nbsp-</td></tr>						<tr><td class="tthlbl">Выходная мощность:</td><td>1&nbsp-Вт</td></tr>						<tr><td class="tthlbl">Прием:</td><td>FM-ДВ-КВ-СВ-УКВ&nbsp-</td></tr>						<tr><td class="tthlbl">Работа от сети:</td><td>Есть&nbsp-</td></tr>						<tr><td class="tthlbl">Тип радиоприемника:</td><td>переносной&nbsp-</td></tr>						<tr><td class="tthlbl">Тип тюнера:</td><td>аналоговый&nbsp-</td></tr>					</table>;584;assets/images/audiovideo/radiopriyomniki/Radiopriemnik-SUPRA-ST-110-B_STI0MzI3OFR0TDE4MA.jpg;assets/images/audiovideo/radiopriyomniki/Radiopriemnik-SUPRA-ST-110-B_STI0MzI3OFRp.jpg;SUPRA;
75;Радиоприемник ERISSON RC-1302 Grey metallic;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/audiovideo/radiopriyomniki?mfr=726">ERISSON</a> </li>                        <li class="tec-char"><span>Часы:</span> Есть </li>                        <li class="tec-char"><span>Дисплей:</span> Есть </li>                        <li class="tec-char"><span>Работа от сети:</span> Есть </li>                        <li class="tec-char"><span>Тип радиоприемника:</span> радиобудильник </li>                        <li class="tec-char"><span>Тип тюнера:</span> аналоговый </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Часы:</td><td>Есть&nbsp-</td></tr>						<tr><th colspan="2">Панель управления</th></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Есть&nbsp-</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Выходная мощность:</td><td>9&nbsp-Вт</td></tr>						<tr><td class="tthlbl">Работа от сети:</td><td>Есть&nbsp-</td></tr>						<tr><td class="tthlbl">Тип радиоприемника:</td><td>радиобудильник&nbsp-</td></tr>						<tr><td class="tthlbl">Тип тюнера:</td><td>аналоговый&nbsp-</td></tr>					</table>;254;assets/images/audiovideo/radiopriyomniki/Radiopriemnik-ERISSON-RC-1302-Grey-metallic_STI1MjM3M1R0TDE4MA.jpg;assets/images/audiovideo/radiopriyomniki/Radiopriemnik-ERISSON-RC-1302-Grey-metallic_STI1MjM3M1Rp.jpg;ERISSON;
75;Радиоприемник ERISSON RC-1215P White;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/audiovideo/radiopriyomniki?mfr=726">ERISSON</a> </li>                        <li class="tec-char"><span>Часы:</span> Есть </li>                        <li class="tec-char"><span>Дисплей:</span> Есть </li>                        <li class="tec-char"><span>Тип элементов питания:</span> AA </li>                        <li class="tec-char"><span>Работа от сети:</span> Есть </li>                        <li class="tec-char"><span>Тип радиоприемника:</span> радиобудильник </li>                        <li class="tec-char"><span>Тип тюнера:</span> цифровой </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Часы:</td><td>Есть&nbsp-</td></tr>						<tr><th colspan="2">Панель управления</th></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Есть&nbsp-</td></tr>						<tr><th colspan="2">Питание</th></tr>						<tr><td class="tthlbl">Тип элементов питания:</td><td>AA&nbsp-</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Количество батарей:</td><td>3&nbsp-</td></tr>						<tr><td class="tthlbl">Прием:</td><td>AM-FM&nbsp-</td></tr>						<tr><td class="tthlbl">Работа от сети:</td><td>Есть&nbsp-</td></tr>						<tr><td class="tthlbl">Тип радиоприемника:</td><td>радиобудильник&nbsp-</td></tr>						<tr><td class="tthlbl">Тип тюнера:</td><td>цифровой&nbsp-</td></tr>					</table>;717;assets/images/audiovideo/radiopriyomniki/Radiopriemnik-ERISSON-RC-1215P-White_STI1MjM3NVR0TDE4MA.jpg;assets/images/audiovideo/radiopriyomniki/Radiopriemnik-ERISSON-RC-1215P-White_STI1MjM3NVRp.jpg;ERISSON;
75;Радиобудильник ERISSON RC-101U Black;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/audiovideo/radiopriyomniki?mfr=726">ERISSON</a> </li>                        <li class="tec-char"><span>Часы:</span> Есть </li>                        <li class="tec-char"><span>Дисплей:</span> Есть </li>                        <li class="tec-char"><span>Работа от сети:</span> Есть </li>                        <li class="tec-char"><span>Тип радиоприемника:</span> радиобудильник </li>                        <li class="tec-char"><span>Тип тюнера:</span> аналоговый </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Часы:</td><td>Есть&nbsp-</td></tr>						<tr><th colspan="2">Панель управления</th></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Есть&nbsp-</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Количество динамиков:</td><td>1&nbsp-</td></tr>						<tr><td class="tthlbl">Прием:</td><td>FM-СВ&nbsp-</td></tr>						<tr><td class="tthlbl">Работа от сети:</td><td>Есть&nbsp-</td></tr>						<tr><td class="tthlbl">Тип радиоприемника:</td><td>радиобудильник&nbsp-</td></tr>						<tr><td class="tthlbl">Тип тюнера:</td><td>аналоговый&nbsp-</td></tr>					</table>;1009;assets/images/audiovideo/radiopriyomniki/Radiobudilnik-ERISSON-RC-101U-Black_STI1MDAyOFR0TDE4MA.jpg;assets/images/audiovideo/radiopriyomniki/Radiobudilnik-ERISSON-RC-101U-Black_STI1MDAyOFRp.jpg;ERISSON;
75;Радиоприемник ERISSON RC-1202 Silver;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/audiovideo/radiopriyomniki?mfr=726">ERISSON</a> </li>                        <li class="tec-char"><span>Часы:</span> Есть </li>                        <li class="tec-char"><span>Дисплей:</span> Есть </li>                        <li class="tec-char"><span>Тип элементов питания:</span> AA </li>                        <li class="tec-char"><span>Работа от сети:</span> Есть </li>                        <li class="tec-char"><span>Тип радиоприемника:</span> радиобудильник </li>                        <li class="tec-char"><span>Тип тюнера:</span> цифровой </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Часы:</td><td>Есть&nbsp-</td></tr>						<tr><th colspan="2">Панель управления</th></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Есть&nbsp-</td></tr>						<tr><th colspan="2">Питание</th></tr>						<tr><td class="tthlbl">Тип элементов питания:</td><td>AA&nbsp-</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Количество батарей:</td><td>2&nbsp-</td></tr>						<tr><td class="tthlbl">Прием:</td><td>AM-FM&nbsp-</td></tr>						<tr><td class="tthlbl">Работа от сети:</td><td>Есть&nbsp-</td></tr>						<tr><td class="tthlbl">Тип радиоприемника:</td><td>радиобудильник&nbsp-</td></tr>						<tr><td class="tthlbl">Тип тюнера:</td><td>цифровой&nbsp-</td></tr>					</table>;655;assets/images/audiovideo/radiopriyomniki/Radiopriemnik-ERISSON-RC-1202-Silver_STI1MjM2N1R0TDE4MA.jpg;assets/images/audiovideo/radiopriyomniki/Radiopriemnik-ERISSON-RC-1202-Silver_STI1MjM2N1Rp.jpg;ERISSON;
75;Радиоприемник ERISSON RC-2202A Silver;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/audiovideo/radiopriyomniki?mfr=726">ERISSON</a> </li>                        <li class="tec-char"><span>Часы:</span> Есть </li>                        <li class="tec-char"><span>Дисплей:</span> Есть </li>                        <li class="tec-char"><span>Тип элементов питания:</span> AA </li>                        <li class="tec-char"><span>Работа от сети:</span> Есть </li>                        <li class="tec-char"><span>Тип радиоприемника:</span> радиобудильник </li>                        <li class="tec-char"><span>Тип тюнера:</span> цифровой </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Часы:</td><td>Есть&nbsp-</td></tr>						<tr><th colspan="2">Панель управления</th></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Есть&nbsp-</td></tr>						<tr><th colspan="2">Питание</th></tr>						<tr><td class="tthlbl">Тип элементов питания:</td><td>AA&nbsp-</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Количество батарей:</td><td>2&nbsp-</td></tr>						<tr><td class="tthlbl">Прием:</td><td>AM-FM&nbsp-</td></tr>						<tr><td class="tthlbl">Работа от сети:</td><td>Есть&nbsp-</td></tr>						<tr><td class="tthlbl">Тип радиоприемника:</td><td>радиобудильник&nbsp-</td></tr>						<tr><td class="tthlbl">Тип тюнера:</td><td>цифровой&nbsp-</td></tr>					</table>;580;assets/images/audiovideo/radiopriyomniki/Radiopriemnik-ERISSON-RC-2202A-Silver_STI1MjM3OFR0TDE4MA.jpg;assets/images/audiovideo/radiopriyomniki/Radiopriemnik-ERISSON-RC-2202A-Silver_STI1MjM3OFRp.jpg;ERISSON;
75;Радиоприемник PANASONIC RC-Q720EP S;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/audiovideo/radiopriyomniki?mfr=1617">PANASONIC</a> </li>                        <li class="tec-char"><span>Высота:</span> 6.4 см</li>                        <li class="tec-char"><span>Глубина:</span> 14.9 см</li>                        <li class="tec-char"><span>Ширина:</span> 21.5 см</li>                        <li class="tec-char"><span>Часы:</span> Есть </li>                        <li class="tec-char"><span>Тип элементов питания:</span> 6F22 (крона) </li>                        <li class="tec-char"><span>Работа от сети:</span> Есть </li>                        <li class="tec-char"><span>Тип радиоприемника:</span> радиобудильник </li>                        <li class="tec-char"><span>Тип тюнера:</span> аналоговый </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Высота:</td><td>6.4&nbsp-см</td></tr>						<tr><td class="tthlbl">Глубина:</td><td>14.9&nbsp-см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>21.5&nbsp-см</td></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>0.65&nbsp-кг</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Часы:</td><td>Есть&nbsp-</td></tr>						<tr><th colspan="2">Питание</th></tr>						<tr><td class="tthlbl">Тип элементов питания:</td><td>6F22 (крона)&nbsp-</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Выход на наушники:</td><td>Нет&nbsp-</td></tr>						<tr><td class="tthlbl">Количество динамиков:</td><td>2&nbsp-</td></tr>						<tr><td class="tthlbl">Прием:</td><td>FM-СВ-УКВ&nbsp-</td></tr>						<tr><td class="tthlbl">Работа от сети:</td><td>Есть&nbsp-</td></tr>						<tr><td class="tthlbl">Тип радиоприемника:</td><td>радиобудильник&nbsp-</td></tr>						<tr><td class="tthlbl">Тип тюнера:</td><td>аналоговый&nbsp-</td></tr>					</table>;1211;assets/images/audiovideo/radiopriyomniki/Radiopriemnik-PANASONIC-RC-Q720EP-S_STI0OTY5OFR0TDE4MA.jpg;assets/images/audiovideo/radiopriyomniki/Radiopriemnik-PANASONIC-RC-Q720EP-S_STI0OTY5OFRp.jpg;PANASONIC;
