parent;pagetitle;content1;content2;price;picture;picture-big;brand;
7791;Декоративная рамка FAGOR TU-2 I;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/embedded/aksessuary_i_sredstva_uhoda?mfr=777">FAGOR</a> </li>                        <li class="tec-char"><span>Тип аксессуара:</span> декоративная рамка </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Тип аксессуара:</td><td>декоративная рамка</td></tr>					</table>;1;assets/images/embedded/aksessuary_i_sredstva_uhoda/Dekorativnaya-ramka-FAGOR-TU-2-I_STU0NTU5VHRMMTgw.jpg;assets/images/embedded/aksessuary_i_sredstva_uhoda/Dekorativnaya-ramka-FAGOR-TU-2-I_STU0NTU5VGk.jpg;FAGOR;
7791;Набор для ухода за духовыми шкафами MAGIC POWER МР-21080;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/embedded/aksessuary_i_sredstva_uhoda?mfr=2730">MAGIC POWER</a> </li>                        <li class="tec-char"><span>Вид:</span> жидкость </li>                        <li class="tec-char"><span>Распылитель:</span> Есть </li>                        <li class="tec-char"><span>Тип аксессуара:</span> чистящее средство </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Вид:</td><td>жидкость</td></tr>						<tr><td class="tthlbl">Распылитель:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Тип аксессуара:</td><td>чистящее средство</td></tr>					</table>;500;assets/images/embedded/aksessuary_i_sredstva_uhoda/Nabor-dlya-ukhoda-za-dukhovymi-shkafami-MAGIC-POWER-MR-21080_STIyODUyMlR0TDE4MA.jpg;assets/images/embedded/aksessuary_i_sredstva_uhoda/Nabor-dlya-ukhoda-za-dukhovymi-shkafami-MAGIC-POWER-MR-21080_STIyODUyMlRp.jpg;MAGIC POWER;
7791;Набор для ухода за духовыми шкафами MAGIC POWER МР-21080;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/embedded/aksessuary_i_sredstva_uhoda?mfr=2730">MAGIC POWER</a> </li>                        <li class="tec-char"><span>Вид:</span> жидкость </li>                        <li class="tec-char"><span>Распылитель:</span> Есть </li>                        <li class="tec-char"><span>Тип аксессуара:</span> чистящее средство </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Вид:</td><td>жидкость</td></tr>						<tr><td class="tthlbl">Распылитель:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Тип аксессуара:</td><td>чистящее средство</td></tr>					</table>;500;assets/images/embedded/aksessuary_i_sredstva_uhoda/Nabor-dlya-ukhoda-za-dukhovymi-shkafami-MAGIC-POWER-MR-21080_STIyODUyMlR0TDE4MA.jpg;assets/images/embedded/aksessuary_i_sredstva_uhoda/Nabor-dlya-ukhoda-za-dukhovymi-shkafami-MAGIC-POWER-MR-21080_STIyODUyMlRp.jpg;MAGIC POWER;
7791;Противень MIELE HSSB 61;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/embedded/aksessuary_i_sredstva_uhoda?mfr=1409">MIELE</a> </li>                        <li class="tec-char"><span>Тип аксессуара:</span> противень </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Тип аксессуара:</td><td>противень</td></tr>					</table>;2399;assets/images/embedded/aksessuary_i_sredstva_uhoda/Protiven-MIELE-HSSB-61_STU0MDIwVHRMMTgw.jpg;assets/images/embedded/aksessuary_i_sredstva_uhoda/Protiven-MIELE-HSSB-61_STU0MDIwVGk.jpg;MIELE;
7791;Декоративная планка MIELE HKL 60;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/embedded/aksessuary_i_sredstva_uhoda?mfr=1409">MIELE</a> </li>                        <li class="tec-char"><span>Тип аксессуара:</span> декоративная планка </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Тип аксессуара:</td><td>декоративная планка</td></tr>					</table>;2487;assets/images/embedded/aksessuary_i_sredstva_uhoda/Dekorativnaya-planka-MIELE-HKL-60_STU0MDM1VHRMMTgw.jpg;assets/images/embedded/aksessuary_i_sredstva_uhoda/Dekorativnaya-planka-MIELE-HKL-60_STU0MDM1VGk.jpg;MIELE;
7791;Комплект телескопических направляющих KUPPERSBERG Комплект телескопических направляющих;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/embedded/aksessuary_i_sredstva_uhoda?mfr=1224">KUPPERSBERG</a> </li>                        <li class="tec-char"><span>Тип аксессуара:</span> телескопические направляющие </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Тип аксессуара:</td><td>телескопические направляющие</td></tr>					</table>;3740;assets/images/embedded/aksessuary_i_sredstva_uhoda/Teleskopicheskie-napravlyayushhie-MIELE-HFC-60_STU0MDE5VHRMMTgw.jpg;assets/images/embedded/aksessuary_i_sredstva_uhoda/img_STQ5MTUzVHRMMTA1.jpg;KUPPERSBERG;
7791;Телескопические направляющие MIELE HFC 60;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/embedded/aksessuary_i_sredstva_uhoda?mfr=1409">MIELE</a> </li>                        <li class="tec-char"><span>Тип аксессуара:</span> телескопические направляющие </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Тип аксессуара:</td><td>телескопические направляющие</td></tr>					</table>;4499;assets/images/embedded/aksessuary_i_sredstva_uhoda/Teleskopicheskie-napravlyayushhie-MIELE-HFC-60_STU0MDE5VHRMMTgw.jpg;assets/images/embedded/aksessuary_i_sredstva_uhoda/Teleskopicheskie-napravlyayushhie-MIELE-HFC-60_STU0MDE5VGk.jpg;MIELE;
7791;Телескопические направляющие MIELE HFC 61;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/embedded/aksessuary_i_sredstva_uhoda?mfr=1409">MIELE</a> </li>                        <li class="tec-char"><span>Тип аксессуара:</span> телескопические направляющие </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Тип аксессуара:</td><td>телескопические направляющие</td></tr>					</table>;5279;assets/images/embedded/aksessuary_i_sredstva_uhoda/Teleskopicheskie-napravlyayushhie-MIELE-HFC-61_STU0MDI0VHRMMTgw.jpg;assets/images/embedded/aksessuary_i_sredstva_uhoda/Teleskopicheskie-napravlyayushhie-MIELE-HFC-61_STU0MDI0VGk.jpg;MIELE;
7791;Ваккумный упаковщик для хранения продуктов PROFI COOK PC VK 1015;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/embedded/aksessuary_i_sredstva_uhoda?mfr=2827">PROFI COOK</a> </li>                        <li class="tec-char"><span>Тип аксессуара:</span> ваккумный упаковщик </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Тип аксессуара:</td><td>ваккумный упаковщик</td></tr>					</table>;5980;assets/images/embedded/aksessuary_i_sredstva_uhoda/Vakkumnyy-upakovshhik-dlya-khraneniya-produktov-PROFI-COOK-PC-VK-1015_STI0NzUwM1R0TDE4MA.jpg;assets/images/embedded/aksessuary_i_sredstva_uhoda/Vakkumnyy-upakovshhik-dlya-khraneniya-produktov-PROFI-COOK-PC-VK-1015_STI0NzUwM1Rp.jpg;PROFI COOK;
7791;Сменная панель управления MIELE GW 143 сталь Clean Steel;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/embedded/aksessuary_i_sredstva_uhoda?mfr=1409">MIELE</a> </li>                        <li class="tec-char"><span>Тип аксессуара:</span> панель управления </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Тип аксессуара:</td><td>панель управления</td></tr>					</table>;6299;assets/images/embedded/aksessuary_i_sredstva_uhoda/Smennaya-panel-upravleniya-MIELE-GW-143-stal-Clean-Steel_STIzMjkxNVR0TDE4MA.jpg;assets/images/embedded/aksessuary_i_sredstva_uhoda/Smennaya-panel-upravleniya-MIELE-GW-143-stal-Clean-Steel_STIzMjkxNVRp.jpg;MIELE;
