parent;pagetitle;content1;content2;price;picture;picture-big;brand;
82;Духовой шкаф ZANUSSI ZOU 481 N;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/embedded/duhovyje_shkafy_elektricheskije/zavisimyje?mfr=2421">ZANUSSI</a> </li>                        <li class="tec-char"><span>Дверца духовки:</span> откидная </li>                        <li class="tec-char"><span>Объём духовки:</span> 53 л</li>                        <li class="tec-char"><span>Очистка духовки:</span> традиционная </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Вертел:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Дверца духовки:</td><td>откидная</td></tr>						<tr><td class="tthlbl">Объём духовки:</td><td>53л</td></tr>						<tr><td class="tthlbl">Очистка духовки:</td><td>традиционная</td></tr>					</table>;13693;assets/images/embedded/duhovyje_shkafy_elektricheskije_zavisimye/Dukhovoy-shkaf-ZANUSSI-ZOU-481-N_STQ0MTIzVHRMMTgw.jpg;assets/images/embedded/duhovyje_shkafy_elektricheskije_zavisimye/Dukhovoy-shkaf-ZANUSSI-ZOU-481-N_STQ0MTIzVGk.jpg;ZANUSSI;
82;Духовой шкаф ELECTROLUX EON 33100 K;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/embedded/duhovyje_shkafy_elektricheskije/zavisimyje?mfr=680">ELECTROLUX</a> </li>                        <li class="tec-char"><span>Дверца духовки:</span> откидная </li>                        <li class="tec-char"><span>Объём духовки:</span> 58 л</li>                        <li class="tec-char"><span>Очистка духовки:</span> традиционная </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Вертел:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Дверца духовки:</td><td>откидная</td></tr>						<tr><td class="tthlbl">Объём духовки:</td><td>58л</td></tr>						<tr><td class="tthlbl">Очистка духовки:</td><td>традиционная</td></tr>					</table>;14199;assets/images/embedded/duhovyje_shkafy_elektricheskije_zavisimye/Dukhovoy-shkaf-ELECTROLUX-EON-33100-K_STQyMzU2VHRMMTgw.jpg;assets/images/embedded/duhovyje_shkafy_elektricheskije_zavisimye/Dukhovoy-shkaf-ELECTROLUX-EON-33100-K_STQyMzU2VGk.jpg;ELECTROLUX;
82;Духовой шкаф ELECTROLUX EON 33100 K;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/embedded/duhovyje_shkafy_elektricheskije/zavisimyje?mfr=680">ELECTROLUX</a> </li>                        <li class="tec-char"><span>Дверца духовки:</span> откидная </li>                        <li class="tec-char"><span>Объём духовки:</span> 58 л</li>                        <li class="tec-char"><span>Очистка духовки:</span> традиционная </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Вертел:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Дверца духовки:</td><td>откидная</td></tr>						<tr><td class="tthlbl">Объём духовки:</td><td>58л</td></tr>						<tr><td class="tthlbl">Очистка духовки:</td><td>традиционная</td></tr>					</table>;14199;assets/images/embedded/duhovyje_shkafy_elektricheskije_zavisimye/Dukhovoy-shkaf-ELECTROLUX-EON-33100-K_STQyMzU2VHRMMTgw.jpg;assets/images/embedded/duhovyje_shkafy_elektricheskije_zavisimye/Dukhovoy-shkaf-ELECTROLUX-EON-33100-K_STQyMzU2VGk.jpg;ELECTROLUX;
82;Духовой шкаф KUPPERSBERG HO 663 E;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/embedded/duhovyje_shkafy_elektricheskije/zavisimyje?mfr=1224">KUPPERSBERG</a> </li>                        <li class="tec-char"><span>Высота:</span> 59.5 см</li>                        <li class="tec-char"><span>Глубина:</span> 54 см</li>                        <li class="tec-char"><span>Ширина:</span> 59.5 см</li>                        <li class="tec-char"><span>Гриль:</span> Есть </li>                        <li class="tec-char"><span>Дверца духовки:</span> откидная </li>                        <li class="tec-char"><span>Объём духовки:</span> 56 л</li>                        <li class="tec-char"><span>Очистка духовки:</span> каталитическая </li>                        <li class="tec-char"><span>Переключатели:</span> утапливаемые </li>                        <li class="tec-char"><span>Способ подключения:</span> электрическая </li>                        <li class="tec-char"><span>Таймер:</span> Есть </li>                        <li class="tec-char"><span>Тип духовки:</span> зависимая </li>                        <li class="tec-char"><span>Цвет:</span> серебристый </li>                        <li class="tec-char"><span>Часы:</span> Есть </li>                        <li class="tec-char"><span>Дисплей:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Высота:</td><td>59.5см</td></tr>						<tr><td class="tthlbl">Глубина:</td><td>54см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>59.5см</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Вентилятор охлаждения:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Вертел:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Гриль:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Дверца духовки:</td><td>откидная</td></tr>						<tr><td class="tthlbl">Класс энергопотребления:</td><td>A</td></tr>						<tr><td class="tthlbl">Количество стекол дверцы духовки:</td><td>2</td></tr>						<tr><td class="tthlbl">Конвекция:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Объём духовки:</td><td>56л</td></tr>						<tr><td class="tthlbl">Очистка духовки:</td><td>каталитическая</td></tr>						<tr><td class="tthlbl">Переключатели:</td><td>утапливаемые</td></tr>						<tr><td class="tthlbl">Подсветка камеры:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Способ подключения:</td><td>электрическая</td></tr>						<tr><td class="tthlbl">Таймер:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Тип гриля:</td><td>электрический</td></tr>						<tr><td class="tthlbl">Тип духовки:</td><td>зависимая</td></tr>						<tr><td class="tthlbl">Функциональность духовки:</td><td>многофункциональная</td></tr>						<tr><td class="tthlbl">Цвет:</td><td>серебристый</td></tr>						<tr><td class="tthlbl">Часы:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Есть</td></tr>					</table>;15000;assets/images/embedded/duhovyje_shkafy_elektricheskije_zavisimye/Dukhovoy-shkaf-KUPPERSBERG-HO-663-E_STQ1MjcyVHRMMTgw.jpg;assets/images/embedded/duhovyje_shkafy_elektricheskije_zavisimye/Dukhovoy-shkaf-KUPPERSBERG-HO-663-E_STQ1MjcyVGk.jpg;KUPPERSBERG;
82;Духовой шкаф AEG EE 5013411 M;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/embedded/duhovyje_shkafy_elektricheskije/zavisimyje?mfr=38">AEG</a> </li>                        <li class="tec-char"><span>Высота:</span> 59.4 см</li>                        <li class="tec-char"><span>Глубина:</span> 56 см</li>                        <li class="tec-char"><span>Ширина:</span> 59.4 см</li>                        <li class="tec-char"><span>Гриль:</span> Есть </li>                        <li class="tec-char"><span>Дверца духовки:</span> откидная </li>                        <li class="tec-char"><span>Защитное отключение:</span> Есть </li>                        <li class="tec-char"><span>Мощность подключения:</span> 3500 кВт</li>                        <li class="tec-char"><span>Объём духовки:</span> 74 л</li>                        <li class="tec-char"><span>Очистка духовки:</span> традиционная </li>                        <li class="tec-char"><span>Переключатели:</span> утапливаемые </li>                        <li class="tec-char"><span>Способ подключения:</span> электрическая </li>                        <li class="tec-char"><span>Таймер:</span> Есть </li>                        <li class="tec-char"><span>Тип духовки:</span> зависимая </li>                        <li class="tec-char"><span>Цвет:</span> серебристый </li>                        <li class="tec-char"><span>Часы:</span> Есть </li>                        <li class="tec-char"><span>Дисплей:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Высота:</td><td>59.4см</td></tr>						<tr><td class="tthlbl">Глубина:</td><td>56см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>59.4см</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Вентилятор охлаждения:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Вертел:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Гриль:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Дверца духовки:</td><td>откидная</td></tr>						<tr><td class="tthlbl">Защитное отключение:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Класс энергопотребления:</td><td>A</td></tr>						<tr><td class="tthlbl">Конвекция:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Мощность подключения:</td><td>3500кВт</td></tr>						<tr><td class="tthlbl">Объём духовки:</td><td>74л</td></tr>						<tr><td class="tthlbl">Очистка духовки:</td><td>традиционная</td></tr>						<tr><td class="tthlbl">Переключатели:</td><td>утапливаемые</td></tr>						<tr><td class="tthlbl">Подсветка камеры:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Способ подключения:</td><td>электрическая</td></tr>						<tr><td class="tthlbl">Таймер:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Тип духовки:</td><td>зависимая</td></tr>						<tr><td class="tthlbl">Функциональность духовки:</td><td>многофункциональная</td></tr>						<tr><td class="tthlbl">Цвет:</td><td>серебристый</td></tr>						<tr><td class="tthlbl">Часы:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Есть</td></tr>					</table>;9589;assets/images/embedded/duhovyje_shkafy_elektricheskije_zavisimye/Dukhovoy-shkaf-AEG-EE-5013411-M_STIzNjM0N1R0TDE4MA.jpg;assets/images/embedded/duhovyje_shkafy_elektricheskije_zavisimye/Dukhovoy-shkaf-AEG-EE-5013411-M_STIzNjM0N1Rp.jpg;AEG;
82;Встраиваемый комплект HANSA BCCM 68466080;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/embedded/duhovyje_shkafy_elektricheskije/zavisimyje?mfr=958">HANSA</a> </li>                        <li class="tec-char"><span>Высота:</span> 60 см</li>                        <li class="tec-char"><span>Глубина:</span> 54 см</li>                        <li class="tec-char"><span>Ширина:</span> 59.5 см</li>                        <li class="tec-char"><span>Мощность подключения:</span> 3100 кВт</li>                        <li class="tec-char"><span>Объём духовки:</span> 58 л</li>                        <li class="tec-char"><span>Очистка духовки:</span> традиционная </li>                        <li class="tec-char"><span>Способ подключения:</span> электрическая </li>                        <li class="tec-char"><span>Тип духовки:</span> независимая </li>                        <li class="tec-char"><span>Цвет:</span> серебристый </li>                        <li class="tec-char"><span>Дисплей:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Высота:</td><td>60см</td></tr>						<tr><td class="tthlbl">Глубина:</td><td>54см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>59.5см</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Мощность подключения:</td><td>3100кВт</td></tr>						<tr><td class="tthlbl">Объём духовки:</td><td>58л</td></tr>						<tr><td class="tthlbl">Очистка духовки:</td><td>традиционная</td></tr>						<tr><td class="tthlbl">Способ подключения:</td><td>электрическая</td></tr>						<tr><td class="tthlbl">Тип духовки:</td><td>независимая</td></tr>						<tr><td class="tthlbl">Цвет:</td><td>серебристый</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Есть</td></tr>					</table>;9589;assets/images/embedded/duhovyje_shkafy_elektricheskije_zavisimye/Vstraivaemyy-komplekt-HANSA-BCCM-68466080_STU0Njg4VHRMMTgw.jpg;assets/images/embedded/duhovyje_shkafy_elektricheskije_zavisimye/Vstraivaemyy-komplekt-HANSA-BCCM-68466080_STU0Njg4VGk.jpg;HANSA;
82;Встраиваемый комплект HANSA BCCI 65135050;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/embedded/duhovyje_shkafy_elektricheskije/zavisimyje?mfr=958">HANSA</a> </li>                        <li class="tec-char"><span>Высота:</span> 58.3 см</li>                        <li class="tec-char"><span>Глубина:</span> 54.6 см</li>                        <li class="tec-char"><span>Ширина:</span> 56 см</li>                        <li class="tec-char"><span>Мощность подключения:</span> 1.2 кВт</li>                        <li class="tec-char"><span>Объём духовки:</span> 62.5 л</li>                        <li class="tec-char"><span>Очистка духовки:</span> традиционная </li>                        <li class="tec-char"><span>Переключатели:</span> поворотные </li>                        <li class="tec-char"><span>Способ подключения:</span> электрическая </li>                        <li class="tec-char"><span>Тип духовки:</span> зависимая </li>                        <li class="tec-char"><span>Цвет:</span> нержавеющая сталь </li>                        <li class="tec-char"><span>Дисплей:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Высота:</td><td>58.3см</td></tr>						<tr><td class="tthlbl">Глубина:</td><td>54.6см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>56см</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Класс энергопотребления:</td><td>A</td></tr>						<tr><td class="tthlbl">Мощность подключения:</td><td>1.2кВт</td></tr>						<tr><td class="tthlbl">Объём духовки:</td><td>62.5л</td></tr>						<tr><td class="tthlbl">Очистка духовки:</td><td>традиционная</td></tr>						<tr><td class="tthlbl">Переключатели:</td><td>поворотные</td></tr>						<tr><td class="tthlbl">Способ подключения:</td><td>электрическая</td></tr>						<tr><td class="tthlbl">Тип гриля:</td><td>электрический</td></tr>						<tr><td class="tthlbl">Тип духовки:</td><td>зависимая</td></tr>						<tr><td class="tthlbl">Цвет:</td><td>нержавеющая сталь</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Есть</td></tr>					</table>;9589;assets/images/embedded/duhovyje_shkafy_elektricheskije_zavisimye/Vstraivaemyy-komplekt-HANSA-BCCI-65135050_STU0NjkxVHRMMTgw.jpg;assets/images/embedded/duhovyje_shkafy_elektricheskije_zavisimye/Vstraivaemyy-komplekt-HANSA-BCCI-65135050_STU0NjkxVGk.jpg;HANSA;
82;Духовой шкаф MIELE H 4212 E;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/embedded/duhovyje_shkafy_elektricheskije/zavisimyje?mfr=1409">MIELE</a> </li>                        <li class="tec-char"><span>Высота:</span> 59.5 см</li>                        <li class="tec-char"><span>Глубина:</span> 56.5 см</li>                        <li class="tec-char"><span>Ширина:</span> 59.5 см</li>                        <li class="tec-char"><span>Мощность подключения:</span> 11200 кВт</li>                        <li class="tec-char"><span>Объём духовки:</span> 50 л</li>                        <li class="tec-char"><span>Очистка духовки:</span> традиционная </li>                        <li class="tec-char"><span>Способ подключения:</span> электрическая </li>                        <li class="tec-char"><span>Тип духовки:</span> независимая </li>                        <li class="tec-char"><span>Цвет:</span> серебристый </li>                        <li class="tec-char"><span>Дисплей:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Высота:</td><td>59.5см</td></tr>						<tr><td class="tthlbl">Глубина:</td><td>56.5см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>59.5см</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Вертел:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Мощность подключения:</td><td>11200кВт</td></tr>						<tr><td class="tthlbl">Объём духовки:</td><td>50л</td></tr>						<tr><td class="tthlbl">Очистка духовки:</td><td>традиционная</td></tr>						<tr><td class="tthlbl">Способ подключения:</td><td>электрическая</td></tr>						<tr><td class="tthlbl">Тип духовки:</td><td>независимая</td></tr>						<tr><td class="tthlbl">Цвет:</td><td>серебристый</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Есть</td></tr>					</table>;9589;assets/images/embedded/duhovyje_shkafy_elektricheskije_zavisimye/Dukhovoy-shkaf-MIELE-H-4212-E_STQzMTc2VHRMMTgw.jpg;assets/images/embedded/duhovyje_shkafy_elektricheskije_zavisimye/Dukhovoy-shkaf-MIELE-H-4212-E_STQzMTc2VGk.jpg;MIELE;
82;Встраиваемый комплект HANSA BCCS 68488040;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/embedded/duhovyje_shkafy_elektricheskije/zavisimyje?mfr=958">HANSA</a> </li>                        <li class="tec-char"><span>Высота:</span> 59 см</li>                        <li class="tec-char"><span>Глубина:</span> 56 см</li>                        <li class="tec-char"><span>Ширина:</span> 56 см</li>                        <li class="tec-char"><span>Гриль:</span> Есть </li>                        <li class="tec-char"><span>Дверца духовки:</span> откидная </li>                        <li class="tec-char"><span>Защитное отключение:</span> Есть </li>                        <li class="tec-char"><span>Мощность гриля:</span> 2 Вт</li>                        <li class="tec-char"><span>Объём духовки:</span> 62.5 л</li>                        <li class="tec-char"><span>Очистка духовки:</span> каталитическая </li>                        <li class="tec-char"><span>Переключатели:</span> утапливаемые </li>                        <li class="tec-char"><span>Способ подключения:</span> электрическая </li>                        <li class="tec-char"><span>Тип духовки:</span> зависимая </li>                        <li class="tec-char"><span>Цвет:</span> зеркальный </li>                        <li class="tec-char"><span>Часы:</span> Есть </li>                        <li class="tec-char"><span>Дисплей:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Высота:</td><td>59см</td></tr>						<tr><td class="tthlbl">Глубина:</td><td>56см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>56см</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Вертел:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Гриль:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Дверца духовки:</td><td>откидная</td></tr>						<tr><td class="tthlbl">Защитное отключение:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Класс энергопотребления:</td><td>A</td></tr>						<tr><td class="tthlbl">Количество стекол дверцы духовки:</td><td>2</td></tr>						<tr><td class="tthlbl">Конвекция:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Мощность гриля:</td><td>2Вт</td></tr>						<tr><td class="tthlbl">Объём духовки:</td><td>62.5л</td></tr>						<tr><td class="tthlbl">Очистка духовки:</td><td>каталитическая</td></tr>						<tr><td class="tthlbl">Переключатели:</td><td>утапливаемые</td></tr>						<tr><td class="tthlbl">Подсветка камеры:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Способ подключения:</td><td>электрическая</td></tr>						<tr><td class="tthlbl">Телескопические направляющие:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Тип гриля:</td><td>электрический</td></tr>						<tr><td class="tthlbl">Тип духовки:</td><td>зависимая</td></tr>						<tr><td class="tthlbl">Функциональность духовки:</td><td>многофункциональная</td></tr>						<tr><td class="tthlbl">Цвет:</td><td>зеркальный</td></tr>						<tr><td class="tthlbl">Часы:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Есть</td></tr>					</table>;9589;assets/images/embedded/duhovyje_shkafy_elektricheskije_zavisimye/Vstraivaemyy-komplekt-HANSA-BCCS-68488040_STU0NjkzVHRMMTgw.jpg;assets/images/embedded/duhovyje_shkafy_elektricheskije_zavisimye/Vstraivaemyy-komplekt-HANSA-BCCS-68488040_STU0NjkzVGk.jpg;HANSA;
82;Духовой шкаф ZANUSSI ZOU 231 X;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/embedded/duhovyje_shkafy_elektricheskije/zavisimyje?mfr=2421">ZANUSSI</a> </li>                        <li class="tec-char"><span>Высота:</span> 59 см</li>                        <li class="tec-char"><span>Глубина:</span> 56 см</li>                        <li class="tec-char"><span>Ширина:</span> 59.4 см</li>                        <li class="tec-char"><span>Гриль:</span> Есть </li>                        <li class="tec-char"><span>Дверца духовки:</span> откидная </li>                        <li class="tec-char"><span>Мощность подключения:</span> 9.5 кВт</li>                        <li class="tec-char"><span>Объём духовки:</span> 56 л</li>                        <li class="tec-char"><span>Очистка духовки:</span> традиционная </li>                        <li class="tec-char"><span>Переключатели:</span> поворотные </li>                        <li class="tec-char"><span>Способ подключения:</span> электрическая </li>                        <li class="tec-char"><span>Тип духовки:</span> независимая </li>                        <li class="tec-char"><span>Цвет:</span> серебристый </li>                        <li class="tec-char"><span>Дисплей:</span> Нет </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Высота:</td><td>59см</td></tr>						<tr><td class="tthlbl">Глубина:</td><td>56см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>59.4см</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Вентилятор охлаждения:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Вертел:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Гриль:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Дверца духовки:</td><td>откидная</td></tr>						<tr><td class="tthlbl">Класс энергопотребления:</td><td>A</td></tr>						<tr><td class="tthlbl">Количество стекол дверцы духовки:</td><td>2</td></tr>						<tr><td class="tthlbl">Мощность подключения:</td><td>9.5кВт</td></tr>						<tr><td class="tthlbl">Объём духовки:</td><td>56л</td></tr>						<tr><td class="tthlbl">Очистка духовки:</td><td>традиционная</td></tr>						<tr><td class="tthlbl">Переключатели:</td><td>поворотные</td></tr>						<tr><td class="tthlbl">Подсветка камеры:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Способ подключения:</td><td>электрическая</td></tr>						<tr><td class="tthlbl">Тип гриля:</td><td>электрический</td></tr>						<tr><td class="tthlbl">Тип духовки:</td><td>независимая</td></tr>						<tr><td class="tthlbl">Функциональность духовки:</td><td>многофункциональная</td></tr>						<tr><td class="tthlbl">Цвет:</td><td>серебристый</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Нет</td></tr>					</table>;9589;assets/images/embedded/duhovyje_shkafy_elektricheskije_zavisimye/Dukhovoy-shkaf-ZANUSSI-ZOU-231-X_STIyOTU4NlR0TDE4MA.jpg;assets/images/embedded/duhovyje_shkafy_elektricheskije_zavisimye/Dukhovoy-shkaf-ZANUSSI-ZOU-231-X_STIyOTU4NlRp.jpg;ZANUSSI;
