parent;pagetitle;content1;content2;price;picture;picture-big;brand;
6508;Измельчитель пищевых отходов BONE CRUSHER BC-600;;;8910;assets/images/embedded/izmel_chiteli_pishhevyh_otkhodov/Izmelchitel-pishhevykh-otkhodov-BONE-CRUSHER-BC-600_STI0NjcyMlR0TDE4MA.jpg;assets/images/embedded/izmel_chiteli_pishhevyh_otkhodov/Izmelchitel-pishhevykh-otkhodov-BONE-CRUSHER-BC-600_STI0NjcyMlRp.jpg;;
6508;Измельчитель пищевых отходов BONE CRUSHER BC 800;;;10890;assets/images/embedded/izmel_chiteli_pishhevyh_otkhodov/Izmelchitel-pishhevykh-otkhodov-BONE-CRUSHER-BC-800_STI0NjcyMVR0TDE4MA.jpg;assets/images/embedded/izmel_chiteli_pishhevyh_otkhodov/Izmelchitel-pishhevykh-otkhodov-BONE-CRUSHER-BC-800_STI0NjcyMVRp.jpg;;
6508;Измельчитель пищевых отходов BONE CRUSHER BC 800;;;10890;assets/images/embedded/izmel_chiteli_pishhevyh_otkhodov/Izmelchitel-pishhevykh-otkhodov-BONE-CRUSHER-BC-800_STI0NjcyMVR0TDE4MA.jpg;assets/images/embedded/izmel_chiteli_pishhevyh_otkhodov/Izmelchitel-pishhevykh-otkhodov-BONE-CRUSHER-BC-800_STI0NjcyMVRp.jpg;;
6508;Измельчитель пищевых отходов BONE CRUSHER ВС-900;;;12870;assets/images/embedded/izmel_chiteli_pishhevyh_otkhodov/Izmelchitel-pishhevykh-otkhodov-BONE-CRUSHER-VS-900_STI0NjcyMFR0TDE4MA.jpg;assets/images/embedded/izmel_chiteli_pishhevyh_otkhodov/Izmelchitel-pishhevykh-otkhodov-BONE-CRUSHER-VS-900_STI0NjcyMFRp.jpg;;
6508;Измельчитель пищевых отходов FRIGIDAIRE FD 7500;;;10399;assets/images/embedded/izmel_chiteli_pishhevyh_otkhodov/Izmelchitel-pishhevykh-otkhodov-FRIGIDAIRE-FD-7500_STU0NDk3VHRMMTgw.jpg;assets/images/embedded/izmel_chiteli_pishhevyh_otkhodov/Izmelchitel-pishhevykh-otkhodov-FRIGIDAIRE-FD-7500_STU0NDk3VGk.jpg;;
6508;Измельчитель пищевых отходов FRIGIDAIRE FD 10000;;;10399;assets/images/embedded/izmel_chiteli_pishhevyh_otkhodov/Izmelchitel-pishhevykh-otkhodov-FRIGIDAIRE-FD-10000_STU0NDQ1VHRMMTgw.jpg;assets/images/embedded/izmel_chiteli_pishhevyh_otkhodov/Izmelchitel-pishhevykh-otkhodov-FRIGIDAIRE-FD-10000_STU0NDQ1VGk.jpg;;
6508;Измельчитель пищевых отходов In Sink Erator ISE 65;;;10399;assets/images/embedded/izmel_chiteli_pishhevyh_otkhodov/Izmelchitel-pishhevykh-otkhodov-In-Sink-Erator-ISE-65_STI0Njc5OVR0TDE4MA.jpg;assets/images/embedded/izmel_chiteli_pishhevyh_otkhodov/Izmelchitel-pishhevykh-otkhodov-In-Sink-Erator-ISE-65_STI0Njc5OVRp.jpg;;
6508;Измельчитель пищевых отходов In Sink Erator ISE EVOLUTION 100;;;14399;assets/images/embedded/izmel_chiteli_pishhevyh_otkhodov/Izmelchitel-pishhevykh-otkhodov-In-Sink-Erator-ISE-EVOLUTION-100_STI0Njc4NVR0TDE4MA.jpg;assets/images/embedded/izmel_chiteli_pishhevyh_otkhodov/Izmelchitel-pishhevykh-otkhodov-In-Sink-Erator-ISE-EVOLUTION-100_STI0Njc4NVRp.jpg;;
6508;Измельчитель пищевых отходов In Sink Erator ISE EVOLUTION 200;;;16949;assets/images/embedded/izmel_chiteli_pishhevyh_otkhodov/Izmelchitel-pishhevykh-otkhodov-In-Sink-Erator-ISE-EVOLUTION-200_STI0NjgyMFR0TDE4MA.jpg;assets/images/embedded/izmel_chiteli_pishhevyh_otkhodov/Izmelchitel-pishhevykh-otkhodov-In-Sink-Erator-ISE-EVOLUTION-200_STI0NjgyMFRp.jpg;;
6508;Измельчитель пищевых отходов BONE CRUSHER BC-1000;;;39600;assets/images/embedded/izmel_chiteli_pishhevyh_otkhodov/Izmelchitel-pishhevykh-otkhodov-BONE-CRUSHER-BC-1000_STI0Njc2N1R0TDE4MA.jpg;assets/images/embedded/izmel_chiteli_pishhevyh_otkhodov/Izmelchitel-pishhevykh-otkhodov-BONE-CRUSHER-BC-1000_STI0Njc2N1Rp.jpg;;
