parent;pagetitle;content1;content2;price;picture;picture-big;brand;;
16;Блендеры SUPRA HBS-625 white/black;"<ul class=""tec-char"">                        <li class=""tec-char""><span>Код марки:</span> <a href=""http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/blendery?mfr=2092"">SUPRA</a> </li>                        <li class=""tec-char""><span>Материал корпуса:</span> пластик </li>                        <li class=""tec-char""><span>Материал погружной части:</span> пластик </li>                        <li class=""tec-char""><span>Мощность:</span> 250 Вт</li>                        <li class=""tec-char""><span>Тип блендера:</span> погружной </li>                        <li class=""tec-char""><span>Количество скоростей:</span> 2 </li>						</ul>";"<table class=""item-tec-char"" id=""tthtable"">						<tr><th colspan=""2""></th></tr>						<tr><th colspan=""2"">Особенности</th></tr>						<tr><td class=""tthlbl"">Материал корпуса:</td><td>пластик</td></tr>						<tr><td class=""tthlbl"">Материал погружной части:</td><td>пластик</td></tr>						<tr><th colspan=""2"">Технические характеристики</th></tr>						<tr><td class=""tthlbl"">Мощность:</td><td>250Вт</td></tr>						<tr><td class=""tthlbl"">Тип блендера:</td><td>погружной</td></tr>						<tr><th colspan=""2"">Управление</th></tr>						<tr><td class=""tthlbl"">Количество скоростей:</td><td>2</td></tr>						<tr><th colspan=""2"">Функциональные возможности</th></tr>						<tr><td class=""tthlbl"">Дополнительные режимы:</td><td>импульсныйм</td></tr>						<tr><td class=""tthlbl"">Мельничка:</td><td>Есть</td></tr>					</table>";595;assets/images/kuhonnaya-technika/blendery/Blendery-SUPRA-HBS-625-white-black_STI0NTA4NVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/blendery/Blendery-SUPRA-HBS-625-white-black_STI0NTA4NVRp.jpg;SUPRA;;
16;Блендеры SUPRA HBS-625 white/ivory;"<ul class=""tec-char"">                        <li class=""tec-char""><span>Код марки:</span> <a href=""http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/blendery?mfr=2092"">SUPRA</a> </li>                        <li class=""tec-char""><span>Материал корпуса:</span> пластик </li>                        <li class=""tec-char""><span>Материал погружной части:</span> пластик </li>                        <li class=""tec-char""><span>Мощность:</span> 250 Вт</li>                        <li class=""tec-char""><span>Тип блендера:</span> погружной </li>                        <li class=""tec-char""><span>Количество скоростей:</span> 2 </li>						</ul>";"<table class=""item-tec-char"" id=""tthtable"">						<tr><th colspan=""2""></th></tr>						<tr><th colspan=""2"">Особенности</th></tr>						<tr><td class=""tthlbl"">Материал корпуса:</td><td>пластик</td></tr>						<tr><td class=""tthlbl"">Материал погружной части:</td><td>пластик</td></tr>						<tr><th colspan=""2"">Технические характеристики</th></tr>						<tr><td class=""tthlbl"">Мощность:</td><td>250Вт</td></tr>						<tr><td class=""tthlbl"">Тип блендера:</td><td>погружной</td></tr>						<tr><th colspan=""2"">Управление</th></tr>						<tr><td class=""tthlbl"">Количество скоростей:</td><td>2</td></tr>						<tr><th colspan=""2"">Функциональные возможности</th></tr>						<tr><td class=""tthlbl"">Дополнительные режимы:</td><td>импульсныйм</td></tr>						<tr><td class=""tthlbl"">Мельничка:</td><td>Есть</td></tr>					</table>";595;assets/images/kuhonnaya-technika/blendery/Blendery-SUPRA-HBS-625-white-ivory_STI0Nzc0MlR0TDE4MA.jpg;assets/images/kuhonnaya-technika/blendery/Blendery-SUPRA-HBS-625-white-ivory_STI0Nzc0MlRp.jpg;SUPRA;;
16;Блендеры SUPRA HBS-625 white/ivory;"<ul class=""tec-char"">                        <li class=""tec-char""><span>Код марки:</span> <a href=""http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/blendery?mfr=2092"">SUPRA</a> </li>                        <li class=""tec-char""><span>Материал корпуса:</span> пластик </li>                        <li class=""tec-char""><span>Материал погружной части:</span> пластик </li>                        <li class=""tec-char""><span>Мощность:</span> 250 Вт</li>                        <li class=""tec-char""><span>Тип блендера:</span> погружной </li>                        <li class=""tec-char""><span>Количество скоростей:</span> 2 </li>						</ul>";"<table class=""item-tec-char"" id=""tthtable"">						<tr><th colspan=""2""></th></tr>						<tr><th colspan=""2"">Особенности</th></tr>						<tr><td class=""tthlbl"">Материал корпуса:</td><td>пластик</td></tr>						<tr><td class=""tthlbl"">Материал погружной части:</td><td>пластик</td></tr>						<tr><th colspan=""2"">Технические характеристики</th></tr>						<tr><td class=""tthlbl"">Мощность:</td><td>250Вт</td></tr>						<tr><td class=""tthlbl"">Тип блендера:</td><td>погружной</td></tr>						<tr><th colspan=""2"">Управление</th></tr>						<tr><td class=""tthlbl"">Количество скоростей:</td><td>2</td></tr>						<tr><th colspan=""2"">Функциональные возможности</th></tr>						<tr><td class=""tthlbl"">Дополнительные режимы:</td><td>импульсныйм</td></tr>						<tr><td class=""tthlbl"">Мельничка:</td><td>Есть</td></tr>					</table>";595;assets/images/kuhonnaya-technika/blendery/Blendery-SUPRA-HBS-625-white-ivory_STI0Nzc0MlR0TDE4MA.jpg;assets/images/kuhonnaya-technika/blendery/Blendery-SUPRA-HBS-625-white-ivory_STI0Nzc0MlRp.jpg;SUPRA;;
16;Блендеры SUPRA HBS-635;"<ul class=""tec-char"">                        <li class=""tec-char""><span>Код марки:</span> <a href=""http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/blendery?mfr=2092"">SUPRA</a> </li>                        <li class=""tec-char""><span>Тип управления:</span> механическое </li>                        <li class=""tec-char""><span>Материал корпуса:</span> металл </li>                        <li class=""tec-char""><span>Материал погружной части:</span> металл </li>                        <li class=""tec-char""><span>Мощность:</span> 350 Вт</li>                        <li class=""tec-char""><span>Тип блендера:</span> погружной </li>                        <li class=""tec-char""><span>Количество скоростей:</span> 2 </li>						</ul>";"<table class=""item-tec-char"" id=""tthtable"">						<tr><th colspan=""2""></th></tr>						<tr><th colspan=""2"">Общие характеристики</th></tr>						<tr><td class=""tthlbl"">Тип управления:</td><td>механическое</td></tr>						<tr><th colspan=""2"">Особенности</th></tr>						<tr><td class=""tthlbl"">Материал корпуса:</td><td>металл</td></tr>						<tr><td class=""tthlbl"">Материал погружной части:</td><td>металл</td></tr>						<tr><th colspan=""2"">Технические характеристики</th></tr>						<tr><td class=""tthlbl"">Мощность:</td><td>350Вт</td></tr>						<tr><td class=""tthlbl"">Тип блендера:</td><td>погружной</td></tr>						<tr><th colspan=""2"">Управление</th></tr>						<tr><td class=""tthlbl"">Количество скоростей:</td><td>2</td></tr>						<tr><th colspan=""2"">Функциональные возможности</th></tr>						<tr><td class=""tthlbl"">Дополнительные режимы:</td><td>импульсныйм</td></tr>					</table>";607;assets/images/kuhonnaya-technika/blendery/Blendery-SUPRA-HBS-635_STI0NTA4M1R0TDE4MA.jpg;assets/images/kuhonnaya-technika/blendery/Blendery-SUPRA-HBS-635_STI0NTA4M1Rp.jpg;SUPRA;;
16;Блендер BOSCH MSM 6B100;"<ul class=""tec-char"">                        <li class=""tec-char""><span>Код марки:</span> <a href=""http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/blendery?mfr=343"">BOSCH</a> </li>                        <li class=""tec-char""><span>Тип управления:</span> механическое </li>                        <li class=""tec-char""><span>Материал корпуса:</span> пластик </li>                        <li class=""tec-char""><span>Материал погружной части:</span> пластик </li>                        <li class=""tec-char""><span>Емкость кувшина:</span> 0.6 л</li>                        <li class=""tec-char""><span>Мощность:</span> 250 Вт</li>                        <li class=""tec-char""><span>Тип блендера:</span> погружной </li>                        <li class=""tec-char""><span>Турборежим:</span> Нет </li>                        <li class=""tec-char""><span>Количество скоростей:</span> 1 </li>						</ul>";"<table class=""item-tec-char"" id=""tthtable"">						<tr><th colspan=""2""></th></tr>						<tr><th colspan=""2"">Общие характеристики</th></tr>						<tr><td class=""tthlbl"">Тип управления:</td><td>механическое</td></tr>						<tr><th colspan=""2"">Особенности</th></tr>						<tr><td class=""tthlbl"">Длина сетевого шнура:</td><td>1.24м</td></tr>						<tr><td class=""tthlbl"">Материал корпуса:</td><td>пластик</td></tr>						<tr><td class=""tthlbl"">Материал кувшина:</td><td>пластик</td></tr>						<tr><td class=""tthlbl"">Материал погружной части:</td><td>пластик</td></tr>						<tr><th colspan=""2"">Технические характеристики</th></tr>						<tr><td class=""tthlbl"">Емкость кувшина:</td><td>0.6л</td></tr>						<tr><td class=""tthlbl"">Мощность:</td><td>250Вт</td></tr>						<tr><td class=""tthlbl"">Тип блендера:</td><td>погружной</td></tr>						<tr><td class=""tthlbl"">Турборежим:</td><td>Нет</td></tr>						<tr><th colspan=""2"">Управление</th></tr>						<tr><td class=""tthlbl"">Количество скоростей:</td><td>1</td></tr>						<tr><th colspan=""2"">Функциональные возможности</th></tr>						<tr><td class=""tthlbl"">Измельчитель:</td><td>Есть</td></tr>					</table>";707;assets/images/kuhonnaya-technika/blendery/Blender-BOSCH-MSM-6B100_STEzNDM4OVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/blendery/Blender-BOSCH-MSM-6B100_STEzNDM4OVRp.jpg;BOSCH;;
16;Блендер BOSCH MSM 6B150;"<ul class=""tec-char"">                        <li class=""tec-char""><span>Код марки:</span> <a href=""http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/blendery?mfr=343"">BOSCH</a> </li>                        <li class=""tec-char""><span>Тип управления:</span> механическое </li>                        <li class=""tec-char""><span>Материал корпуса:</span> пластик </li>                        <li class=""tec-char""><span>Материал погружной части:</span> пластик </li>                        <li class=""tec-char""><span>Емкость кувшина:</span> 1.25 л</li>                        <li class=""tec-char""><span>Мощность:</span> 300 Вт</li>                        <li class=""tec-char""><span>Тип блендера:</span> погружной </li>                        <li class=""tec-char""><span>Турборежим:</span> Есть </li>                        <li class=""tec-char""><span>Количество скоростей:</span> 1 </li>						</ul>";"<table class=""item-tec-char"" id=""tthtable"">						<tr><th colspan=""2""></th></tr>						<tr><th colspan=""2"">Общие характеристики</th></tr>						<tr><td class=""tthlbl"">Тип управления:</td><td>механическое</td></tr>						<tr><th colspan=""2"">Особенности</th></tr>						<tr><td class=""tthlbl"">Длина сетевого шнура:</td><td>1.24м</td></tr>						<tr><td class=""tthlbl"">Материал корпуса:</td><td>пластик</td></tr>						<tr><td class=""tthlbl"">Материал погружной части:</td><td>пластик</td></tr>						<tr><th colspan=""2"">Технические характеристики</th></tr>						<tr><td class=""tthlbl"">Емкость кувшина:</td><td>1.25л</td></tr>						<tr><td class=""tthlbl"">Мощность:</td><td>300Вт</td></tr>						<tr><td class=""tthlbl"">Тип блендера:</td><td>погружной</td></tr>						<tr><td class=""tthlbl"">Турборежим:</td><td>Есть</td></tr>						<tr><th colspan=""2"">Управление</th></tr>						<tr><td class=""tthlbl"">Импульсный режим:</td><td>Есть</td></tr>						<tr><td class=""tthlbl"">Количество скоростей:</td><td>1</td></tr>						<tr><th colspan=""2"">Функциональные возможности</th></tr>						<tr><td class=""tthlbl"">Измельчитель:</td><td>Есть</td></tr>						<tr><td class=""tthlbl"">Мерный стакан:</td><td>Есть</td></tr>					</table>";755;assets/images/kuhonnaya-technika/blendery/Blender-BOSCH-MSM-6B150_STEzNDQzMVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/blendery/Blender-BOSCH-MSM-6B150_STEzNDQzMVRp.jpg;BOSCH;;
16;Блендер PHILIPS HR 1342;"<ul class=""tec-char"">                        <li class=""tec-char""><span>Код марки:</span> <a href=""http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/blendery?mfr=1652"">PHILIPS</a> </li>                        <li class=""tec-char""><span>Тип управления:</span> механическое </li>                        <li class=""tec-char""><span>Материал корпуса:</span> пластик </li>                        <li class=""tec-char""><span>Материал погружной части:</span> пластик </li>                        <li class=""tec-char""><span>Емкость кувшина:</span> 0.5 л</li>                        <li class=""tec-char""><span>Мощность:</span> 300 Вт</li>                        <li class=""tec-char""><span>Тип блендера:</span> погружной </li>                        <li class=""tec-char""><span>Турборежим:</span> Нет </li>                        <li class=""tec-char""><span>Количество скоростей:</span> 1 </li>						</ul>";"<table class=""item-tec-char"" id=""tthtable"">						<tr><th colspan=""2""></th></tr>						<tr><th colspan=""2"">Габариты и вес</th></tr>						<tr><td class=""tthlbl"">Вес:</td><td>1кг</td></tr>						<tr><th colspan=""2"">Общие характеристики</th></tr>						<tr><td class=""tthlbl"">Тип управления:</td><td>механическое</td></tr>						<tr><th colspan=""2"">Особенности</th></tr>						<tr><td class=""tthlbl"">Материал корпуса:</td><td>пластик</td></tr>						<tr><td class=""tthlbl"">Материал погружной части:</td><td>пластик</td></tr>						<tr><th colspan=""2"">Технические характеристики</th></tr>						<tr><td class=""tthlbl"">Емкость кувшина:</td><td>0.5л</td></tr>						<tr><td class=""tthlbl"">Мощность:</td><td>300Вт</td></tr>						<tr><td class=""tthlbl"">Тип блендера:</td><td>погружной</td></tr>						<tr><td class=""tthlbl"">Турборежим:</td><td>Нет</td></tr>						<tr><th colspan=""2"">Управление</th></tr>						<tr><td class=""tthlbl"">Количество скоростей:</td><td>1</td></tr>						<tr><th colspan=""2"">Функциональные возможности</th></tr>						<tr><td class=""tthlbl"">Измельчитель:</td><td>Есть</td></tr>						<tr><td class=""tthlbl"">Мерный стакан:</td><td>Есть</td></tr>					</table>";899;assets/images/kuhonnaya-technika/blendery/Blender-PHILIPS-HR-1342_STIyODQwMlR0TDE4MA.jpg;assets/images/kuhonnaya-technika/blendery/Blender-PHILIPS-HR-1342_STIyODQwMlRp.jpg;PHILIPS;;
16;Блендеры BOSCH MSM 6150;"<ul class=""tec-char"">                        <li class=""tec-char""><span>Код марки:</span> <a href=""http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/blendery?mfr=343"">BOSCH</a> </li>                        <li class=""tec-char""><span>Тип управления:</span> электронное </li>                        <li class=""tec-char""><span>Материал корпуса:</span> пластик </li>                        <li class=""tec-char""><span>Материал погружной части:</span> пластик </li>                        <li class=""tec-char""><span>Емкость кувшина:</span> 0.6 л</li>                        <li class=""tec-char""><span>Мощность:</span> 400 Вт</li>                        <li class=""tec-char""><span>Тип блендера:</span> погружной </li>                        <li class=""tec-char""><span>Турборежим:</span> Есть </li>                        <li class=""tec-char""><span>Количество скоростей:</span> 2 </li>						</ul>";"<table class=""item-tec-char"" id=""tthtable"">						<tr><th colspan=""2""></th></tr>						<tr><th colspan=""2"">Габариты и вес</th></tr>						<tr><td class=""tthlbl"">Дополнительная информация:</td><td>Стакан для перерабатываемых продуктов: выполнен из пластика, мерные отметки на корпусе, крышка к стакану (для хранения приготовленных продуктов в холодильнике)</td></tr>						<tr><th colspan=""2"">Общие характеристики</th></tr>						<tr><td class=""tthlbl"">Тип управления:</td><td>электронное</td></tr>						<tr><th colspan=""2"">Особенности</th></tr>						<tr><td class=""tthlbl"">Материал корпуса:</td><td>пластик</td></tr>						<tr><td class=""tthlbl"">Материал погружной части:</td><td>пластик</td></tr>						<tr><th colspan=""2"">Технические характеристики</th></tr>						<tr><td class=""tthlbl"">Емкость кувшина:</td><td>0.6л</td></tr>						<tr><td class=""tthlbl"">Мощность:</td><td>400Вт</td></tr>						<tr><td class=""tthlbl"">Тип блендера:</td><td>погружной</td></tr>						<tr><td class=""tthlbl"">Турборежим:</td><td>Есть</td></tr>						<tr><th colspan=""2"">Управление</th></tr>						<tr><td class=""tthlbl"">Импульсный режим:</td><td>Есть</td></tr>						<tr><td class=""tthlbl"">Количество скоростей:</td><td>2</td></tr>						<tr><th colspan=""2"">Функциональные возможности</th></tr>						<tr><td class=""tthlbl"">Измельчитель:</td><td>Есть</td></tr>						<tr><td class=""tthlbl"">Мерный стакан:</td><td>Есть</td></tr>					</table>";902;assets/images/kuhonnaya-technika/blendery/Blendery-BOSCH-MSM-6150_STIzNzcwMVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/blendery/Blendery-BOSCH-MSM-6150_STIzNzcwMVRp.jpg;BOSCH;;
16;Блендер ELECTROLUX ESTM4200;"<ul class=""tec-char"">                        <li class=""tec-char""><span>Код марки:</span> <a href=""http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/blendery?mfr=680"">ELECTROLUX</a> </li>                        <li class=""tec-char""><span>Тип управления:</span> механическое </li>                        <li class=""tec-char""><span>Материал корпуса:</span> пластик </li>                        <li class=""tec-char""><span>Материал погружной части:</span> пластик </li>                        <li class=""tec-char""><span>Емкость кувшина:</span> 0.8 л</li>                        <li class=""tec-char""><span>Мощность:</span> 400 Вт</li>                        <li class=""tec-char""><span>Тип блендера:</span> погружной </li>                        <li class=""tec-char""><span>Турборежим:</span> Есть </li>                        <li class=""tec-char""><span>Количество скоростей:</span> 2 </li>						</ul>";"<table class=""item-tec-char"" id=""tthtable"">						<tr><th colspan=""2""></th></tr>						<tr><th colspan=""2"">Габариты и вес</th></tr>						<tr><td class=""tthlbl"">Вес:</td><td>1.2кг</td></tr>						<tr><th colspan=""2"">Общие характеристики</th></tr>						<tr><td class=""tthlbl"">Тип управления:</td><td>механическое</td></tr>						<tr><th colspan=""2"">Особенности</th></tr>						<tr><td class=""tthlbl"">Длина сетевого шнура:</td><td>1.8м</td></tr>						<tr><td class=""tthlbl"">Крепление на стену:</td><td>Есть</td></tr>						<tr><td class=""tthlbl"">Материал корпуса:</td><td>пластик</td></tr>						<tr><td class=""tthlbl"">Материал погружной части:</td><td>пластик</td></tr>						<tr><th colspan=""2"">Технические характеристики</th></tr>						<tr><td class=""tthlbl"">Емкость кувшина:</td><td>0.8л</td></tr>						<tr><td class=""tthlbl"">Мощность:</td><td>400Вт</td></tr>						<tr><td class=""tthlbl"">Тип блендера:</td><td>погружной</td></tr>						<tr><td class=""tthlbl"">Турборежим:</td><td>Есть</td></tr>						<tr><th colspan=""2"">Управление</th></tr>						<tr><td class=""tthlbl"">Импульсный режим:</td><td>Есть</td></tr>						<tr><td class=""tthlbl"">Количество скоростей:</td><td>2</td></tr>						<tr><th colspan=""2"">Функциональные возможности</th></tr>						<tr><td class=""tthlbl"">Мерный стакан:</td><td>Есть</td></tr>					</table>";949;assets/images/kuhonnaya-technika/blendery/Blender-ELECTROLUX-ESTM4200_STIzODIxMFR0TDE4MA.jpg;assets/images/kuhonnaya-technika/blendery/Blender-ELECTROLUX-ESTM4200_STIzODIxMFRp.jpg;ELECTROLUX;;
16;Блендер ZANUSSI ZSTM305;"<ul class=""tec-char"">                        <li class=""tec-char""><span>Код марки:</span> <a href=""http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/blendery?mfr=2421"">ZANUSSI</a> </li>                        <li class=""tec-char""><span>Высота:</span> 38.2 см</li>                        <li class=""tec-char""><span>Ширина:</span> 3.3 см</li>                        <li class=""tec-char""><span>Тип управления:</span> механическое </li>                        <li class=""tec-char""><span>Материал корпуса:</span> пластик </li>                        <li class=""tec-char""><span>Материал погружной части:</span> металл </li>                        <li class=""tec-char""><span>Мощность:</span> 400 Вт</li>                        <li class=""tec-char""><span>Тип блендера:</span> погружной </li>                        <li class=""tec-char""><span>Количество скоростей:</span> 2 </li>						</ul>";"<table class=""item-tec-char"" id=""tthtable"">						<tr><th colspan=""2""></th></tr>						<tr><th colspan=""2"">Габариты</th></tr>						<tr><td class=""tthlbl"">Высота:</td><td>38.2см</td></tr>						<tr><td class=""tthlbl"">Ширина:</td><td>3.3см</td></tr>						<tr><th colspan=""2"">Габариты и вес</th></tr>						<tr><td class=""tthlbl"">Вес:</td><td>1кг</td></tr>						<tr><th colspan=""2"">Общие характеристики</th></tr>						<tr><td class=""tthlbl"">Тип управления:</td><td>механическое</td></tr>						<tr><th colspan=""2"">Особенности</th></tr>						<tr><td class=""tthlbl"">Длина сетевого шнура:</td><td>1.5м</td></tr>						<tr><td class=""tthlbl"">Крепление на стену:</td><td>Есть</td></tr>						<tr><td class=""tthlbl"">Материал корпуса:</td><td>пластик</td></tr>						<tr><td class=""tthlbl"">Материал погружной части:</td><td>металл</td></tr>						<tr><th colspan=""2"">Технические характеристики</th></tr>						<tr><td class=""tthlbl"">Мощность:</td><td>400Вт</td></tr>						<tr><td class=""tthlbl"">Тип блендера:</td><td>погружной</td></tr>						<tr><th colspan=""2"">Управление</th></tr>						<tr><td class=""tthlbl"">Количество скоростей:</td><td>2</td></tr>					</table>";996;assets/images/kuhonnaya-technika/blendery/Blender-ZANUSSI-ZSTM305_STI0NTg2OFR0TDE4MA.jpg;assets/images/kuhonnaya-technika/blendery/Blender-ZANUSSI-ZSTM305_STI0NTg2OFRp.jpg;ZANUSSI;;
