parent;pagetitle;content1;content2;price;picture;picture-big;brand
406;Кофемолка SUPRA CGS-327 ivory;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/kofevarki_i_kofemashiny/kofemolki?mfr=2092">SUPRA</a> </li>                        <li class="tec-char"><span>Вместимость:</span> 50 г</li>                        <li class="tec-char"><span>Импульсный режим:</span> Есть </li>                        <li class="tec-char"><span>Мощность:</span> 150 Вт</li>                        <li class="tec-char"><span>Регулировка степени помола:</span> Нет </li>                        <li class="tec-char"><span>Система помола:</span> ротационный нож </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Блокировка включения при снятой крышке:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Приспособление для намотки шнура:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Вместимость:</td><td>50г</td></tr>						<tr><td class="tthlbl">Импульсный режим:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>150Вт</td></tr>						<tr><td class="tthlbl">Регулировка степени помола:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Система помола:</td><td>ротационный нож</td></tr>					</table>;519;assets/images/kuhonnaya-technika/kofemolki/Kofemolka-SUPRA-CGS-327-ivory_STI0NTA4OFR0TDE4MA.jpg;assets/images/kuhonnaya-technika/kofemolki/Kofemolka-SUPRA-CGS-327-ivory_STI0NTA4OFRp.jpg;SUPRA;
406;Кофемолка SUPRA CGS-327 black;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/kofevarki_i_kofemashiny/kofemolki?mfr=2092">SUPRA</a> </li>                        <li class="tec-char"><span>Вместимость:</span> 50 г</li>                        <li class="tec-char"><span>Импульсный режим:</span> Есть </li>                        <li class="tec-char"><span>Мощность:</span> 150 Вт</li>                        <li class="tec-char"><span>Регулировка степени помола:</span> Нет </li>                        <li class="tec-char"><span>Система помола:</span> ротационный нож </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Блокировка включения при снятой крышке:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Приспособление для намотки шнура:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Вместимость:</td><td>50г</td></tr>						<tr><td class="tthlbl">Импульсный режим:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>150Вт</td></tr>						<tr><td class="tthlbl">Регулировка степени помола:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Система помола:</td><td>ротационный нож</td></tr>					</table>;569;assets/images/kuhonnaya-technika/kofemolki/Kofemolka-SUPRA-CGS-327-black_STI0NTA4N1R0TDE4MA.jpg;assets/images/kuhonnaya-technika/kofemolki/Kofemolka-SUPRA-CGS-327-black_STI0NTA4N1Rp.jpg;SUPRA;
406;Кофемолка SUPRA CGS-327 black;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/kofevarki_i_kofemashiny/kofemolki?mfr=2092">SUPRA</a> </li>                        <li class="tec-char"><span>Вместимость:</span> 50 г</li>                        <li class="tec-char"><span>Импульсный режим:</span> Есть </li>                        <li class="tec-char"><span>Мощность:</span> 150 Вт</li>                        <li class="tec-char"><span>Регулировка степени помола:</span> Нет </li>                        <li class="tec-char"><span>Система помола:</span> ротационный нож </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Блокировка включения при снятой крышке:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Приспособление для намотки шнура:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Вместимость:</td><td>50г</td></tr>						<tr><td class="tthlbl">Импульсный режим:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>150Вт</td></tr>						<tr><td class="tthlbl">Регулировка степени помола:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Система помола:</td><td>ротационный нож</td></tr>					</table>;569;assets/images/kuhonnaya-technika/kofemolki/Kofemolka-SUPRA-CGS-327-black_STI0NTA4N1R0TDE4MA.jpg;assets/images/kuhonnaya-technika/kofemolki/Kofemolka-SUPRA-CGS-327-black_STI0NTA4N1Rp.jpg;SUPRA;
406;Кофемолка BINATONE CG 150B;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/kofevarki_i_kofemashiny/kofemolki?mfr=303">BINATONE</a> </li>                        <li class="tec-char"><span>Защита от перегрева:</span> Есть </li>                        <li class="tec-char"><span>Вместимость:</span> 60 г</li>                        <li class="tec-char"><span>Импульсный режим:</span> Есть </li>                        <li class="tec-char"><span>Мощность:</span> 150 Вт</li>                        <li class="tec-char"><span>Система помола:</span> ротационный нож </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Блокировка включения при снятой крышке:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Вес:</td><td>0.75кг</td></tr>						<tr><td class="tthlbl">Защита от перегрева:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Вместимость:</td><td>60г</td></tr>						<tr><td class="tthlbl">Импульсный режим:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>150Вт</td></tr>						<tr><td class="tthlbl">Объем емкости для молотого кофе:</td><td>60г</td></tr>						<tr><td class="tthlbl">Система помола:</td><td>ротационный нож</td></tr>					</table>;739;assets/images/kuhonnaya-technika/kofemolki/Kofemolka-BINATONE-CG-150B_STI0MTQwMVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/kofemolki/Kofemolka-BINATONE-CG-150B_STI0MTQwMVRp.jpg;BINATONE;
406;Кофемолка BINATONE CG 150W;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/kofevarki_i_kofemashiny/kofemolki?mfr=303">BINATONE</a> </li>                        <li class="tec-char"><span>Защита от перегрева:</span> Есть </li>                        <li class="tec-char"><span>Вместимость:</span> 60 г</li>                        <li class="tec-char"><span>Импульсный режим:</span> Есть </li>                        <li class="tec-char"><span>Мощность:</span> 150 Вт</li>                        <li class="tec-char"><span>Регулировка степени помола:</span> Нет </li>                        <li class="tec-char"><span>Система помола:</span> ротационный нож </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Блокировка включения при снятой крышке:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Защита от перегрева:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Вместимость:</td><td>60г</td></tr>						<tr><td class="tthlbl">Импульсный режим:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>150Вт</td></tr>						<tr><td class="tthlbl">Регулировка степени помола:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Система помола:</td><td>ротационный нож</td></tr>					</table>;750;assets/images/kuhonnaya-technika/kofemolki/Kofemolka-BINATONE-CG-150W_STI0MTM5OVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/kofemolki/Kofemolka-BINATONE-CG-150W_STI0MTM5OVRp.jpg;BINATONE;
406;Кофемолка BOSCH MKM 6003;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/kofevarki_i_kofemashiny/kofemolki?mfr=343">BOSCH</a> </li>                        <li class="tec-char"><span>Вместимость:</span> 75 г</li>                        <li class="tec-char"><span>Мощность:</span> 180 Вт</li>                        <li class="tec-char"><span>Регулировка степени помола:</span> Нет </li>                        <li class="tec-char"><span>Система помола:</span> ротационный нож </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Блокировка включения при снятой крышке:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Приспособление для намотки шнура:</td><td>Нет</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Вместимость:</td><td>75г</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>180Вт</td></tr>						<tr><td class="tthlbl">Регулировка степени помола:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Система помола:</td><td>ротационный нож</td></tr>					</table>;750;assets/images/kuhonnaya-technika/kofemolki/Kofemolka-BOSCH-MKM-6003_STE2ODE4N1R0TDE4MA.jpg;assets/images/kuhonnaya-technika/kofemolki/Kofemolka-BOSCH-MKM-6003_STE2ODE4N1Rp.jpg;BOSCH;
406;Кофемолка BOSCH MKM 6000;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/kofevarki_i_kofemashiny/kofemolki?mfr=343">BOSCH</a> </li>                        <li class="tec-char"><span>Вместимость:</span> 75 г</li>                        <li class="tec-char"><span>Мощность:</span> 180 Вт</li>                        <li class="tec-char"><span>Регулировка степени помола:</span> Нет </li>                        <li class="tec-char"><span>Система помола:</span> ротационный нож </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Блокировка включения при снятой крышке:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Дополнительная информация:</td><td>цвета: белый, черный</td></tr>						<tr><td class="tthlbl">Приспособление для намотки шнура:</td><td>Нет</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Вместимость:</td><td>75г</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>180Вт</td></tr>						<tr><td class="tthlbl">Регулировка степени помола:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Система помола:</td><td>ротационный нож</td></tr>					</table>;750;assets/images/kuhonnaya-technika/kofemolki/Kofemolka-BOSCH-MKM-6000_STE2ODE4NlR0TDE4MA.jpg;assets/images/kuhonnaya-technika/kofemolki/Kofemolka-BOSCH-MKM-6000_STE2ODE4NlRp.jpg;BOSCH;
406;Кофемолка BINATONE NCG-7711BS;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/kofevarki_i_kofemashiny/kofemolki?mfr=303">BINATONE</a> </li>                        <li class="tec-char"><span>Вместимость:</span> 40 г</li>                        <li class="tec-char"><span>Импульсный режим:</span> Есть </li>                        <li class="tec-char"><span>Мощность:</span> 150 Вт</li>                        <li class="tec-char"><span>Система помола:</span> ротационный нож </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Блокировка включения при снятой крышке:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Вес:</td><td>0.93кг</td></tr>						<tr><td class="tthlbl">Приспособление для намотки шнура:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Вместимость:</td><td>40г</td></tr>						<tr><td class="tthlbl">Импульсный режим:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>150Вт</td></tr>						<tr><td class="tthlbl">Система помола:</td><td>ротационный нож</td></tr>					</table>;779;assets/images/kuhonnaya-technika/kofemolki/Kofemolka-BINATONE-NCG-7711BS_STI0ODE3MFR0TDE4MA.jpg;assets/images/kuhonnaya-technika/kofemolki/Kofemolka-BINATONE-NCG-7711BS_STI0ODE3MFRp.jpg;BINATONE;
406;Кофемолка MOULINEX A 591 Coffee Mill;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/kofevarki_i_kofemashiny/kofemolki?mfr=1454">MOULINEX</a> </li>                        <li class="tec-char"><span>Защита от перегрева:</span> Есть </li>                        <li class="tec-char"><span>Вместимость:</span> 80 г</li>                        <li class="tec-char"><span>Мощность:</span> 180 Вт</li>                        <li class="tec-char"><span>Регулировка степени помола:</span> Нет </li>                        <li class="tec-char"><span>Система помола:</span> ротационный нож </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Блокировка включения при снятой крышке:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Защита от перегрева:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Вместимость:</td><td>80г</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>180Вт</td></tr>						<tr><td class="tthlbl">Регулировка степени помола:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Система помола:</td><td>ротационный нож</td></tr>					</table>;854;assets/images/kuhonnaya-technika/kofemolki/Kofemolka-MOULINEX-A-591-Coffee-Mill_STY2MDM4VHRMMTgw.jpg;assets/images/kuhonnaya-technika/kofemolki/Kofemolka-MOULINEX-A-591-Coffee-Mill_STY2MDM4VGk.jpg;MOULINEX;
406;Кофемолка DELONGHI KG 40;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/kofevarki_i_kofemashiny/kofemolki?mfr=554">DELONGHI</a> </li>                        <li class="tec-char"><span>Высота:</span> 25 см</li>                        <li class="tec-char"><span>Глубина:</span> 13 см</li>                        <li class="tec-char"><span>Ширина:</span> 15 см</li>                        <li class="tec-char"><span>Вместимость:</span> 90 г</li>                        <li class="tec-char"><span>Мощность:</span> 170 Вт</li>                        <li class="tec-char"><span>Регулировка степени помола:</span> Нет </li>                        <li class="tec-char"><span>Система помола:</span> ротационный нож </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Высота:</td><td>25см</td></tr>						<tr><td class="tthlbl">Глубина:</td><td>13см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>15см</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Блокировка включения при снятой крышке:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Дополнительная информация:</td><td>щеточка для чистки в комплекте</td></tr>						<tr><td class="tthlbl">Приспособление для намотки шнура:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Размеры (ШхВхГ):</td><td>15 x 25 x 13мм</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Вместимость:</td><td>90г</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>170Вт</td></tr>						<tr><td class="tthlbl">Регулировка степени помола:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Система помола:</td><td>ротационный нож</td></tr>					</table>;909;assets/images/kuhonnaya-technika/kofemolki/Kofemolka-DELONGHI-KG-40_STU5MzQxVHRMMTgw.jpg;assets/images/kuhonnaya-technika/kofemolki/Kofemolka-DELONGHI-KG-40_STU5MzQxVGk.jpg;DELONGHI;
