parent;pagetitle;content1;content2;price;picture;picture-big;brand
29;Кофеварка BINATONE NCM 7701WS;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/kofevarki_i_kofemashiny/kofevarki?mfr=303">BINATONE</a> </li>                        <li class="tec-char"><span>Встроенная кофемолка:</span> Нет </li>                        <li class="tec-char"><span>Противокапельная система:</span> Есть </li>                        <li class="tec-char"><span>Автоотключение:</span> Нет </li>                        <li class="tec-char"><span>Мощность:</span> 870 Вт</li>                        <li class="tec-char"><span>Объем резервуара для воды:</span> 1.2 л</li>                        <li class="tec-char"><span>Тип кофеварки:</span> капельная </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Конструкция</th></tr>						<tr><td class="tthlbl">Встроенная кофемолка:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Одновременное приготовление двух чашек:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Плита автоподогрева:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Противокапельная система:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Регулировка порции горячей воды:</td><td>Нет</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Автоматическая декальцинация:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Автоотключение:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Используемый кофе:</td><td>молотый</td></tr>						<tr><td class="tthlbl">Манометр:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>870Вт</td></tr>						<tr><td class="tthlbl">Объем резервуара для воды:</td><td>1.2л</td></tr>						<tr><td class="tthlbl">Таймер:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Тип кофеварки:</td><td>капельная</td></tr>					</table>;749;assets/images/kuhonnaya-technika/kofevarki/Kofevarka-BINATONE-NCM-7701WS_STI0MTM5M1R0TDE4MA.jpg;assets/images/kuhonnaya-technika/kofevarki/Kofevarka-BINATONE-NCM-7701WS_STI0MTM5M1Rp.jpg;BINATONE;
29;Кофеварка BINATONE NCM 7701BS;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/kofevarki_i_kofemashiny/kofevarki?mfr=303">BINATONE</a> </li>                        <li class="tec-char"><span>Встроенная кофемолка:</span> Нет </li>                        <li class="tec-char"><span>Противокапельная система:</span> Есть </li>                        <li class="tec-char"><span>Тип используемого кофе:</span> молотый </li>                        <li class="tec-char"><span>Автоотключение:</span> Нет </li>                        <li class="tec-char"><span>Мощность:</span> 870 Вт</li>                        <li class="tec-char"><span>Объем резервуара для воды:</span> 1.2 л</li>                        <li class="tec-char"><span>Тип кофеварки:</span> капельная </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Конструкция</th></tr>						<tr><td class="tthlbl">Встроенная кофемолка:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Одновременное приготовление двух чашек:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Плита автоподогрева:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Противокапельная система:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Регулировка порции горячей воды:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Тип используемого кофе:</td><td>молотый</td></tr>						<tr><td class="tthlbl">Фильтр:</td><td>постоянный</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Автоматическая декальцинация:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Автоотключение:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Манометр:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>870Вт</td></tr>						<tr><td class="tthlbl">Объем резервуара для воды:</td><td>1.2л</td></tr>						<tr><td class="tthlbl">Таймер:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Тип кофеварки:</td><td>капельная</td></tr>					</table>;789;assets/images/kuhonnaya-technika/kofevarki/Kofevarka-BINATONE-NCM-7701BS_STI0MTM5NlR0TDE4MA.jpg;assets/images/kuhonnaya-technika/kofevarki/Kofevarka-BINATONE-NCM-7701BS_STI0MTM5NlRp.jpg;BINATONE;
29;Кофеварка BINATONE NCM 7701BS;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/kofevarki_i_kofemashiny/kofevarki?mfr=303">BINATONE</a> </li>                        <li class="tec-char"><span>Встроенная кофемолка:</span> Нет </li>                        <li class="tec-char"><span>Противокапельная система:</span> Есть </li>                        <li class="tec-char"><span>Тип используемого кофе:</span> молотый </li>                        <li class="tec-char"><span>Автоотключение:</span> Нет </li>                        <li class="tec-char"><span>Мощность:</span> 870 Вт</li>                        <li class="tec-char"><span>Объем резервуара для воды:</span> 1.2 л</li>                        <li class="tec-char"><span>Тип кофеварки:</span> капельная </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Конструкция</th></tr>						<tr><td class="tthlbl">Встроенная кофемолка:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Одновременное приготовление двух чашек:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Плита автоподогрева:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Противокапельная система:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Регулировка порции горячей воды:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Тип используемого кофе:</td><td>молотый</td></tr>						<tr><td class="tthlbl">Фильтр:</td><td>постоянный</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Автоматическая декальцинация:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Автоотключение:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Манометр:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>870Вт</td></tr>						<tr><td class="tthlbl">Объем резервуара для воды:</td><td>1.2л</td></tr>						<tr><td class="tthlbl">Таймер:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Тип кофеварки:</td><td>капельная</td></tr>					</table>;789;assets/images/kuhonnaya-technika/kofevarki/Kofevarka-BINATONE-NCM-7701BS_STI0MTM5NlR0TDE4MA.jpg;assets/images/kuhonnaya-technika/kofevarki/Kofevarka-BINATONE-NCM-7701BS_STI0MTM5NlRp.jpg;BINATONE;
29;Кофеварка BOSCH TKA 1410;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/kofevarki_i_kofemashiny/kofevarki?mfr=343">BOSCH</a> </li>                        <li class="tec-char"><span>Противокапельная система:</span> Есть </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Автоотключение:</span> Нет </li>                        <li class="tec-char"><span>Мощность:</span> 1000 Вт</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Конструкция</th></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Одновременное приготовление двух чашек:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Плита автоподогрева:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Подача горячей воды:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Противокапельная система:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Съемный лоток для сбора капель:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Фильтр:</td><td>постоянный/одноразовый</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Дополнительная информация:</td><td>Количество больших/малых чашек кофе: 10/15.</td></tr>						<tr><td class="tthlbl">Индикатор уровня воды:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Индикация включения:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Автоматическая декальцинация:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Автоотключение:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Используемый кофе:</td><td>молотый</td></tr>						<tr><td class="tthlbl">Манометр:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>1000Вт</td></tr>						<tr><td class="tthlbl">Настройки:</td><td>регулировка порции горячей воды</td></tr>						<tr><td class="tthlbl">Объем кофейника:</td><td>1.25л</td></tr>						<tr><td class="tthlbl">Таймер:</td><td>Нет</td></tr>					</table>;1082;assets/images/kuhonnaya-technika/kofevarki/Kofevarka-BOSCH-TKA-1410_STU2MjE3VHRMMTgw.jpg;assets/images/kuhonnaya-technika/kofevarki/Kofevarka-BOSCH-TKA-1410_STU2MjE3VGk.jpg;BOSCH;
29;Кофеварка MOULINEX FG 511131;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/kofevarki_i_kofemashiny/kofevarki?mfr=1454">MOULINEX</a> </li>                        <li class="tec-char"><span>Противокапельная система:</span> Есть </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Мощность:</span> 600 Вт</li>                        <li class="tec-char"><span>Объем резервуара для воды:</span> 0.6 л</li>                        <li class="tec-char"><span>Тип кофеварки:</span> капельная </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Конструкция</th></tr>						<tr><td class="tthlbl">Вращающийся фильтродержатель:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Одновременное приготовление двух чашек:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Плита автоподогрева:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Подача горячей воды:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Противокапельная система:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Съемный лоток для сбора капель:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Фильтр:</td><td>постоянный</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Индикатор уровня воды:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Индикация включения:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Автоматическая декальцинация:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Используемый кофе:</td><td>молотый</td></tr>						<tr><td class="tthlbl">Манометр:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>600Вт</td></tr>						<tr><td class="tthlbl">Объем резервуара для воды:</td><td>0.6л</td></tr>						<tr><td class="tthlbl">Таймер:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Тип кофеварки:</td><td>капельная</td></tr>					</table>;1106;assets/images/kuhonnaya-technika/kofevarki/Kofevarka-MOULINEX-FG-511131_STI0NTQxM1R0TDE4MA.jpg;assets/images/kuhonnaya-technika/kofevarki/Kofevarka-MOULINEX-FG-511131_STI0NTQxM1Rp.jpg;MOULINEX;
29;Кофеварка ELECTROLUX EKF5110;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/kofevarki_i_kofemashiny/kofevarki?mfr=680">ELECTROLUX</a> </li>                        <li class="tec-char"><span>Высота:</span> 32 см</li>                        <li class="tec-char"><span>Глубина:</span> 29 см</li>                        <li class="tec-char"><span>Ширина:</span> 19 см</li>                        <li class="tec-char"><span>Контроль крепости кофе:</span> Есть </li>                        <li class="tec-char"><span>Противокапельная система:</span> Есть </li>                        <li class="tec-char"><span>Тип используемого кофе:</span> молотый </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Автоотключение:</span> Есть </li>                        <li class="tec-char"><span>Мощность:</span> 1100 Вт</li>                        <li class="tec-char"><span>Объем резервуара для воды:</span> 1.4 л</li>                        <li class="tec-char"><span>Тип кофеварки:</span> капельная </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Высота:</td><td>32см</td></tr>						<tr><td class="tthlbl">Глубина:</td><td>29см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>19см</td></tr>						<tr><th colspan="2">Конструкция</th></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Контроль крепости кофе:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Одновременное приготовление двух чашек:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Подача горячей воды:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Противокапельная система:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Съемный лоток для сбора капель:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Тип используемого кофе:</td><td>молотый</td></tr>						<tr><td class="tthlbl">Фильтр:</td><td>постоянный</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Индикатор уровня воды:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Индикация включения:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><td class="tthlbl">Отсек для шнура:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Автоматическая декальцинация:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Автоотключение:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Манометр:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>1100Вт</td></tr>						<tr><td class="tthlbl">Объем резервуара для воды:</td><td>1.4л</td></tr>						<tr><td class="tthlbl">Таймер:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Тип кофеварки:</td><td>капельная</td></tr>					</table>;1125;assets/images/kuhonnaya-technika/kofevarki/Kofevarka-ELECTROLUX-EKF5110_STIzNjk2M1R0TDE4MA.jpg;assets/images/kuhonnaya-technika/kofevarki/Kofevarka-ELECTROLUX-EKF5110_STIzNjk2M1Rp.jpg;ELECTROLUX;
29;Кофеварка ELECTROLUX EKF3100;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/kofevarki_i_kofemashiny/kofevarki?mfr=680">ELECTROLUX</a> </li>                        <li class="tec-char"><span>Высота:</span> 32 см</li>                        <li class="tec-char"><span>Глубина:</span> 29 см</li>                        <li class="tec-char"><span>Ширина:</span> 19 см</li>                        <li class="tec-char"><span>Контроль крепости кофе:</span> Есть </li>                        <li class="tec-char"><span>Противокапельная система:</span> Есть </li>                        <li class="tec-char"><span>Тип используемого кофе:</span> молотый </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Автоотключение:</span> Нет </li>                        <li class="tec-char"><span>Мощность:</span> 1080 Вт</li>                        <li class="tec-char"><span>Объем резервуара для воды:</span> 1.4 л</li>                        <li class="tec-char"><span>Тип кофеварки:</span> капельная </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Высота:</td><td>32см</td></tr>						<tr><td class="tthlbl">Глубина:</td><td>29см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>19см</td></tr>						<tr><th colspan="2">Конструкция</th></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Контроль крепости кофе:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Одновременное приготовление двух чашек:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Подача горячей воды:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Противокапельная система:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Съемный лоток для сбора капель:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Тип используемого кофе:</td><td>молотый</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Вес:</td><td>1.45кг</td></tr>						<tr><td class="tthlbl">Индикатор уровня воды:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Индикация включения:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Автоматическая декальцинация:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Автоотключение:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Манометр:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>1080Вт</td></tr>						<tr><td class="tthlbl">Объем резервуара для воды:</td><td>1.4л</td></tr>						<tr><td class="tthlbl">Таймер:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Тип кофеварки:</td><td>капельная</td></tr>					</table>;1243;assets/images/kuhonnaya-technika/kofevarki/Kofevarka-ELECTROLUX-EKF3100_STI0NTk4MVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/kofevarki/Kofevarka-ELECTROLUX-EKF3100_STI0NTk4MVRp.jpg;ELECTROLUX;
29;Кофеварка MOULINEX FG 2115;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/kofevarki_i_kofemashiny/kofevarki?mfr=1454">MOULINEX</a> </li>                        <li class="tec-char"><span>Тип используемого кофе:</span> молотый </li>                        <li class="tec-char"><span>Объем резервуара для воды:</span> 1.25 л</li>                        <li class="tec-char"><span>Тип кофеварки:</span> капельная </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Конструкция</th></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Одновременное приготовление двух чашек:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Плита автоподогрева:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Подача горячей воды:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Съемный лоток для сбора капель:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Тип используемого кофе:</td><td>молотый</td></tr>						<tr><td class="tthlbl">Фильтр:</td><td>постоянный/одноразовый</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Индикатор уровня воды:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Индикация включения:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Автоматическая декальцинация:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Манометр:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Объем резервуара для воды:</td><td>1.25л</td></tr>						<tr><td class="tthlbl">Таймер:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Тип кофеварки:</td><td>капельная</td></tr>					</table>;1329;assets/images/kuhonnaya-technika/kofevarki/Kofevarka-MOULINEX-FG-2115_STI0NTM5MVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/kofevarki/Kofevarka-MOULINEX-FG-2115_STI0NTM5MVRp.jpg;MOULINEX;
29;Кофеварка ELECTROLUX EKF5210;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/kofevarki_i_kofemashiny/kofevarki?mfr=680">ELECTROLUX</a> </li>                        <li class="tec-char"><span>Высота:</span> 32 см</li>                        <li class="tec-char"><span>Глубина:</span> 29 см</li>                        <li class="tec-char"><span>Ширина:</span> 19 см</li>                        <li class="tec-char"><span>Контроль крепости кофе:</span> Есть </li>                        <li class="tec-char"><span>Противокапельная система:</span> Есть </li>                        <li class="tec-char"><span>Тип используемого кофе:</span> молотый </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Автоотключение:</span> Есть </li>                        <li class="tec-char"><span>Мощность:</span> 1100 Вт</li>                        <li class="tec-char"><span>Объем резервуара для воды:</span> 1.4 л</li>                        <li class="tec-char"><span>Тип кофеварки:</span> капельная </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Высота:</td><td>32см</td></tr>						<tr><td class="tthlbl">Глубина:</td><td>29см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>19см</td></tr>						<tr><th colspan="2">Конструкция</th></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Контроль крепости кофе:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Одновременное приготовление двух чашек:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Подача горячей воды:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Противокапельная система:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Съемный лоток для сбора капель:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Тип используемого кофе:</td><td>молотый</td></tr>						<tr><td class="tthlbl">Фильтр:</td><td>постоянный</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Индикатор уровня воды:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Индикация включения:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><td class="tthlbl">Отсек для шнура:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Автоматическая декальцинация:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Автоотключение:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Манометр:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>1100Вт</td></tr>						<tr><td class="tthlbl">Объем резервуара для воды:</td><td>1.4л</td></tr>						<tr><td class="tthlbl">Таймер:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Тип кофеварки:</td><td>капельная</td></tr>					</table>;1363;assets/images/kuhonnaya-technika/kofevarki/Kofevarka-ELECTROLUX-EKF5210_STI0NTk5NVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/kofevarki/Kofevarka-ELECTROLUX-EKF5210_STI0NTk5NVRp.jpg;ELECTROLUX;
29;Кофеварка ELECTROLUX EKF5220;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/kofevarki_i_kofemashiny/kofevarki?mfr=680">ELECTROLUX</a> </li>                        <li class="tec-char"><span>Высота:</span> 33 см</li>                        <li class="tec-char"><span>Глубина:</span> 24 см</li>                        <li class="tec-char"><span>Ширина:</span> 20 см</li>                        <li class="tec-char"><span>Контроль крепости кофе:</span> Есть </li>                        <li class="tec-char"><span>Противокапельная система:</span> Есть </li>                        <li class="tec-char"><span>Тип используемого кофе:</span> молотый </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Автоотключение:</span> Есть </li>                        <li class="tec-char"><span>Мощность:</span> 1100 Вт</li>                        <li class="tec-char"><span>Объем резервуара для воды:</span> 1.4 л</li>                        <li class="tec-char"><span>Тип кофеварки:</span> капельная </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Высота:</td><td>33см</td></tr>						<tr><td class="tthlbl">Глубина:</td><td>24см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>20см</td></tr>						<tr><th colspan="2">Дополнительная информация</th></tr>						<tr><td class="tthlbl">Подсветка дисплея:</td><td>Есть</td></tr>						<tr><th colspan="2">Конструкция</th></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Контроль крепости кофе:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Одновременное приготовление двух чашек:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Подача горячей воды:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Противокапельная система:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Съемный лоток для сбора капель:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Тип используемого кофе:</td><td>молотый</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Индикатор уровня воды:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Индикация включения:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><td class="tthlbl">Отсек для шнура:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Автоматическая декальцинация:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Автоотключение:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Манометр:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>1100Вт</td></tr>						<tr><td class="tthlbl">Объем резервуара для воды:</td><td>1.4л</td></tr>						<tr><td class="tthlbl">Таймер:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Тип кофеварки:</td><td>капельная</td></tr>					</table>;1449;assets/images/kuhonnaya-technika/kofevarki/Kofevarka-ELECTROLUX-EKF5220_STI0NTk5N1R0TDE4MA.jpg;assets/images/kuhonnaya-technika/kofevarki/Kofevarka-ELECTROLUX-EKF5220_STI0NTk5N1Rp.jpg;ELECTROLUX;
