parent;pagetitle;content1;content2;price;picture;picture-big;brand;
36;Мини-духовка PANASONIC NT-GT1WTQ;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/mini_duhovki?mfr=1617">PANASONIC</a> </li>                        <li class="tec-char"><span>Мощность гриля:</span> 1090 Вт</li>                        <li class="tec-char"><span>Объем:</span> 9 л</li>                        <li class="tec-char"><span>Таймер:</span> 15 мин</li>                        <li class="tec-char"><span>Автоотключение:</span> Есть </li>                        <li class="tec-char"><span>Мощность печи:</span> 12200 Вт</li>                        <li class="tec-char"><span>Функций приготовления:</span> 3 </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Мощность гриля:</td><td>1090Вт</td></tr>						<tr><td class="tthlbl">Объем:</td><td>9л</td></tr>						<tr><th colspan="2">Панель управления</th></tr>						<tr><td class="tthlbl">Таймер:</td><td>15мин</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Автоотключение:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Мощность печи:</td><td>12200Вт</td></tr>						<tr><td class="tthlbl">Функций приготовления:</td><td>3</td></tr>					</table>;1559;assets/images/kuhonnaya-technika/mini_duhovki/Mini-dukhovka-PANASONIC-NT-GT1WTQ_STIzNDUxMVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/mini_duhovki/Mini-dukhovka-PANASONIC-NT-GT1WTQ_STIzNDUxMVRp.jpg;PANASONIC;
36;Мини-духовка DELONGHI EO 1200 B;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/mini_duhovki?mfr=554">DELONGHI</a> </li>                        <li class="tec-char"><span>Мощность гриля:</span> 800 Вт</li>                        <li class="tec-char"><span>Объем:</span> 12.5 л</li>                        <li class="tec-char"><span>Таймер:</span> 120 мин</li>                        <li class="tec-char"><span>Автоотключение:</span> Есть </li>                        <li class="tec-char"><span>Мощность печи:</span> 1400 Вт</li>                        <li class="tec-char"><span>Функций приготовления:</span> 4 </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Мощность гриля:</td><td>800Вт</td></tr>						<tr><td class="tthlbl">Объем:</td><td>12.5л</td></tr>						<tr><th colspan="2">Панель управления</th></tr>						<tr><td class="tthlbl">Таймер:</td><td>120мин</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Автоотключение:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Мощность печи:</td><td>1400Вт</td></tr>						<tr><td class="tthlbl">Функций приготовления:</td><td>4</td></tr>					</table>;3512;assets/images/kuhonnaya-technika/mini_duhovki/Mini-dukhovka-DELONGHI-EO-1200-B_STU1OTQxVHRMMTgw.jpg;assets/images/kuhonnaya-technika/mini_duhovki/Mini-dukhovka-DELONGHI-EO-1200-B_STU1OTQxVGk.jpg;DELONGHI;
36;Мини-духовка DELONGHI EO 1200 B;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/mini_duhovki?mfr=554">DELONGHI</a> </li>                        <li class="tec-char"><span>Мощность гриля:</span> 800 Вт</li>                        <li class="tec-char"><span>Объем:</span> 12.5 л</li>                        <li class="tec-char"><span>Таймер:</span> 120 мин</li>                        <li class="tec-char"><span>Автоотключение:</span> Есть </li>                        <li class="tec-char"><span>Мощность печи:</span> 1400 Вт</li>                        <li class="tec-char"><span>Функций приготовления:</span> 4 </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Мощность гриля:</td><td>800Вт</td></tr>						<tr><td class="tthlbl">Объем:</td><td>12.5л</td></tr>						<tr><th colspan="2">Панель управления</th></tr>						<tr><td class="tthlbl">Таймер:</td><td>120мин</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Автоотключение:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Мощность печи:</td><td>1400Вт</td></tr>						<tr><td class="tthlbl">Функций приготовления:</td><td>4</td></tr>					</table>;3512;assets/images/kuhonnaya-technika/mini_duhovki/Mini-dukhovka-DELONGHI-EO-1200-B_STU1OTQxVHRMMTgw.jpg;assets/images/kuhonnaya-technika/mini_duhovki/Mini-dukhovka-DELONGHI-EO-1200-B_STU1OTQxVGk.jpg;DELONGHI;
36;Мини-духовка DELONGHI EO 12001 B;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/mini_duhovki?mfr=554">DELONGHI</a> </li>                        <li class="tec-char"><span>Мощность гриля:</span> 800 Вт</li>                        <li class="tec-char"><span>Объем:</span> 12.5 л</li>                        <li class="tec-char"><span>Таймер:</span> 120 мин</li>                        <li class="tec-char"><span>Автоотключение:</span> Есть </li>                        <li class="tec-char"><span>Мощность печи:</span> 1400 Вт</li>                        <li class="tec-char"><span>Функций приготовления:</span> 3 </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Мощность гриля:</td><td>800Вт</td></tr>						<tr><td class="tthlbl">Объем:</td><td>12.5л</td></tr>						<tr><th colspan="2">Панель управления</th></tr>						<tr><td class="tthlbl">Таймер:</td><td>120мин</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Автоотключение:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Мощность печи:</td><td>1400Вт</td></tr>						<tr><td class="tthlbl">Функций приготовления:</td><td>3</td></tr>					</table>;3779;assets/images/kuhonnaya-technika/mini_duhovki/Mini-dukhovka-DELONGHI-EO-12001-B_STIyNzgwNVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/mini_duhovki/Mini-dukhovka-DELONGHI-EO-12001-B_STIyNzgwNVRp.jpg;DELONGHI;
36;Мини-духовка DELONGHI EO 1258;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/mini_duhovki?mfr=554">DELONGHI</a> </li>                        <li class="tec-char"><span>Мощность гриля:</span> 800 Вт</li>                        <li class="tec-char"><span>Объем:</span> 12.5 л</li>                        <li class="tec-char"><span>Таймер:</span> 120 мин</li>                        <li class="tec-char"><span>Автоотключение:</span> Есть </li>                        <li class="tec-char"><span>Мощность печи:</span> 1400 Вт</li>                        <li class="tec-char"><span>Функций приготовления:</span> 6 </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Мощность гриля:</td><td>800Вт</td></tr>						<tr><td class="tthlbl">Объем:</td><td>12.5л</td></tr>						<tr><th colspan="2">Панель управления</th></tr>						<tr><td class="tthlbl">Таймер:</td><td>120мин</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Автоотключение:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Мощность печи:</td><td>1400Вт</td></tr>						<tr><td class="tthlbl">Функций приготовления:</td><td>6</td></tr>					</table>;4021;assets/images/kuhonnaya-technika/mini_duhovki/Mini-dukhovka-DELONGHI-EO-1258_STU1OTQyVHRMMTgw.jpg;assets/images/kuhonnaya-technika/mini_duhovki/Mini-dukhovka-DELONGHI-EO-1258_STU1OTQyVGk.jpg;DELONGHI;
36;Мини-духовка DELONGHI EO 20311;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/mini_duhovki?mfr=554">DELONGHI</a> </li>                        <li class="tec-char"><span>Мощность гриля:</span> 700 Вт</li>                        <li class="tec-char"><span>Объем:</span> 20 л</li>                        <li class="tec-char"><span>Таймер:</span> 120 мин</li>                        <li class="tec-char"><span>Автоотключение:</span> Есть </li>                        <li class="tec-char"><span>Мощность печи:</span> 1300 Вт</li>                        <li class="tec-char"><span>Функций приготовления:</span> 4 </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Мощность гриля:</td><td>700Вт</td></tr>						<tr><td class="tthlbl">Объем:</td><td>20л</td></tr>						<tr><th colspan="2">Панель управления</th></tr>						<tr><td class="tthlbl">Таймер:</td><td>120мин</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Автоотключение:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Мощность печи:</td><td>1300Вт</td></tr>						<tr><td class="tthlbl">Функций приготовления:</td><td>4</td></tr>					</table>;4330;assets/images/kuhonnaya-technika/mini_duhovki/Mini-dukhovka-DELONGHI-EO-20311_STIzOTM0NlR0TDE4MA.jpg;assets/images/kuhonnaya-technika/mini_duhovki/Mini-dukhovka-DELONGHI-EO-20311_STIzOTM0NlRp.jpg;DELONGHI;
36;Мини-духовка DELONGHI EO 1455;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/mini_duhovki?mfr=554">DELONGHI</a> </li>                        <li class="tec-char"><span>Мощность гриля:</span> 800 Вт</li>                        <li class="tec-char"><span>Объем:</span> 14 л</li>                        <li class="tec-char"><span>Таймер:</span> 120 мин</li>                        <li class="tec-char"><span>Автоотключение:</span> Есть </li>                        <li class="tec-char"><span>Мощность печи:</span> 1400 Вт</li>                        <li class="tec-char"><span>Функций приготовления:</span> 3 </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Мощность гриля:</td><td>800Вт</td></tr>						<tr><td class="tthlbl">Объем:</td><td>14л</td></tr>						<tr><th colspan="2">Панель управления</th></tr>						<tr><td class="tthlbl">Таймер:</td><td>120мин</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Автоотключение:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Мощность печи:</td><td>1400Вт</td></tr>						<tr><td class="tthlbl">Функций приготовления:</td><td>3</td></tr>					</table>;4650;assets/images/kuhonnaya-technika/mini_duhovki/Mini-dukhovka-DELONGHI-EO-1455_STU1OTMzVHRMMTgw.jpg;assets/images/kuhonnaya-technika/mini_duhovki/Mini-dukhovka-DELONGHI-EO-1455_STU1OTMzVGk.jpg;DELONGHI;
36;Мини-духовка DELONGHI EO 2131;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/mini_duhovki?mfr=554">DELONGHI</a> </li>                        <li class="tec-char"><span>Мощность гриля:</span> 1200 Вт</li>                        <li class="tec-char"><span>Объем:</span> 21 л</li>                        <li class="tec-char"><span>Таймер:</span> 120 мин</li>                        <li class="tec-char"><span>Автоотключение:</span> Есть </li>                        <li class="tec-char"><span>Мощность печи:</span> 1800 Вт</li>                        <li class="tec-char"><span>Функций приготовления:</span> 4 </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Мощность гриля:</td><td>1200Вт</td></tr>						<tr><td class="tthlbl">Объем:</td><td>21л</td></tr>						<tr><th colspan="2">Панель управления</th></tr>						<tr><td class="tthlbl">Таймер:</td><td>120мин</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Автоотключение:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Мощность печи:</td><td>1800Вт</td></tr>						<tr><td class="tthlbl">Функций приготовления:</td><td>4</td></tr>					</table>;4899;assets/images/kuhonnaya-technika/mini_duhovki/Mini-dukhovka-DELONGHI-EO-2131_STU1OTI4VHRMMTgw.jpg;assets/images/kuhonnaya-technika/mini_duhovki/Mini-dukhovka-DELONGHI-EO-2131_STU1OTI4VGk.jpg;DELONGHI;
36;Мини-духовка DELONGHI EO 1270;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/mini_duhovki?mfr=554">DELONGHI</a> </li>                        <li class="tec-char"><span>Мощность гриля:</span> 800 Вт</li>                        <li class="tec-char"><span>Объем:</span> 12.5 л</li>                        <li class="tec-char"><span>Таймер:</span> 120 мин</li>                        <li class="tec-char"><span>Автоотключение:</span> Есть </li>                        <li class="tec-char"><span>Мощность печи:</span> 1400 Вт</li>                        <li class="tec-char"><span>Функций приготовления:</span> 6 </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Мощность гриля:</td><td>800Вт</td></tr>						<tr><td class="tthlbl">Объем:</td><td>12.5л</td></tr>						<tr><th colspan="2">Панель управления</th></tr>						<tr><td class="tthlbl">Таймер:</td><td>120мин</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Автоотключение:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Мощность печи:</td><td>1400Вт</td></tr>						<tr><td class="tthlbl">Функций приготовления:</td><td>6</td></tr>					</table>;4909;assets/images/kuhonnaya-technika/mini_duhovki/Mini-dukhovka-DELONGHI-EO-1270_STU1OTE2VHRMMTgw.jpg;assets/images/kuhonnaya-technika/mini_duhovki/Mini-dukhovka-DELONGHI-EO-1270_STU1OTE2VGk.jpg;DELONGHI;
36;Мини-духовка DELONGHI EO 2135;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/mini_duhovki?mfr=554">DELONGHI</a> </li>                        <li class="tec-char"><span>Мощность гриля:</span> 1200 Вт</li>                        <li class="tec-char"><span>Объем:</span> 21 л</li>                        <li class="tec-char"><span>Таймер:</span> 120 мин</li>                        <li class="tec-char"><span>Автоотключение:</span> Есть </li>                        <li class="tec-char"><span>Мощность печи:</span> 1800 Вт</li>                        <li class="tec-char"><span>Функций приготовления:</span> 5 </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>6.5кг</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Мощность гриля:</td><td>1200Вт</td></tr>						<tr><td class="tthlbl">Объем:</td><td>21л</td></tr>						<tr><th colspan="2">Панель управления</th></tr>						<tr><td class="tthlbl">Таймер:</td><td>120мин</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Автоотключение:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Мощность печи:</td><td>1800Вт</td></tr>						<tr><td class="tthlbl">Функций приготовления:</td><td>5</td></tr>					</table>;5039;assets/images/kuhonnaya-technika/mini_duhovki/Mini-dukhovka-DELONGHI-EO-2135_STU1OTQwVHRMMTgw.jpg;assets/images/kuhonnaya-technika/mini_duhovki/Mini-dukhovka-DELONGHI-EO-2135_STU1OTQwVGk.jpg;DELONGHI;
