parent;pagetitle;content1;content2;price;picture;picture-big;brand;
38;Мясорубка MOULINEX DKA 2;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/mjasorubki?mfr=1454">MOULINEX</a> </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Материал лотка:</span> пластик </li>                        <li class="tec-char"><span>Отсек для хранения насадок:</span> Есть </li>                        <li class="tec-char"><span>Прорезиненные ножки:</span> Есть </li>                        <li class="tec-char"><span>Защита двигателя от перегрузки:</span> Есть </li>                        <li class="tec-char"><span>Мощность:</span> 600 Вт</li>                        <li class="tec-char"><span>Производительность:</span> 1.6 кг/мин</li>                        <li class="tec-char"><span>Система реверса:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Насадки</th></tr>						<tr><td class="tthlbl">Насадка для приготовления колбас:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Насадка для шинковки:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Насадка-терка:</td><td>Есть</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Дополнительная информация:</td><td>мощность при блокировке мотора 1400 Вт</td></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><td class="tthlbl">Материал лотка:</td><td>пластик</td></tr>						<tr><td class="tthlbl">Отсек для хранения насадок:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Прорезиненные ножки:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Защита двигателя от перегрузки:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>600Вт</td></tr>						<tr><td class="tthlbl">Насадка для кеббе:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Производительность:</td><td>1.6кг/мин</td></tr>						<tr><td class="tthlbl">Система реверса:</td><td>Есть</td></tr>					</table>;799;assets/images/kuhonnaya-technika/mjasorubki/Myasorubka-MOULINEX-DKA-2_STU2ODI2VHRMMTgw.jpg;assets/images/kuhonnaya-technika/mjasorubki/Myasorubka-MOULINEX-DKA-2_STU2ODI2VGk.jpg;MOULINEX;
38;Мясорубка SUPRA MGS-1350;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/mjasorubki?mfr=2092">SUPRA</a> </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик/металл </li>                        <li class="tec-char"><span>Материал лотка:</span> металл </li>                        <li class="tec-char"><span>Прорезиненные ножки:</span> Есть </li>                        <li class="tec-char"><span>Защита двигателя от перегрузки:</span> Нет </li>                        <li class="tec-char"><span>Мощность:</span> 1400 Вт</li>                        <li class="tec-char"><span>Производительность:</span> 0.8 кг/мин</li>                        <li class="tec-char"><span>Система реверса:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>3.7кг</td></tr>						<tr><th colspan="2">Насадки</th></tr>						<tr><td class="tthlbl">Насадка для приготовления колбас:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Насадка для шинковки:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Насадка-терка:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Перфорированный диск для фарша:</td><td>Есть</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик/металл</td></tr>						<tr><td class="tthlbl">Материал лотка:</td><td>металл</td></tr>						<tr><td class="tthlbl">Прорезиненные ножки:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Защита двигателя от перегрузки:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Количество перфорированных дисков:</td><td>3</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>1400Вт</td></tr>						<tr><td class="tthlbl">Насадка для кеббе:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Производительность:</td><td>0.8кг/мин</td></tr>						<tr><td class="tthlbl">Система реверса:</td><td>Есть</td></tr>					</table>;1048;assets/images/kuhonnaya-technika/mjasorubki/Myasorubka-SUPRA-MGS-1350_STQ1MDIwVHRMMTgw.jpg;assets/images/kuhonnaya-technika/mjasorubki/Myasorubka-SUPRA-MGS-1350_STQ1MDIwVGk.jpg;SUPRA;
38;Мясорубка SUPRA MGS-1350;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/mjasorubki?mfr=2092">SUPRA</a> </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик/металл </li>                        <li class="tec-char"><span>Материал лотка:</span> металл </li>                        <li class="tec-char"><span>Прорезиненные ножки:</span> Есть </li>                        <li class="tec-char"><span>Защита двигателя от перегрузки:</span> Нет </li>                        <li class="tec-char"><span>Мощность:</span> 1400 Вт</li>                        <li class="tec-char"><span>Производительность:</span> 0.8 кг/мин</li>                        <li class="tec-char"><span>Система реверса:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>3.7кг</td></tr>						<tr><th colspan="2">Насадки</th></tr>						<tr><td class="tthlbl">Насадка для приготовления колбас:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Насадка для шинковки:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Насадка-терка:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Перфорированный диск для фарша:</td><td>Есть</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик/металл</td></tr>						<tr><td class="tthlbl">Материал лотка:</td><td>металл</td></tr>						<tr><td class="tthlbl">Прорезиненные ножки:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Защита двигателя от перегрузки:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Количество перфорированных дисков:</td><td>3</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>1400Вт</td></tr>						<tr><td class="tthlbl">Насадка для кеббе:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Производительность:</td><td>0.8кг/мин</td></tr>						<tr><td class="tthlbl">Система реверса:</td><td>Есть</td></tr>					</table>;1048;assets/images/kuhonnaya-technika/mjasorubki/Myasorubka-SUPRA-MGS-1350_STQ1MDIwVHRMMTgw.jpg;assets/images/kuhonnaya-technika/mjasorubki/Myasorubka-SUPRA-MGS-1350_STQ1MDIwVGk.jpg;SUPRA;
38;Мясорубка SUPRA MGS-1551;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/mjasorubki?mfr=2092">SUPRA</a> </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Материал лотка:</span> металл </li>                        <li class="tec-char"><span>Отсек для хранения насадок:</span> Нет </li>                        <li class="tec-char"><span>Прорезиненные ножки:</span> Есть </li>                        <li class="tec-char"><span>Защита двигателя от перегрузки:</span> Нет </li>                        <li class="tec-char"><span>Мощность:</span> 1750 Вт</li>                        <li class="tec-char"><span>Производительность:</span> 1.5 кг/мин</li>                        <li class="tec-char"><span>Система реверса:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>4.5кг</td></tr>						<tr><th colspan="2">Насадки</th></tr>						<tr><td class="tthlbl">Насадка для приготовления колбас:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Насадка для шинковки:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Насадка-терка:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Перфорированный диск для фарша:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Прочие насадки:</td><td>для кеббе</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Дополнительная информация:</td><td>автоматическая смотка шнура</td></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><td class="tthlbl">Материал лотка:</td><td>металл</td></tr>						<tr><td class="tthlbl">Отсек для хранения насадок:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Отсек для хранения шнура:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Прорезиненные ножки:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Защита двигателя от перегрузки:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Количество перфорированных дисков:</td><td>3</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>1750Вт</td></tr>						<tr><td class="tthlbl">Насадка для кеббе:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Производительность:</td><td>1.5кг/мин</td></tr>						<tr><td class="tthlbl">Система реверса:</td><td>Есть</td></tr>					</table>;1230;assets/images/kuhonnaya-technika/mjasorubki/Myasorubka-SUPRA-MGS-1551_STQ1MDEyVHRMMTgw.jpg;assets/images/kuhonnaya-technika/mjasorubki/Myasorubka-SUPRA-MGS-1551_STQ1MDEyVGk.jpg;SUPRA;
38;Мясорубка MYSTERY MGM-1450;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/mjasorubki?mfr=1478">MYSTERY</a> </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик/металл </li>                        <li class="tec-char"><span>Материал лотка:</span> металл </li>                        <li class="tec-char"><span>Отсек для хранения насадок:</span> Есть </li>                        <li class="tec-char"><span>Прорезиненные ножки:</span> Есть </li>                        <li class="tec-char"><span>Защита двигателя от перегрузки:</span> Есть </li>                        <li class="tec-char"><span>Мощность:</span> 1400 Вт</li>                        <li class="tec-char"><span>Производительность:</span> 1.5 кг/мин</li>                        <li class="tec-char"><span>Система реверса:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Насадки</th></tr>						<tr><td class="tthlbl">Насадка для шинковки:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Насадка-терка:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Перфорированный диск для фарша:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Прочие насадки:</td><td>для кеббе</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик/металл</td></tr>						<tr><td class="tthlbl">Материал лотка:</td><td>металл</td></tr>						<tr><td class="tthlbl">Отсек для хранения насадок:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Отсек для хранения шнура:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Прорезиненные ножки:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Защита двигателя от перегрузки:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Количество перфорированных дисков:</td><td>3</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>1400Вт</td></tr>						<tr><td class="tthlbl">Насадка для кеббе:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Производительность:</td><td>1.5кг/мин</td></tr>						<tr><td class="tthlbl">Система реверса:</td><td>Есть</td></tr>					</table>;1339;assets/images/kuhonnaya-technika/mjasorubki/Myasorubka-MYSTERY-MGM-1450_STIzMzY4OFR0TDE4MA.jpg;assets/images/kuhonnaya-technika/mjasorubki/Myasorubka-MYSTERY-MGM-1450_STIzMzY4OFRp.jpg;MYSTERY;
38;Мясорубка MYSTERY MGM-1550;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/mjasorubki?mfr=1478">MYSTERY</a> </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик/металл </li>                        <li class="tec-char"><span>Материал лотка:</span> металл </li>                        <li class="tec-char"><span>Отсек для хранения насадок:</span> Есть </li>                        <li class="tec-char"><span>Прорезиненные ножки:</span> Есть </li>                        <li class="tec-char"><span>Защита двигателя от перегрузки:</span> Есть </li>                        <li class="tec-char"><span>Мощность:</span> 1500 Вт</li>                        <li class="tec-char"><span>Производительность:</span> 1.5 кг/мин</li>                        <li class="tec-char"><span>Система реверса:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Насадки</th></tr>						<tr><td class="tthlbl">Насадка для шинковки:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Насадка-терка:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Перфорированный диск для фарша:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Прочие насадки:</td><td>для кеббе</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик/металл</td></tr>						<tr><td class="tthlbl">Материал лотка:</td><td>металл</td></tr>						<tr><td class="tthlbl">Отсек для хранения насадок:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Прорезиненные ножки:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Защита двигателя от перегрузки:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Количество перфорированных дисков:</td><td>3</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>1500Вт</td></tr>						<tr><td class="tthlbl">Насадка для кеббе:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Производительность:</td><td>1.5кг/мин</td></tr>						<tr><td class="tthlbl">Система реверса:</td><td>Есть</td></tr>					</table>;1464;assets/images/kuhonnaya-technika/mjasorubki/Myasorubka-MYSTERY-MGM-1550_STIzMzY4OVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/mjasorubki/Myasorubka-MYSTERY-MGM-1550_STIzMzY4OVRp.jpg;MYSTERY;
38;Мясорубка VR MG-3387 V;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/mjasorubki?mfr=2753">VR</a> </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Материал лотка:</span> металл </li>                        <li class="tec-char"><span>Отсек для хранения насадок:</span> Нет </li>                        <li class="tec-char"><span>Защита двигателя от перегрузки:</span> Есть </li>                        <li class="tec-char"><span>Мощность:</span> 250 Вт</li>                        <li class="tec-char"><span>Система реверса:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Насадки</th></tr>						<tr><td class="tthlbl">Насадка для приготовления колбас:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Насадка для шинковки:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Насадка-терка:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Перфорированный диск для фарша:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Прочие насадки:</td><td>для кеббе</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Дополнительная информация:</td><td>мощность при блокировке мотора 1000 Вт</td></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><td class="tthlbl">Материал лотка:</td><td>металл</td></tr>						<tr><td class="tthlbl">Отсек для хранения насадок:</td><td>Нет</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Защита двигателя от перегрузки:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Количество перфорированных дисков:</td><td>3</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>250Вт</td></tr>						<tr><td class="tthlbl">Насадка для кеббе:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Система реверса:</td><td>Есть</td></tr>					</table>;1529;assets/images/kuhonnaya-technika/mjasorubki/Myasorubka-VR-MG-3387-V_STQ5MzczVHRMMTgw.jpg;assets/images/kuhonnaya-technika/mjasorubki/Myasorubka-VR-MG-3387-V_STQ5MzczVGk.jpg;VR;
38;Мясорубка SEVERIN FW3781;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/mjasorubki?mfr=1929">SEVERIN</a> </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Материал лотка:</span> пластик </li>                        <li class="tec-char"><span>Прорезиненные ножки:</span> Есть </li>                        <li class="tec-char"><span>Мощность:</span> 600 Вт</li>                        <li class="tec-char"><span>Система реверса:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Насадки</th></tr>						<tr><td class="tthlbl">Насадка для приготовления колбас:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Насадка для шинковки:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Насадка-терка:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Перфорированный диск для фарша:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Прочие насадки:</td><td>для нарезки печенья</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><td class="tthlbl">Материал лотка:</td><td>пластик</td></tr>						<tr><td class="tthlbl">Прорезиненные ножки:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Количество перфорированных дисков:</td><td>3</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>600Вт</td></tr>						<tr><td class="tthlbl">Насадка для нарезки печенья:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Система реверса:</td><td>Есть</td></tr>					</table>;1545;assets/images/kuhonnaya-technika/mjasorubki/Myasorubka-SEVERIN-FW3781_STIzOTQzN1R0TDE4MA.jpg;assets/images/kuhonnaya-technika/mjasorubki/Myasorubka-SEVERIN-FW3781_STIzOTQzN1Rp.jpg;SEVERIN;
38;Мясорубка SUPRA MGS-1351;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/mjasorubki?mfr=2092">SUPRA</a> </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик/металл </li>                        <li class="tec-char"><span>Материал лотка:</span> металл </li>                        <li class="tec-char"><span>Отсек для хранения насадок:</span> Нет </li>                        <li class="tec-char"><span>Прорезиненные ножки:</span> Есть </li>                        <li class="tec-char"><span>Защита двигателя от перегрузки:</span> Нет </li>                        <li class="tec-char"><span>Мощность:</span> 1300 Вт</li>                        <li class="tec-char"><span>Производительность:</span> 0.8 кг/мин</li>                        <li class="tec-char"><span>Система реверса:</span> Нет </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>3.7кг</td></tr>						<tr><th colspan="2">Насадки</th></tr>						<tr><td class="tthlbl">Насадка для приготовления колбас:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Насадка для шинковки:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Насадка-терка:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Перфорированный диск для фарша:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Прочие насадки:</td><td>для кеббе</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик/металл</td></tr>						<tr><td class="tthlbl">Материал лотка:</td><td>металл</td></tr>						<tr><td class="tthlbl">Отсек для хранения насадок:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Прорезиненные ножки:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Защита двигателя от перегрузки:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Количество перфорированных дисков:</td><td>3</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>1300Вт</td></tr>						<tr><td class="tthlbl">Насадка для кеббе:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Производительность:</td><td>0.8кг/мин</td></tr>						<tr><td class="tthlbl">Система реверса:</td><td>Нет</td></tr>					</table>;1699;assets/images/kuhonnaya-technika/mjasorubki/Myasorubka-SUPRA-MGS-1351_STQ0OTk5VHRMMTgw.jpg;assets/images/kuhonnaya-technika/mjasorubki/Myasorubka-SUPRA-MGS-1351_STQ0OTk5VGk.jpg;SUPRA;
38;Мясорубка VR MG-3390 SV;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/mjasorubki?mfr=2753">VR</a> </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик/металл </li>                        <li class="tec-char"><span>Материал лотка:</span> металл </li>                        <li class="tec-char"><span>Отсек для хранения насадок:</span> Нет </li>                        <li class="tec-char"><span>Защита двигателя от перегрузки:</span> Есть </li>                        <li class="tec-char"><span>Мощность:</span> 250 Вт</li>                        <li class="tec-char"><span>Система реверса:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Насадки</th></tr>						<tr><td class="tthlbl">Насадка для приготовления колбас:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Насадка для шинковки:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Насадка-терка:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Перфорированный диск для фарша:</td><td>Есть</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Дополнительная информация:</td><td>мощность при блокировке вала 1000 Вт</td></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик/металл</td></tr>						<tr><td class="tthlbl">Материал лотка:</td><td>металл</td></tr>						<tr><td class="tthlbl">Отсек для хранения насадок:</td><td>Нет</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Защита двигателя от перегрузки:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Количество перфорированных дисков:</td><td>3</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>250Вт</td></tr>						<tr><td class="tthlbl">Насадка для кеббе:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Система реверса:</td><td>Есть</td></tr>					</table>;1899;assets/images/kuhonnaya-technika/mjasorubki/Myasorubka-VR-MG-3390-SV_STQ5MzI3VHRMMTgw.jpg;assets/images/kuhonnaya-technika/mjasorubki/Myasorubka-VR-MG-3390-SV_STQ5MzI3VGk.jpg;VR;
