parent;pagetitle;content1;content2;price;picture;picture-big;brand;
42;Плита настольная электрическая ВЕЛИКИЕ РЕКИ Астра-Т1;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/plity_nastol_nyje_elektricheskije?mfr=2727">ВЕЛИКИЕ РЕКИ</a> </li>                        <li class="tec-char"><span>Автоматика закипания:</span> Нет </li>                        <li class="tec-char"><span>Блокировка панели управления:</span> Нет </li>                        <li class="tec-char"><span>Индикаторы остаточного тепла:</span> Нет </li>                        <li class="tec-char"><span>Количество конфорок:</span> 1 </li>                        <li class="tec-char"><span>Рабочая поверхность:</span> эмаль </li>                        <li class="tec-char"><span>Защитное отключение:</span> Есть </li>                        <li class="tec-char"><span>Тип варочной панели:</span> электрическая </li>                        <li class="tec-char"><span>Тип управления:</span> механическое </li>                        <li class="tec-char"><span>Цвет:</span> белый </li>                        <li class="tec-char"><span>Часы:</span> Нет </li>                        <li class="tec-char"><span>Мощность:</span> 1000 Вт</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Варочная панель</th></tr>						<tr><td class="tthlbl">Автоматика закипания:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Блокировка панели управления:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Индикаторы остаточного тепла:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Количество конфорок:</td><td>1</td></tr>						<tr><td class="tthlbl">Рабочая поверхность:</td><td>эмаль</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Духовка:</td><td>отсутствует</td></tr>						<tr><td class="tthlbl">Защитное отключение:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Размеры (ШхГхВ):</td><td>24/22/8см</td></tr>						<tr><td class="tthlbl">Тип варочной панели:</td><td>электрическая</td></tr>						<tr><td class="tthlbl">Тип управления:</td><td>механическое</td></tr>						<tr><td class="tthlbl">Цвет:</td><td>белый</td></tr>						<tr><td class="tthlbl">Часы:</td><td>Нет</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Ящик для посуды:</td><td>Нет</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Мощность:</td><td>1000Вт</td></tr>					</table>;480;assets/images/kuhonnaya-technika/plity_nastol_nyje_elektricheskije/Plita-nastolnaya-elektricheskaya-VELIKIE-REKI-Astra-T1_STIzMjcxMlR0TDE4MA.jpg;assets/images/kuhonnaya-technika/plity_nastol_nyje_elektricheskije/Plita-nastolnaya-elektricheskaya-VELIKIE-REKI-Astra-T1_STIzMjcxMlRp.jpg;ВЕЛИКИЕ РЕКИ;
42;Электроплита ENERGY EN-903;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/plity_nastol_nyje_elektricheskije?mfr=704">ENERGY</a> </li>                        <li class="tec-char"><span>Автоматика закипания:</span> Нет </li>                        <li class="tec-char"><span>Блокировка панели управления:</span> Нет </li>                        <li class="tec-char"><span>Количество конфорок:</span> 2 </li>                        <li class="tec-char"><span>Рабочая поверхность:</span> эмаль </li>                        <li class="tec-char"><span>Защитное отключение:</span> Нет </li>                        <li class="tec-char"><span>Тип варочной панели:</span> электрическая </li>                        <li class="tec-char"><span>Тип управления:</span> механическое </li>                        <li class="tec-char"><span>Цвет:</span> серебристый </li>                        <li class="tec-char"><span>Часы:</span> Нет </li>                        <li class="tec-char"><span>Мощность:</span> 1500 Вт</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Варочная панель</th></tr>						<tr><td class="tthlbl">Автоматика закипания:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Блокировка панели управления:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Количество конфорок:</td><td>2</td></tr>						<tr><td class="tthlbl">Рабочая поверхность:</td><td>эмаль</td></tr>						<tr><th colspan="2">Другие функции и особенности</th></tr>						<tr><td class="tthlbl">Индикатор остаточного тепла:</td><td>Нет</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Защитное отключение:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Тип варочной панели:</td><td>электрическая</td></tr>						<tr><td class="tthlbl">Тип управления:</td><td>механическое</td></tr>						<tr><td class="tthlbl">Цвет:</td><td>серебристый</td></tr>						<tr><td class="tthlbl">Часы:</td><td>Нет</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Ящик для посуды:</td><td>Нет</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Мощность:</td><td>1500Вт</td></tr>					</table>;779;assets/images/kuhonnaya-technika/plity_nastol_nyje_elektricheskije/Elektroplita-ENERGY-EN-903_STIzOTcwMFR0TDE4MA.jpg;assets/images/kuhonnaya-technika/plity_nastol_nyje_elektricheskije/Elektroplita-ENERGY-EN-903_STIzOTcwMFRp.jpg;ENERGY;
42;Электроплита ENERGY EN-903;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/plity_nastol_nyje_elektricheskije?mfr=704">ENERGY</a> </li>                        <li class="tec-char"><span>Автоматика закипания:</span> Нет </li>                        <li class="tec-char"><span>Блокировка панели управления:</span> Нет </li>                        <li class="tec-char"><span>Количество конфорок:</span> 2 </li>                        <li class="tec-char"><span>Рабочая поверхность:</span> эмаль </li>                        <li class="tec-char"><span>Защитное отключение:</span> Нет </li>                        <li class="tec-char"><span>Тип варочной панели:</span> электрическая </li>                        <li class="tec-char"><span>Тип управления:</span> механическое </li>                        <li class="tec-char"><span>Цвет:</span> серебристый </li>                        <li class="tec-char"><span>Часы:</span> Нет </li>                        <li class="tec-char"><span>Мощность:</span> 1500 Вт</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Варочная панель</th></tr>						<tr><td class="tthlbl">Автоматика закипания:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Блокировка панели управления:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Количество конфорок:</td><td>2</td></tr>						<tr><td class="tthlbl">Рабочая поверхность:</td><td>эмаль</td></tr>						<tr><th colspan="2">Другие функции и особенности</th></tr>						<tr><td class="tthlbl">Индикатор остаточного тепла:</td><td>Нет</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Защитное отключение:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Тип варочной панели:</td><td>электрическая</td></tr>						<tr><td class="tthlbl">Тип управления:</td><td>механическое</td></tr>						<tr><td class="tthlbl">Цвет:</td><td>серебристый</td></tr>						<tr><td class="tthlbl">Часы:</td><td>Нет</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Ящик для посуды:</td><td>Нет</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Мощность:</td><td>1500Вт</td></tr>					</table>;779;assets/images/kuhonnaya-technika/plity_nastol_nyje_elektricheskije/Elektroplita-ENERGY-EN-903_STIzOTcwMFR0TDE4MA.jpg;assets/images/kuhonnaya-technika/plity_nastol_nyje_elektricheskije/Elektroplita-ENERGY-EN-903_STIzOTcwMFRp.jpg;ENERGY;
42;Плита настольная электрическая МЕЧТА 112Т белая;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/plity_nastol_nyje_elektricheskije?mfr=2535">МЕЧТА</a> </li>                        <li class="tec-char"><span>Автоматика закипания:</span> Нет </li>                        <li class="tec-char"><span>Блокировка панели управления:</span> Нет </li>                        <li class="tec-char"><span>Количество конфорок:</span> 1 </li>                        <li class="tec-char"><span>Защитное отключение:</span> Нет </li>                        <li class="tec-char"><span>Тип варочной панели:</span> электрическая </li>                        <li class="tec-char"><span>Тип управления:</span> механическое </li>                        <li class="tec-char"><span>Цвет:</span> белый </li>                        <li class="tec-char"><span>Мощность:</span> 1000 Вт</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Варочная панель</th></tr>						<tr><td class="tthlbl">Автоматика закипания:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Блокировка панели управления:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Количество конфорок:</td><td>1</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Защитное отключение:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Тип варочной панели:</td><td>электрическая</td></tr>						<tr><td class="tthlbl">Тип управления:</td><td>механическое</td></tr>						<tr><td class="tthlbl">Цвет:</td><td>белый</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Мощность:</td><td>1000Вт</td></tr>					</table>;930;assets/images/kuhonnaya-technika/plity_nastol_nyje_elektricheskije/Plita-nastolnaya-elektricheskaya-MEChTA-112T-belaya_STIzMjcyNlR0TDE4MA.jpg;assets/images/kuhonnaya-technika/plity_nastol_nyje_elektricheskije/Plita-nastolnaya-elektricheskaya-MEChTA-112T-belaya_STIzMjcyNlRp.jpg;МЕЧТА;
42;Плита настольная электрическая МЕЧТА 111Т черная;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/plity_nastol_nyje_elektricheskije?mfr=2535">МЕЧТА</a> </li>                        <li class="tec-char"><span>Автоматика закипания:</span> Нет </li>                        <li class="tec-char"><span>Блокировка панели управления:</span> Нет </li>                        <li class="tec-char"><span>Индикаторы остаточного тепла:</span> Нет </li>                        <li class="tec-char"><span>Количество конфорок:</span> 1 </li>                        <li class="tec-char"><span>Рабочая поверхность:</span> эмаль </li>                        <li class="tec-char"><span>Защитное отключение:</span> Нет </li>                        <li class="tec-char"><span>Тип варочной панели:</span> электрическая </li>                        <li class="tec-char"><span>Тип управления:</span> механическое </li>                        <li class="tec-char"><span>Цвет:</span> черный </li>                        <li class="tec-char"><span>Часы:</span> Нет </li>                        <li class="tec-char"><span>Мощность:</span> 1000 Вт</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Варочная панель</th></tr>						<tr><td class="tthlbl">Автоматика закипания:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Блокировка панели управления:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Индикаторы остаточного тепла:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Количество конфорок:</td><td>1</td></tr>						<tr><td class="tthlbl">Рабочая поверхность:</td><td>эмаль</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Духовка:</td><td>отсутствует</td></tr>						<tr><td class="tthlbl">Защитное отключение:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Размеры (ШхГхВ):</td><td>31,5/30/5,5см</td></tr>						<tr><td class="tthlbl">Тип варочной панели:</td><td>электрическая</td></tr>						<tr><td class="tthlbl">Тип управления:</td><td>механическое</td></tr>						<tr><td class="tthlbl">Цвет:</td><td>черный</td></tr>						<tr><td class="tthlbl">Часы:</td><td>Нет</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Ящик для посуды:</td><td>Нет</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Мощность:</td><td>1000Вт</td></tr>					</table>;930;assets/images/kuhonnaya-technika/plity_nastol_nyje_elektricheskije/Plita-nastolnaya-elektricheskaya-MEChTA-111T-chernaya_STIzMjcxMVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/plity_nastol_nyje_elektricheskije/Plita-nastolnaya-elektricheskaya-MEChTA-111T-chernaya_STIzMjcxMVRp.jpg;МЕЧТА;
42;Плита настольная электрическая НОВОВЯТКА Искорка 040;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/plity_nastol_nyje_elektricheskije?mfr=2547">НОВОВЯТКА</a> </li>                        <li class="tec-char"><span>Автоматика закипания:</span> Нет </li>                        <li class="tec-char"><span>Блокировка панели управления:</span> Нет </li>                        <li class="tec-char"><span>Индикаторы остаточного тепла:</span> Нет </li>                        <li class="tec-char"><span>Количество конфорок:</span> 1 </li>                        <li class="tec-char"><span>Рабочая поверхность:</span> эмаль </li>                        <li class="tec-char"><span>Защитное отключение:</span> Нет </li>                        <li class="tec-char"><span>Тип варочной панели:</span> электрическая </li>                        <li class="tec-char"><span>Тип управления:</span> механическое </li>                        <li class="tec-char"><span>Цвет:</span> черный </li>                        <li class="tec-char"><span>Часы:</span> Нет </li>                        <li class="tec-char"><span>Мощность:</span> 900 Вт</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Варочная панель</th></tr>						<tr><td class="tthlbl">Автоматика закипания:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Блокировка панели управления:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Индикаторы остаточного тепла:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Количество конфорок:</td><td>1</td></tr>						<tr><td class="tthlbl">Рабочая поверхность:</td><td>эмаль</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Духовка:</td><td>отсутствует</td></tr>						<tr><td class="tthlbl">Защитное отключение:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Размеры (ШхГхВ):</td><td>35,5/28/8см</td></tr>						<tr><td class="tthlbl">Тип варочной панели:</td><td>электрическая</td></tr>						<tr><td class="tthlbl">Тип управления:</td><td>механическое</td></tr>						<tr><td class="tthlbl">Цвет:</td><td>черный</td></tr>						<tr><td class="tthlbl">Часы:</td><td>Нет</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Ящик для посуды:</td><td>Нет</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Мощность:</td><td>900Вт</td></tr>					</table>;1249;assets/images/kuhonnaya-technika/plity_nastol_nyje_elektricheskije/Plita-nastolnaya-elektricheskaya-NOVOVYaTKA-Iskorka-040_STIzMjc4NFR0TDE4MA.jpg;assets/images/kuhonnaya-technika/plity_nastol_nyje_elektricheskije/Plita-nastolnaya-elektricheskaya-NOVOVYaTKA-Iskorka-040_STIzMjc4NFRp.jpg;НОВОВЯТКА;
42;Плита настольная электрическая МЕЧТА 212Т черная;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/plity_nastol_nyje_elektricheskije?mfr=2535">МЕЧТА</a> </li>                        <li class="tec-char"><span>Автоматика закипания:</span> Нет </li>                        <li class="tec-char"><span>Блокировка панели управления:</span> Нет </li>                        <li class="tec-char"><span>Индикаторы остаточного тепла:</span> Нет </li>                        <li class="tec-char"><span>Количество конфорок:</span> 2 </li>                        <li class="tec-char"><span>Рабочая поверхность:</span> эмаль </li>                        <li class="tec-char"><span>Защитное отключение:</span> Нет </li>                        <li class="tec-char"><span>Тип варочной панели:</span> электрическая </li>                        <li class="tec-char"><span>Тип управления:</span> механическое </li>                        <li class="tec-char"><span>Цвет:</span> черный </li>                        <li class="tec-char"><span>Часы:</span> Нет </li>                        <li class="tec-char"><span>Мощность:</span> 2000 Вт</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Варочная панель</th></tr>						<tr><td class="tthlbl">Автоматика закипания:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Блокировка панели управления:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Индикаторы остаточного тепла:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Количество конфорок:</td><td>2</td></tr>						<tr><td class="tthlbl">Рабочая поверхность:</td><td>эмаль</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Защитное отключение:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Размеры (ШхГхВ):</td><td>54/29,6/8см</td></tr>						<tr><td class="tthlbl">Тип варочной панели:</td><td>электрическая</td></tr>						<tr><td class="tthlbl">Тип управления:</td><td>механическое</td></tr>						<tr><td class="tthlbl">Цвет:</td><td>черный</td></tr>						<tr><td class="tthlbl">Часы:</td><td>Нет</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Ящик для посуды:</td><td>Нет</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Мощность:</td><td>2000Вт</td></tr>					</table>;1480;assets/images/kuhonnaya-technika/plity_nastol_nyje_elektricheskije/Plita-nastolnaya-elektricheskaya-MEChTA-212T-chernaya_STIzMjcyNFR0TDE4MA.jpg;assets/images/kuhonnaya-technika/plity_nastol_nyje_elektricheskije/Plita-nastolnaya-elektricheskaya-MEChTA-212T-chernaya_STIzMjcyNFRp.jpg;МЕЧТА;
42;Плита настольная электрическая МЕЧТА 212Т белая;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/plity_nastol_nyje_elektricheskije?mfr=2535">МЕЧТА</a> </li>                        <li class="tec-char"><span>Автоматика закипания:</span> Нет </li>                        <li class="tec-char"><span>Блокировка панели управления:</span> Нет </li>                        <li class="tec-char"><span>Индикаторы остаточного тепла:</span> Нет </li>                        <li class="tec-char"><span>Количество конфорок:</span> 2 </li>                        <li class="tec-char"><span>Рабочая поверхность:</span> эмаль </li>                        <li class="tec-char"><span>Защитное отключение:</span> Нет </li>                        <li class="tec-char"><span>Тип варочной панели:</span> электрическая </li>                        <li class="tec-char"><span>Тип управления:</span> механическое </li>                        <li class="tec-char"><span>Цвет:</span> белый </li>                        <li class="tec-char"><span>Часы:</span> Нет </li>                        <li class="tec-char"><span>Мощность:</span> 2000 Вт</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Варочная панель</th></tr>						<tr><td class="tthlbl">Автоматика закипания:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Блокировка панели управления:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Индикаторы остаточного тепла:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Количество конфорок:</td><td>2</td></tr>						<tr><td class="tthlbl">Рабочая поверхность:</td><td>эмаль</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Защитное отключение:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Тип варочной панели:</td><td>электрическая</td></tr>						<tr><td class="tthlbl">Тип управления:</td><td>механическое</td></tr>						<tr><td class="tthlbl">Цвет:</td><td>белый</td></tr>						<tr><td class="tthlbl">Часы:</td><td>Нет</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Ящик для посуды:</td><td>Нет</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Мощность:</td><td>2000Вт</td></tr>					</table>;1480;assets/images/kuhonnaya-technika/plity_nastol_nyje_elektricheskije/Plita-nastolnaya-elektricheskaya-MEChTA-212T-belaya_STI1MDgwNlR0TDE4MA.jpg;assets/images/kuhonnaya-technika/plity_nastol_nyje_elektricheskije/Plita-nastolnaya-elektricheskaya-MEChTA-212T-belaya_STI1MDgwNlRp.jpg;МЕЧТА;
42;Плита настольная электрическая МЕЧТА 211T белая;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/plity_nastol_nyje_elektricheskije?mfr=2535">МЕЧТА</a> </li>                        <li class="tec-char"><span>Автоматика закипания:</span> Нет </li>                        <li class="tec-char"><span>Блокировка панели управления:</span> Нет </li>                        <li class="tec-char"><span>Индикаторы остаточного тепла:</span> Нет </li>                        <li class="tec-char"><span>Количество конфорок:</span> 2 </li>                        <li class="tec-char"><span>Защитное отключение:</span> Нет </li>                        <li class="tec-char"><span>Тип варочной панели:</span> электрическая </li>                        <li class="tec-char"><span>Тип управления:</span> механическое </li>                        <li class="tec-char"><span>Цвет:</span> белый </li>                        <li class="tec-char"><span>Часы:</span> Нет </li>                        <li class="tec-char"><span>Мощность:</span> 2000 Вт</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Варочная панель</th></tr>						<tr><td class="tthlbl">Автоматика закипания:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Блокировка панели управления:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Индикаторы остаточного тепла:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Количество конфорок:</td><td>2</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Духовка:</td><td>отсутствует</td></tr>						<tr><td class="tthlbl">Защитное отключение:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Размеры (ШхГхВ):</td><td>54/29,6/9см</td></tr>						<tr><td class="tthlbl">Тип варочной панели:</td><td>электрическая</td></tr>						<tr><td class="tthlbl">Тип управления:</td><td>механическое</td></tr>						<tr><td class="tthlbl">Цвет:</td><td>белый</td></tr>						<tr><td class="tthlbl">Часы:</td><td>Нет</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Ящик для посуды:</td><td>Нет</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Мощность:</td><td>2000Вт</td></tr>					</table>;1550;assets/images/kuhonnaya-technika/plity_nastol_nyje_elektricheskije/Plita-nastolnaya-elektricheskaya-MEChTA-211T-belaya_STIzMjcyN1R0TDE4MA.jpg;assets/images/kuhonnaya-technika/plity_nastol_nyje_elektricheskije/Plita-nastolnaya-elektricheskaya-MEChTA-211T-belaya_STIzMjcyN1Rp.jpg;МЕЧТА;
42;Плита настольная электрическая МЕЧТА 211T черная;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/plity_nastol_nyje_elektricheskije?mfr=2535">МЕЧТА</a> </li>                        <li class="tec-char"><span>Автоматика закипания:</span> Нет </li>                        <li class="tec-char"><span>Блокировка панели управления:</span> Нет </li>                        <li class="tec-char"><span>Количество конфорок:</span> 2 </li>                        <li class="tec-char"><span>Рабочая поверхность:</span> эмаль </li>                        <li class="tec-char"><span>Защитное отключение:</span> Нет </li>                        <li class="tec-char"><span>Тип варочной панели:</span> электрическая </li>                        <li class="tec-char"><span>Тип управления:</span> механическое </li>                        <li class="tec-char"><span>Цвет:</span> черный </li>                        <li class="tec-char"><span>Мощность:</span> 2000 Вт</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Варочная панель</th></tr>						<tr><td class="tthlbl">Автоматика закипания:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Блокировка панели управления:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Количество конфорок:</td><td>2</td></tr>						<tr><td class="tthlbl">Рабочая поверхность:</td><td>эмаль</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Защитное отключение:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Тип варочной панели:</td><td>электрическая</td></tr>						<tr><td class="tthlbl">Тип управления:</td><td>механическое</td></tr>						<tr><td class="tthlbl">Цвет:</td><td>черный</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Мощность:</td><td>2000Вт</td></tr>					</table>;1550;assets/images/kuhonnaya-technika/plity_nastol_nyje_elektricheskije/Plita-nastolnaya-elektricheskaya-MEChTA-211T-chernaya_STI1Mjg5OVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/plity_nastol_nyje_elektricheskije/Plita-nastolnaya-elektricheskaya-MEChTA-211T-chernaya_STI1Mjg5OVRp.jpg;МЕЧТА;
