parent;pagetitle;content1;content2;price;picture;picture-big;brand;
43;Крышка MONETA 5847.20 (20 см);<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2675">MONETA</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;150;assets/images/kuhonnaya-technika/skovorodki/Kryshka-MONETA-5847-20-%2820-sm%29_STI0ODE4MFR0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Kryshka-MONETA-5847-20-%2820-sm%29_STI0ODE4MFRp.jpg;MONETA;
43;Крышка MONETA 5847.22 (22 см);<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2675">MONETA</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;180;assets/images/kuhonnaya-technika/skovorodki/Kryshka-MONETA-5847-22-%2822-sm%29_STI0ODE4MVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Kryshka-MONETA-5847-22-%2822-sm%29_STI0ODE4MVRp.jpg;MONETA;
43;Крышка MONETA 5847.22 (22 см);<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2675">MONETA</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;180;assets/images/kuhonnaya-technika/skovorodki/Kryshka-MONETA-5847-22-%2822-sm%29_STI0ODE4MVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Kryshka-MONETA-5847-22-%2822-sm%29_STI0ODE4MVRp.jpg;MONETA;
43;Крышка стеклянная TimA 4724;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2831">TimA</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;200;assets/images/kuhonnaya-technika/skovorodki/Kryshka-steklyannaya-TimA-4724_STI0ODE4NFR0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Kryshka-steklyannaya-TimA-4724_STI0ODE4NFRp.jpg;TimA;
43;Крышка стеклянная ВАСИЛЬЕВСКОЕ СТЕКЛО 4824;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2832">ВАСИЛЬЕВСКОЕ СТЕКЛО</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;220;assets/images/kuhonnaya-technika/skovorodki/Kryshka-steklyannaya-VASILEVSKOE-STEKLO-4824_STI0ODE3N1R0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Kryshka-steklyannaya-VASILEVSKOE-STEKLO-4824_STI0ODE3N1Rp.jpg;ВАСИЛЬЕВСКОЕ СТЕКЛО;
43;Крышка стеклянная TimA 4726;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2831">TimA</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;220;assets/images/kuhonnaya-technika/skovorodki/Kryshka-steklyannaya-TimA-4726_STI0ODE5NlR0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Kryshka-steklyannaya-TimA-4726_STI0ODE5NlRp.jpg;TimA;
43;Крышка MONETA 5847.28 (28 см);<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2675">MONETA</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;230;assets/images/kuhonnaya-technika/skovorodki/Kryshka-MONETA-5847-28-%2828-sm%29_STI0ODE4MlR0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Kryshka-MONETA-5847-28-%2828-sm%29_STI0ODE4MlRp.jpg;MONETA;
43;Крышка стеклянная TimA 4728;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2831">TimA</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;260;assets/images/kuhonnaya-technika/skovorodki/Kryshka-steklyannaya-TimA-4728_STI0ODE5N1R0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Kryshka-steklyannaya-TimA-4728_STI0ODE5N1Rp.jpg;TimA;
43;Крышка стеклянная ВАСИЛЬЕВСКОЕ СТЕКЛО 4826;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2832">ВАСИЛЬЕВСКОЕ СТЕКЛО</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;260;assets/images/kuhonnaya-technika/skovorodki/Kryshka-steklyannaya-VASILEVSKOE-STEKLO-4826_STI0ODE3OFR0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Kryshka-steklyannaya-VASILEVSKOE-STEKLO-4826_STI0ODE3OFRp.jpg;ВАСИЛЬЕВСКОЕ СТЕКЛО;
43;Крышка стеклянная ВАСИЛЬЕВСКОЕ СТЕКЛО 4828;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2832">ВАСИЛЬЕВСКОЕ СТЕКЛО</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;300;assets/images/kuhonnaya-technika/skovorodki/Kryshka-steklyannaya-VASILEVSKOE-STEKLO-4828_STI0ODE3OVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Kryshka-steklyannaya-VASILEVSKOE-STEKLO-4828_STI0ODE3OVRp.jpg;ВАСИЛЬЕВСКОЕ СТЕКЛО;
43;Крышка TEFAL 90222;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2143">TEFAL</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;499;assets/images/kuhonnaya-technika/skovorodki/Kryshka-TEFAL-90222_STI0OTk3NVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Kryshka-TEFAL-90222_STI0OTk3NVRp.jpg;TEFAL;
43;Крышка BALLARINI 334902.20 (20 см);<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/posuda/skovorodki?mfr=2629">BALLARINI</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;539;assets/images/kuhonnaya-technika/skovorodki/Kryshka-BALLARINI-334902-20-%2820-sm%29_STI0OTkwMVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/skovorodki/Kryshka-BALLARINI-334902-20-%2820-sm%29_STI0OTkwMVRp.jpg;BALLARINI;
