parent;pagetitle;content1;content2;price;picture;picture-big;brand;
45;Соковыжималка BINATONE NCJ 7708 BS;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/sokovyzhimalki?mfr=303">BINATONE</a> </li>                        <li class="tec-char"><span>Мощность:</span> 22 Вт</li>                        <li class="tec-char"><span>Объем резервуара для сока:</span> 1.2 л</li>                        <li class="tec-char"><span>Система реверса:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>1.12кг</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Индикатор уровня сока:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Количество конусных насадок:</td><td>2</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>22Вт</td></tr>						<tr><td class="tthlbl">Объем резервуара для сока:</td><td>1.2л</td></tr>						<tr><td class="tthlbl">Резервуар для сока:</td><td>встроенный</td></tr>						<tr><td class="tthlbl">Система прямой подачи сока:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Система реверса:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Тип соковыжималки:</td><td>для цитрусовых</td></tr>						<tr><th colspan="2">Управление</th></tr>						<tr><td class="tthlbl">Регулировка количества мякоти:</td><td>Есть</td></tr>					</table>;584;assets/images/kuhonnaya-technika/sokovyzhimalki/Sokovyzhimalka-BINATONE-NCJ-7708-BS_STI0MjkxNlR0TDE4MA.jpg;assets/images/kuhonnaya-technika/sokovyzhimalki/Sokovyzhimalka-BINATONE-NCJ-7708-BS_STI0MjkxNlRp.jpg;BINATONE;
45;Соковыжималка BOSCH MCP 3000;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/sokovyzhimalki?mfr=343">BOSCH</a> </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Мощность:</span> 25 Вт</li>                        <li class="tec-char"><span>Объем резервуара для сока:</span> 0.8 л</li>                        <li class="tec-char"><span>Количество скоростей:</span> 1 </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Индикатор уровня сока:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><td class="tthlbl">Отсек для сетевого шнура:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Мощность:</td><td>25Вт</td></tr>						<tr><td class="tthlbl">Объем резервуара для сока:</td><td>0.8л</td></tr>						<tr><td class="tthlbl">Резервуар для сока:</td><td>встроенный</td></tr>						<tr><td class="tthlbl">Система прямой подачи сока:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Тип соковыжималки:</td><td>для цитрусовых</td></tr>						<tr><th colspan="2">Управление</th></tr>						<tr><td class="tthlbl">Количество скоростей:</td><td>1</td></tr>					</table>;676;assets/images/kuhonnaya-technika/sokovyzhimalki/Sokovyzhimalka-BOSCH-MCP-3000_STEyNTczMlR0TDE4MA.jpg;assets/images/kuhonnaya-technika/sokovyzhimalki/Sokovyzhimalka-BOSCH-MCP-3000_STEyNTczMlRp.jpg;BOSCH;
45;Соковыжималка BOSCH MCP 3000;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/sokovyzhimalki?mfr=343">BOSCH</a> </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Мощность:</span> 25 Вт</li>                        <li class="tec-char"><span>Объем резервуара для сока:</span> 0.8 л</li>                        <li class="tec-char"><span>Количество скоростей:</span> 1 </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Индикатор уровня сока:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><td class="tthlbl">Отсек для сетевого шнура:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Мощность:</td><td>25Вт</td></tr>						<tr><td class="tthlbl">Объем резервуара для сока:</td><td>0.8л</td></tr>						<tr><td class="tthlbl">Резервуар для сока:</td><td>встроенный</td></tr>						<tr><td class="tthlbl">Система прямой подачи сока:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Тип соковыжималки:</td><td>для цитрусовых</td></tr>						<tr><th colspan="2">Управление</th></tr>						<tr><td class="tthlbl">Количество скоростей:</td><td>1</td></tr>					</table>;676;assets/images/kuhonnaya-technika/sokovyzhimalki/Sokovyzhimalka-BOSCH-MCP-3000_STEyNTczMlR0TDE4MA.jpg;assets/images/kuhonnaya-technika/sokovyzhimalki/Sokovyzhimalka-BOSCH-MCP-3000_STEyNTczMlRp.jpg;BOSCH;
45;Соковыжималка BINATONE NCJ 7708 WS;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/sokovyzhimalki?mfr=303">BINATONE</a> </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Мощность:</span> 22 Вт</li>                        <li class="tec-char"><span>Объем резервуара для сока:</span> 1.2 л</li>                        <li class="tec-char"><span>Система реверса:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>1.12кг</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Индикатор уровня сока:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Количество конусных насадок:</td><td>2</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>22Вт</td></tr>						<tr><td class="tthlbl">Объем резервуара для сока:</td><td>1.2л</td></tr>						<tr><td class="tthlbl">Резервуар для сока:</td><td>встроенный</td></tr>						<tr><td class="tthlbl">Система прямой подачи сока:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Система реверса:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Тип соковыжималки:</td><td>для цитрусовых</td></tr>					</table>;749;assets/images/kuhonnaya-technika/sokovyzhimalki/Sokovyzhimalka-BINATONE-NCJ-7708-WS_STI0MjkxOVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/sokovyzhimalki/Sokovyzhimalka-BINATONE-NCJ-7708-WS_STI0MjkxOVRp.jpg;BINATONE;
45;Соковыжималки SUPRA JES-1413;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/sokovyzhimalki?mfr=2092">SUPRA</a> </li>                        <li class="tec-char"><span>Высота:</span> 23.7 см</li>                        <li class="tec-char"><span>Глубина:</span> 27.2 см</li>                        <li class="tec-char"><span>Ширина:</span> 18.7 см</li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Мощность:</span> 350 Вт</li>                        <li class="tec-char"><span>Объем резервуара для мякоти:</span> 1.3 л</li>                        <li class="tec-char"><span>Количество скоростей:</span> 2 </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Высота:</td><td>23.7см</td></tr>						<tr><td class="tthlbl">Глубина:</td><td>27.2см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>18.7см</td></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>1.9кг</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Дополнительная информация:</td><td>низкий уровень шума</td></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Автоматический выброс мякоти:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>350Вт</td></tr>						<tr><td class="tthlbl">Объем резервуара для мякоти:</td><td>1.3л</td></tr>						<tr><td class="tthlbl">Резервуар для сока:</td><td>встроенный</td></tr>						<tr><td class="tthlbl">Система прямой подачи сока:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Тип соковыжималки:</td><td>универсальная</td></tr>						<tr><th colspan="2">Управление</th></tr>						<tr><td class="tthlbl">Количество скоростей:</td><td>2</td></tr>					</table>;839;assets/images/kuhonnaya-technika/sokovyzhimalki/Sokovyzhimalki-SUPRA-JES-1413_STI0NzczOFR0TDE4MA.jpg;assets/images/kuhonnaya-technika/sokovyzhimalki/Sokovyzhimalki-SUPRA-JES-1413_STI0NzczOFRp.jpg;SUPRA;
45;Соковыжималка MOULINEX BKB 2 Vitapress;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/sokovyzhimalki?mfr=1454">MOULINEX</a> </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Мощность:</span> 30 Вт</li>                        <li class="tec-char"><span>Объем резервуара для сока:</span> 0.6 л</li>                        <li class="tec-char"><span>Количество скоростей:</span> 1 </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Длина сетевого шнура:</td><td>0.96м</td></tr>						<tr><td class="tthlbl">Индикатор уровня сока:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><td class="tthlbl">Отсек для сетевого шнура:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Количество конусных насадок:</td><td>1</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>30Вт</td></tr>						<tr><td class="tthlbl">Объем резервуара для сока:</td><td>0.6л</td></tr>						<tr><td class="tthlbl">Резервуар для сока:</td><td>встроенный</td></tr>						<tr><td class="tthlbl">Система прямой подачи сока:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Тип соковыжималки:</td><td>универсальная</td></tr>						<tr><th colspan="2">Управление</th></tr>						<tr><td class="tthlbl">Импульсный режим:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Количество скоростей:</td><td>1</td></tr>						<tr><td class="tthlbl">Реверс:</td><td>Есть</td></tr>					</table>;849;assets/images/kuhonnaya-technika/sokovyzhimalki/Sokovyzhimalka-MOULINEX-BKB-2-Vitapress_STE4Njk4OVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/sokovyzhimalki/Sokovyzhimalka-MOULINEX-BKB-2-Vitapress_STE4Njk4OVRp.jpg;MOULINEX;
45;Соковыжималка PHILIPS HR 2737/70;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/sokovyzhimalki?mfr=1652">PHILIPS</a> </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Прорезиненные ножки:</span> Есть </li>                        <li class="tec-char"><span>Мощность:</span> 25 Вт</li>                        <li class="tec-char"><span>Объем резервуара для сока:</span> 0.4 л</li>                        <li class="tec-char"><span>Количество скоростей:</span> 1 </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Длина сетевого шнура:</td><td>1.2м</td></tr>						<tr><td class="tthlbl">Индикатор уровня сока:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><td class="tthlbl">Отсек для сетевого шнура:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Прорезиненные ножки:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Количество конусных насадок:</td><td>1</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>25Вт</td></tr>						<tr><td class="tthlbl">Объем резервуара для сока:</td><td>0.4л</td></tr>						<tr><td class="tthlbl">Резервуар для сока:</td><td>встроенный</td></tr>						<tr><td class="tthlbl">Система прямой подачи сока:</td><td>Нет</td></tr>						<tr><th colspan="2">Управление</th></tr>						<tr><td class="tthlbl">Импульсный режим:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Количество скоростей:</td><td>1</td></tr>						<tr><td class="tthlbl">Реверс:</td><td>Есть</td></tr>					</table>;889;assets/images/kuhonnaya-technika/sokovyzhimalki/Sokovyzhimalka-PHILIPS-HR-2737-70_STIyNzM5MFR0TDE4MA.jpg;assets/images/kuhonnaya-technika/sokovyzhimalki/Sokovyzhimalka-PHILIPS-HR-2737-70_STIyNzM5MFRp.jpg;PHILIPS;
45;Соковыжималка ARIETE 405 Spremiagrumi;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/sokovyzhimalki?mfr=149">ARIETE</a> </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Мощность:</span> 40 Вт</li>                        <li class="tec-char"><span>Количество скоростей:</span> 1 </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Количество конусных насадок:</td><td>2</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>40Вт</td></tr>						<tr><td class="tthlbl">Система прямой подачи сока:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Тип соковыжималки:</td><td>для цитрусовых</td></tr>						<tr><th colspan="2">Управление</th></tr>						<tr><td class="tthlbl">Количество скоростей:</td><td>1</td></tr>					</table>;900;assets/images/kuhonnaya-technika/sokovyzhimalki/Sokovyzhimalka-ARIETE-405-Spremiagrumi_STU1NTY2VHRMMTgw.jpg;assets/images/kuhonnaya-technika/sokovyzhimalki/Sokovyzhimalka-ARIETE-405-Spremiagrumi_STU1NTY2VGk.jpg;ARIETE;
45;Соковыжималка BRAUN MPZ9;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/sokovyzhimalki?mfr=352">BRAUN</a> </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Мощность:</span> 20 Вт</li>                        <li class="tec-char"><span>Объем резервуара для сока:</span> 1 л</li>                        <li class="tec-char"><span>Количество скоростей:</span> 1 </li>                        <li class="tec-char"><span>Максимальная скорость вращения:</span> 59 об/мин</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Индикатор уровня сока:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><td class="tthlbl">Отсек для сетевого шнура:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Мощность:</td><td>20Вт</td></tr>						<tr><td class="tthlbl">Объем резервуара для сока:</td><td>1л</td></tr>						<tr><td class="tthlbl">Резервуар для сока:</td><td>встроенный</td></tr>						<tr><td class="tthlbl">Система прямой подачи сока:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Тип соковыжималки:</td><td>для цитрусовых</td></tr>						<tr><th colspan="2">Управление</th></tr>						<tr><td class="tthlbl">Количество скоростей:</td><td>1</td></tr>						<tr><td class="tthlbl">Максимальная скорость вращения:</td><td>59об/мин</td></tr>						<tr><td class="tthlbl">Регулировка количества мякоти:</td><td>Есть</td></tr>					</table>;960;assets/images/kuhonnaya-technika/sokovyzhimalki/Sokovyzhimalka-BRAUN-MPZ9_STgzMTUzVHRMMTgw.jpg;assets/images/kuhonnaya-technika/sokovyzhimalki/Sokovyzhimalka-BRAUN-MPZ9_STgzMTUzVGk.jpg;BRAUN;
45;Соковыжималка PHILIPS HR 2744/40;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/sokovyzhimalki?mfr=1652">PHILIPS</a> </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Прорезиненные ножки:</span> Есть </li>                        <li class="tec-char"><span>Мощность:</span> 25 Вт</li>                        <li class="tec-char"><span>Объем резервуара для сока:</span> 0.6 л</li>                        <li class="tec-char"><span>Количество скоростей:</span> 1 </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Длина сетевого шнура:</td><td>1.2м</td></tr>						<tr><td class="tthlbl">Индикатор уровня сока:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><td class="tthlbl">Отсек для сетевого шнура:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Прорезиненные ножки:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Количество конусных насадок:</td><td>1</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>25Вт</td></tr>						<tr><td class="tthlbl">Объем резервуара для сока:</td><td>0.6л</td></tr>						<tr><td class="tthlbl">Прижимной механизм:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Резервуар для сока:</td><td>встроенный</td></tr>						<tr><td class="tthlbl">Система прямой подачи сока:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Тип соковыжималки:</td><td>для цитрусовых</td></tr>						<tr><th colspan="2">Управление</th></tr>						<tr><td class="tthlbl">Количество скоростей:</td><td>1</td></tr>						<tr><td class="tthlbl">Реверс:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Регулировка количества мякоти:</td><td>Есть</td></tr>					</table>;969;assets/images/kuhonnaya-technika/sokovyzhimalki/Sokovyzhimalka-PHILIPS-HR-2744-40_STIyNzM4OFR0TDE4MA.jpg;assets/images/kuhonnaya-technika/sokovyzhimalki/Sokovyzhimalka-PHILIPS-HR-2744-40_STIyNzM4OFRp.jpg;PHILIPS;
