parent;pagetitle;content1;content2;price;picture;picture-big;brand;
46;Сушка ВЕЛИКИЕ РЕКИ Ветерок-3;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/sushilki_dlja_ovoshhej_i_fruktov?mfr=2727">ВЕЛИКИЕ РЕКИ</a> </li>                        <li class="tec-char"><span>Высота:</span> 30 см</li>                        <li class="tec-char"><span>Ширина:</span> 32.5 см</li>                        <li class="tec-char"><span>Защита от перегрева:</span> Нет </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Таймер:</span> Есть </li>                        <li class="tec-char"><span>Встроенный вентилятор:</span> Нет </li>                        <li class="tec-char"><span>Дисплей:</span> Нет </li>                        <li class="tec-char"><span>Индикатор питания:</span> Нет </li>                        <li class="tec-char"><span>Количество секций:</span> 3 </li>                        <li class="tec-char"><span>Мощность:</span> 500 Вт</li>                        <li class="tec-char"><span>Напряжение:</span> 220 В</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Высота:</td><td>30см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>32.5см</td></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>3.5кг</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Защита от перегрева:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><td class="tthlbl">Таймер:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Встроенный вентилятор:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Индикатор питания:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Количество секций:</td><td>3</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>500Вт</td></tr>						<tr><td class="tthlbl">Напряжение:</td><td>220В</td></tr>						<tr><td class="tthlbl">Подходит для сушки:</td><td>грибовзеленилечебных травмясаовощейореховрыбыфруктовхлебаягод</td></tr>						<tr><td class="tthlbl">Прозрачная крышка:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Регулировка секций по высоте:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Регулируемый термостат:</td><td>Есть</td></tr>					</table>;1459;assets/images/kuhonnaya-technika/sushilki_dlja_ovoshhej_i_fruktov/Sushka-VELIKIE-REKI-Veterok-3_STI0MDgwOVR0TDE4MA.jpg;assets/images/kuhonnaya-technika/sushilki_dlja_ovoshhej_i_fruktov/Sushka-VELIKIE-REKI-Veterok-3_STI0MDgwOVRp.jpg;ВЕЛИКИЕ РЕКИ;
46;Сушка ВЕЛИКИЕ РЕКИ Ветерок-5;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/sushilki_dlja_ovoshhej_i_fruktov?mfr=2727">ВЕЛИКИЕ РЕКИ</a> </li>                        <li class="tec-char"><span>Защита от перегрева:</span> Нет </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Таймер:</span> Нет </li>                        <li class="tec-char"><span>Встроенный вентилятор:</span> Нет </li>                        <li class="tec-char"><span>Дисплей:</span> Нет </li>                        <li class="tec-char"><span>Индикатор питания:</span> Есть </li>                        <li class="tec-char"><span>Количество секций:</span> 5 </li>                        <li class="tec-char"><span>Мощность:</span> 500 Вт</li>                        <li class="tec-char"><span>Напряжение:</span> 220 В</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Защита от перегрева:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><td class="tthlbl">Таймер:</td><td>Нет</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Встроенный вентилятор:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Индикатор питания:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Количество секций:</td><td>5</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>500Вт</td></tr>						<tr><td class="tthlbl">Напряжение:</td><td>220В</td></tr>						<tr><td class="tthlbl">Подходит для сушки:</td><td>грибовзеленилечебных травмясаовощейореховрыбыфруктовхлебаягод</td></tr>						<tr><td class="tthlbl">Прозрачная крышка:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Регулировка секций по высоте:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Регулируемый термостат:</td><td>Есть</td></tr>					</table>;1720;assets/images/kuhonnaya-technika/sushilki_dlja_ovoshhej_i_fruktov/Sushka-VELIKIE-REKI-Veterok-5_STI0MDgxMFR0TDE4MA.jpg;assets/images/kuhonnaya-technika/sushilki_dlja_ovoshhej_i_fruktov/Sushka-VELIKIE-REKI-Veterok-5_STI0MDgxMFRp.jpg;ВЕЛИКИЕ РЕКИ;
46;Сушка ВЕЛИКИЕ РЕКИ Ветерок-5;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/sushilki_dlja_ovoshhej_i_fruktov?mfr=2727">ВЕЛИКИЕ РЕКИ</a> </li>                        <li class="tec-char"><span>Защита от перегрева:</span> Нет </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Таймер:</span> Нет </li>                        <li class="tec-char"><span>Встроенный вентилятор:</span> Нет </li>                        <li class="tec-char"><span>Дисплей:</span> Нет </li>                        <li class="tec-char"><span>Индикатор питания:</span> Есть </li>                        <li class="tec-char"><span>Количество секций:</span> 5 </li>                        <li class="tec-char"><span>Мощность:</span> 500 Вт</li>                        <li class="tec-char"><span>Напряжение:</span> 220 В</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Защита от перегрева:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><td class="tthlbl">Таймер:</td><td>Нет</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Встроенный вентилятор:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Индикатор питания:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Количество секций:</td><td>5</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>500Вт</td></tr>						<tr><td class="tthlbl">Напряжение:</td><td>220В</td></tr>						<tr><td class="tthlbl">Подходит для сушки:</td><td>грибовзеленилечебных травмясаовощейореховрыбыфруктовхлебаягод</td></tr>						<tr><td class="tthlbl">Прозрачная крышка:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Регулировка секций по высоте:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Регулируемый термостат:</td><td>Есть</td></tr>					</table>;1720;assets/images/kuhonnaya-technika/sushilki_dlja_ovoshhej_i_fruktov/Sushka-VELIKIE-REKI-Veterok-5_STI0MDgxMFR0TDE4MA.jpg;assets/images/kuhonnaya-technika/sushilki_dlja_ovoshhej_i_fruktov/Sushka-VELIKIE-REKI-Veterok-5_STI0MDgxMFRp.jpg;ВЕЛИКИЕ РЕКИ;
46;Сушилка для овощей VES VMD-1;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/sushilki_dlja_ovoshhej_i_fruktov?mfr=2295">VES</a> </li>                        <li class="tec-char"><span>Защита от перегрева:</span> Нет </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Встроенный вентилятор:</span> Нет </li>                        <li class="tec-char"><span>Дисплей:</span> Нет </li>                        <li class="tec-char"><span>Индикатор питания:</span> Есть </li>                        <li class="tec-char"><span>Количество секций:</span> 5 </li>                        <li class="tec-char"><span>Мощность:</span> 300 Вт</li>                        <li class="tec-char"><span>Напряжение:</span> 220 В</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Защита от перегрева:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Встроенный вентилятор:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Индикатор питания:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Количество секций:</td><td>5</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>300Вт</td></tr>						<tr><td class="tthlbl">Напряжение:</td><td>220В</td></tr>						<tr><td class="tthlbl">Подходит для сушки:</td><td>грибовзеленилечебных травмясаовощейореховрыбыфруктовхлебаягод</td></tr>						<tr><td class="tthlbl">Прозрачная крышка:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Регулировка секций по высоте:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Регулируемый термостат:</td><td>Нет</td></tr>					</table>;1739;assets/images/kuhonnaya-technika/sushilki_dlja_ovoshhej_i_fruktov/Sushilka-dlya-ovoshhey-VES-VMD-1_STQ1MjEyVHRMMTgw.jpg;assets/images/kuhonnaya-technika/sushilki_dlja_ovoshhej_i_fruktov/Sushilka-dlya-ovoshhey-VES-VMD-1_STQ1MjEyVGk.jpg;VES;
46;Сушилка для овощей VES VMD-4;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/sushilki_dlja_ovoshhej_i_fruktov?mfr=2295">VES</a> </li>                        <li class="tec-char"><span>Защита от перегрева:</span> Нет </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Таймер:</span> Нет </li>                        <li class="tec-char"><span>Количество температурных режимов:</span> 5 </li>                        <li class="tec-char"><span>Встроенный вентилятор:</span> Есть </li>                        <li class="tec-char"><span>Дисплей:</span> Нет </li>                        <li class="tec-char"><span>Индикатор питания:</span> Есть </li>                        <li class="tec-char"><span>Количество секций:</span> 5 </li>                        <li class="tec-char"><span>Мощность:</span> 240 Вт</li>                        <li class="tec-char"><span>Напряжение:</span> 220 В</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Защита от перегрева:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><td class="tthlbl">Таймер:</td><td>Нет</td></tr>						<tr><th colspan="2">Программы и режимы мойки</th></tr>						<tr><td class="tthlbl">Количество температурных режимов:</td><td>5</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Встроенный вентилятор:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Индикатор питания:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Количество секций:</td><td>5</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>240Вт</td></tr>						<tr><td class="tthlbl">Напряжение:</td><td>220В</td></tr>						<tr><td class="tthlbl">Подходит для сушки:</td><td>грибовзеленилечебных травмясаовощейореховрыбыфруктовхлебаягод</td></tr>						<tr><td class="tthlbl">Прозрачная крышка:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Регулировка секций по высоте:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Регулируемый термостат:</td><td>Есть</td></tr>					</table>;1769;assets/images/kuhonnaya-technika/sushilki_dlja_ovoshhej_i_fruktov/Sushilka-dlya-ovoshhey-VES-VMD-4_STQ1MTkzVHRMMTgw.jpg;assets/images/kuhonnaya-technika/sushilki_dlja_ovoshhej_i_fruktov/Sushilka-dlya-ovoshhey-VES-VMD-4_STQ1MTkzVGk.jpg;VES;
46;Сушилка для овощей ВЕЛИКИЕ РЕКИ Суховей-М 5;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/sushilki_dlja_ovoshhej_i_fruktov?mfr=2727">ВЕЛИКИЕ РЕКИ</a> </li>                        <li class="tec-char"><span>Высота:</span> 34.2 см</li>                        <li class="tec-char"><span>Глубина:</span> 34.2 см</li>                        <li class="tec-char"><span>Ширина:</span> 270 см</li>                        <li class="tec-char"><span>Защита от перегрева:</span> Нет </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Таймер:</span> Нет </li>                        <li class="tec-char"><span>Количество температурных режимов:</span> 5 </li>                        <li class="tec-char"><span>Встроенный вентилятор:</span> Нет </li>                        <li class="tec-char"><span>Дисплей:</span> Нет </li>                        <li class="tec-char"><span>Индикатор питания:</span> Есть </li>                        <li class="tec-char"><span>Количество секций:</span> 5 </li>                        <li class="tec-char"><span>Мощность:</span> 450 Вт</li>                        <li class="tec-char"><span>Напряжение:</span> 220 В</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Высота:</td><td>34.2см</td></tr>						<tr><td class="tthlbl">Глубина:</td><td>34.2см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>270см</td></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>3.5кг</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Защита от перегрева:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><td class="tthlbl">Таймер:</td><td>Нет</td></tr>						<tr><th colspan="2">Программы и режимы мойки</th></tr>						<tr><td class="tthlbl">Количество температурных режимов:</td><td>5</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Встроенный вентилятор:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Индикатор питания:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Количество секций:</td><td>5</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>450Вт</td></tr>						<tr><td class="tthlbl">Напряжение:</td><td>220В</td></tr>						<tr><td class="tthlbl">Подходит для сушки:</td><td>грибовзеленилечебных травмясаовощейореховрыбыфруктовхлебаягод</td></tr>						<tr><td class="tthlbl">Прозрачная крышка:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Регулировка секций по высоте:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Регулируемый термостат:</td><td>Есть</td></tr>					</table>;1800;assets/images/kuhonnaya-technika/sushilki_dlja_ovoshhej_i_fruktov/Sushilka-dlya-ovoshhey-VELIKIE-REKI-Sukhovey-M-5_STI0MTIzMFR0TDE4MA.jpg;assets/images/kuhonnaya-technika/sushilki_dlja_ovoshhej_i_fruktov/Sushilka-dlya-ovoshhey-VELIKIE-REKI-Sukhovey-M-5_STI0MTIzMFRp.jpg;ВЕЛИКИЕ РЕКИ;
46;Сушилка ВЕЛИКИЕ РЕКИ Ягодка-3;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/sushilki_dlja_ovoshhej_i_fruktov?mfr=2727">ВЕЛИКИЕ РЕКИ</a> </li>                        <li class="tec-char"><span>Защита от перегрева:</span> Есть </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Встроенный вентилятор:</span> Есть </li>                        <li class="tec-char"><span>Индикатор питания:</span> Есть </li>                        <li class="tec-char"><span>Количество секций:</span> 5 </li>                        <li class="tec-char"><span>Мощность:</span> 400 Вт</li>                        <li class="tec-char"><span>Напряжение:</span> 220 В</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Защита от перегрева:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Встроенный вентилятор:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Индикатор питания:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Количество секций:</td><td>5</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>400Вт</td></tr>						<tr><td class="tthlbl">Напряжение:</td><td>220В</td></tr>						<tr><td class="tthlbl">Подходит для сушки:</td><td>грибовзеленилечебных травовощейфруктовягод</td></tr>						<tr><td class="tthlbl">Прозрачная крышка:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Регулируемый термостат:</td><td>Есть</td></tr>					</table>;1980;assets/images/kuhonnaya-technika/sushilki_dlja_ovoshhej_i_fruktov/Sushilka-VELIKIE-REKI-Yagodka-3_STI1MzA3M1R0TDE4MA.jpg;assets/images/kuhonnaya-technika/sushilki_dlja_ovoshhej_i_fruktov/Sushilka-VELIKIE-REKI-Yagodka-3_STI1MzA3M1Rp.jpg;ВЕЛИКИЕ РЕКИ;
46;Сушка ZELMER 36Z011;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/sushilki_dlja_ovoshhej_i_fruktov?mfr=2430">ZELMER</a> </li>                        <li class="tec-char"><span>Защита от перегрева:</span> Нет </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Таймер:</span> Нет </li>                        <li class="tec-char"><span>Количество температурных режимов:</span> 2 </li>                        <li class="tec-char"><span>Встроенный вентилятор:</span> Нет </li>                        <li class="tec-char"><span>Дисплей:</span> Нет </li>                        <li class="tec-char"><span>Индикатор питания:</span> Нет </li>                        <li class="tec-char"><span>Количество секций:</span> 4 </li>                        <li class="tec-char"><span>Мощность:</span> 300 Вт</li>                        <li class="tec-char"><span>Напряжение:</span> 220 В</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>3кг</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Защита от перегрева:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><td class="tthlbl">Таймер:</td><td>Нет</td></tr>						<tr><th colspan="2">Программы и режимы мойки</th></tr>						<tr><td class="tthlbl">Количество температурных режимов:</td><td>2</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Встроенный вентилятор:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Индикатор питания:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Количество секций:</td><td>4</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>300Вт</td></tr>						<tr><td class="tthlbl">Напряжение:</td><td>220В</td></tr>						<tr><td class="tthlbl">Прозрачная крышка:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Регулировка секций по высоте:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Регулируемый термостат:</td><td>Есть</td></tr>					</table>;2480;assets/images/kuhonnaya-technika/sushilki_dlja_ovoshhej_i_fruktov/Sushka-ZELMER-36Z011_STk1NTE4VHRMMTgw.jpg;assets/images/kuhonnaya-technika/sushilki_dlja_ovoshhej_i_fruktov/Sushka-ZELMER-36Z011_STk1NTE4VGk.jpg;ZELMER;
46;Сушилка для овощей VES VMD-3;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/sushilki_dlja_ovoshhej_i_fruktov?mfr=2295">VES</a> </li>                        <li class="tec-char"><span>Защита от перегрева:</span> Есть </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Таймер:</span> Нет </li>                        <li class="tec-char"><span>Количество температурных режимов:</span> 7 </li>                        <li class="tec-char"><span>Встроенный вентилятор:</span> Нет </li>                        <li class="tec-char"><span>Дисплей:</span> Нет </li>                        <li class="tec-char"><span>Индикатор питания:</span> Есть </li>                        <li class="tec-char"><span>Количество секций:</span> 5 </li>                        <li class="tec-char"><span>Мощность:</span> 300 Вт</li>                        <li class="tec-char"><span>Напряжение:</span> 220 В</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Защита от перегрева:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><td class="tthlbl">Таймер:</td><td>Нет</td></tr>						<tr><th colspan="2">Программы и режимы мойки</th></tr>						<tr><td class="tthlbl">Количество температурных режимов:</td><td>7</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Встроенный вентилятор:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Индикатор питания:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Количество секций:</td><td>5</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>300Вт</td></tr>						<tr><td class="tthlbl">Напряжение:</td><td>220В</td></tr>						<tr><td class="tthlbl">Подходит для сушки:</td><td>грибовзеленилечебных травмясаовощейореховрыбыфруктовхлебаягод</td></tr>						<tr><td class="tthlbl">Прозрачная крышка:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Регулировка секций по высоте:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Регулируемый термостат:</td><td>Есть</td></tr>					</table>;2489;assets/images/kuhonnaya-technika/sushilki_dlja_ovoshhej_i_fruktov/Sushilka-dlya-ovoshhey-VES-VMD-3_STIzOTgxN1R0TDE4MA.jpg;assets/images/kuhonnaya-technika/sushilki_dlja_ovoshhej_i_fruktov/Sushilka-dlya-ovoshhey-VES-VMD-3_STIzOTgxN1Rp.jpg;VES;
46;Сушильный шкаф ВЕЛИКИЕ РЕКИ ДАЧНИК-2М;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/melkaja_kuhonnaja_tehnika/sushilki_dlja_ovoshhej_i_fruktov?mfr=2727">ВЕЛИКИЕ РЕКИ</a> </li>                        <li class="tec-char"><span>Высота:</span> 34 см</li>                        <li class="tec-char"><span>Глубина:</span> 35.5 см</li>                        <li class="tec-char"><span>Ширина:</span> 43 см</li>                        <li class="tec-char"><span>Защита от перегрева:</span> Нет </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Таймер:</span> Нет </li>                        <li class="tec-char"><span>Количество температурных режимов:</span> 4 </li>                        <li class="tec-char"><span>Встроенный вентилятор:</span> Нет </li>                        <li class="tec-char"><span>Дисплей:</span> Нет </li>                        <li class="tec-char"><span>Индикатор питания:</span> Есть </li>                        <li class="tec-char"><span>Количество секций:</span> 1 </li>                        <li class="tec-char"><span>Мощность:</span> 480 Вт</li>                        <li class="tec-char"><span>Напряжение:</span> 220 В</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Высота:</td><td>34см</td></tr>						<tr><td class="tthlbl">Глубина:</td><td>35.5см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>43см</td></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>8кг</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Защита от перегрева:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><td class="tthlbl">Таймер:</td><td>Нет</td></tr>						<tr><th colspan="2">Программы и режимы мойки</th></tr>						<tr><td class="tthlbl">Количество температурных режимов:</td><td>4</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Встроенный вентилятор:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Индикатор питания:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Количество секций:</td><td>1</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>480Вт</td></tr>						<tr><td class="tthlbl">Напряжение:</td><td>220В</td></tr>						<tr><td class="tthlbl">Подходит для сушки:</td><td>грибовзеленилечебных травмясаовощейореховрыбыфруктовхлебаягод</td></tr>						<tr><td class="tthlbl">Прозрачная крышка:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Регулировка секций по высоте:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Регулируемый термостат:</td><td>Есть</td></tr>					</table>;3990;assets/images/kuhonnaya-technika/sushilki_dlja_ovoshhej_i_fruktov/Sushilnyy-shkaf-VELIKIE-REKI-DAChNIK-2M_STIzODYwN1R0TDE4MA.jpg;assets/images/kuhonnaya-technika/sushilki_dlja_ovoshhej_i_fruktov/Sushilnyy-shkaf-VELIKIE-REKI-DAChNIK-2M_STIzODYwN1Rp.jpg;ВЕЛИКИЕ РЕКИ;
