parent;pagetitle;content1;content2;price;picture;picture-big;brand;
22;Фильтр VESTA Аэрозольный;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/aksessuary_i_sredstva_uhoda?mfr=2702">VESTA</a> </li>                        <li class="tec-char"><span>Тип аксессуара:</span> фильтр </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Тип аксессуара:</td><td>фильтр</td></tr>					</table>;28;assets/images/melkaya-bytovaya-technika/aksessuary_i_sredstva_uhoda/Filtr-SIEMENS-VZ-10-TFK_STIzODA1NlR0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/aksessuary_i_sredstva_uhoda/img_STE4MzE3N1R0TDEwNQ.jpg;VESTA;
22;Фильтр THOMAS F1;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/aksessuary_i_sredstva_uhoda?mfr=2172">THOMAS</a> </li>                        <li class="tec-char"><span>Тип аксессуара:</span> фильтр </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Тип аксессуара:</td><td>фильтр</td></tr>					</table>;56;assets/images/melkaya-bytovaya-technika/aksessuary_i_sredstva_uhoda/Filtr-SIEMENS-VZ-10-TFK_STIzODA1NlR0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/aksessuary_i_sredstva_uhoda/Filtr-kartridzh-BONECO-7531_STU0MDY2VHRMMTA1.jpg;THOMAS;
22;Фильтр THOMAS F1;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/aksessuary_i_sredstva_uhoda?mfr=2172">THOMAS</a> </li>                        <li class="tec-char"><span>Тип аксессуара:</span> фильтр </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Тип аксессуара:</td><td>фильтр</td></tr>					</table>;56;assets/images/melkaya-bytovaya-technika/aksessuary_i_sredstva_uhoda/Filtr-SIEMENS-VZ-10-TFK_STIzODA1NlR0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/aksessuary_i_sredstva_uhoda/Filtr-kartridzh-BONECO-7531_STU0MDY2VHRMMTA1.jpg;THOMAS;
22;Фильтр THOMAS F2;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/aksessuary_i_sredstva_uhoda?mfr=2172">THOMAS</a> </li>                        <li class="tec-char"><span>Тип аксессуара:</span> фильтр </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Тип аксессуара:</td><td>фильтр</td></tr>					</table>;56;assets/images/melkaya-bytovaya-technika/aksessuary_i_sredstva_uhoda/Filtr-SIEMENS-VZ-10-TFK_STIzODA1NlR0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/aksessuary_i_sredstva_uhoda/Mikrovolnovaya-pech-SAMSUNG-GE89MPSR_STEwMzIxN1R0TDEwNQ.jpg;THOMAS;
22;Фильтр THOMAS F3;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/aksessuary_i_sredstva_uhoda?mfr=2172">THOMAS</a> </li>                        <li class="tec-char"><span>Тип аксессуара:</span> фильтр </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Тип аксессуара:</td><td>фильтр</td></tr>					</table>;83;assets/images/melkaya-bytovaya-technika/aksessuary_i_sredstva_uhoda/Filtr-SIEMENS-VZ-10-TFK_STIzODA1NlR0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/aksessuary_i_sredstva_uhoda/Filtr-kartridzh-BONECO-7531_STU0MDY2VHRMMTA1.jpg;THOMAS;
22;Фильтр SIEMENS VZ 10 TFK;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/aksessuary_i_sredstva_uhoda?mfr=1945">SIEMENS</a> </li>                        <li class="tec-char"><span>Тип аксессуара:</span> мешок-пылесборник </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Тип аксессуара:</td><td>мешок-пылесборник</td></tr>					</table>;90;assets/images/melkaya-bytovaya-technika/aksessuary_i_sredstva_uhoda/Filtr-SIEMENS-VZ-10-TFK_STIzODA1NlR0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/aksessuary_i_sredstva_uhoda/Filtr-SIEMENS-VZ-10-TFK_STIzODA1NlRp.jpg;SIEMENS;
22;Фильтр HOOVER U21;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/aksessuary_i_sredstva_uhoda?mfr=1004">HOOVER</a> </li>                        <li class="tec-char"><span>Тип аксессуара:</span> фильтр </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Тип аксессуара:</td><td>фильтр</td></tr>					</table>;100;assets/images/melkaya-bytovaya-technika/aksessuary_i_sredstva_uhoda/Filtr-HOOVER-U21_STE4MzE3N1R0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/aksessuary_i_sredstva_uhoda/Filtr-HOOVER-U21_STE4MzE3N1Rp.jpg;HOOVER;
22;Фильтр TEFAL 792128;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/aksessuary_i_sredstva_uhoda?mfr=2143">TEFAL</a> </li>                        <li class="tec-char"><span>Тип аксессуара:</span> фильтр </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Тип аксессуара:</td><td>фильтр</td></tr>					</table>;123;assets/images/melkaya-bytovaya-technika/aksessuary_i_sredstva_uhoda/Filtr-PANASONIC-AMC94KUWO_STI0ODE2NlR0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/aksessuary_i_sredstva_uhoda/img_STU2NjQ5VHRMMTA1.jpg;TEFAL;
22;Фильтр TEFAL 79442;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/aksessuary_i_sredstva_uhoda?mfr=2143">TEFAL</a> </li>                        <li class="tec-char"><span>Тип аксессуара:</span> фильтр </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Тип аксессуара:</td><td>фильтр</td></tr>					</table>;123;assets/images/melkaya-bytovaya-technika/aksessuary_i_sredstva_uhoda/Filtr-PANASONIC-AMC94KUWO_STI0ODE2NlR0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/aksessuary_i_sredstva_uhoda/img_STU2NjQ5VHRMMTA1.jpg;TEFAL;
22;Фильтр PANASONIC AMC94KUWO;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/aksessuary_i_sredstva_uhoda?mfr=1617">PANASONIC</a> </li>                        <li class="tec-char"><span>Тип аксессуара:</span> мешок-пылесборник </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Тип аксессуара:</td><td>мешок-пылесборник</td></tr>					</table>;131;assets/images/melkaya-bytovaya-technika/aksessuary_i_sredstva_uhoda/Filtr-PANASONIC-AMC94KUWO_STI0ODE2NlR0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/aksessuary_i_sredstva_uhoda/Filtr-PANASONIC-AMC94KUWO_STI0ODE2NlRp.jpg;PANASONIC;
22;Фильтр ROWENTA ZR455;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/aksessuary_i_sredstva_uhoda?mfr=1863">ROWENTA</a> </li>                        <li class="tec-char"><span>Тип аксессуара:</span> фильтр </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Тип аксессуара:</td><td>фильтр</td></tr>					</table>;166;assets/images/melkaya-bytovaya-technika/aksessuary_i_sredstva_uhoda/Filtr-ROWENTA-ZR455_STU2NjM2VHRMMTgw.jpg;assets/images/melkaya-bytovaya-technika/aksessuary_i_sredstva_uhoda/Filtr-ROWENTA-ZR455_STU2NjM2VGk.jpg;ROWENTA;
22;Фильтр VESTA VESTA;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/aksessuary_i_sredstva_uhoda?mfr=2702">VESTA</a> </li>                        <li class="tec-char"><span>Тип аксессуара:</span> фильтр </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Тип аксессуара:</td><td>фильтр</td></tr>					</table>;170;assets/images/melkaya-bytovaya-technika/aksessuary_i_sredstva_uhoda/Sredstvo-ot-nakipi-dlya-chaynikov-i-kofevarok-MAGIC-POWER-MP-017_STUyMzk2VHRMMTgw.jpg;assets/images/melkaya-bytovaya-technika/aksessuary_i_sredstva_uhoda/img_STUyMzkyVHRMMTA1.jpg;VESTA;
22;Фильтр VESTA VESTA;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/aksessuary_i_sredstva_uhoda?mfr=2702">VESTA</a> </li>                        <li class="tec-char"><span>Тип аксессуара:</span> фильтр </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Тип аксессуара:</td><td>фильтр</td></tr>					</table>;170;assets/images/melkaya-bytovaya-technika/aksessuary_i_sredstva_uhoda/Sredstvo-ot-nakipi-dlya-chaynikov-i-kofevarok-MAGIC-POWER-MP-017_STUyMzk2VHRMMTgw.jpg;assets/images/melkaya-bytovaya-technika/aksessuary_i_sredstva_uhoda/img_STUyMzkyVHRMMTA1.jpg;VESTA;
22;Средство от накипи для чайников и кофеварок MAGIC POWER MP-017;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/aksessuary_i_sredstva_uhoda?mfr=2730">MAGIC POWER</a> </li>                        <li class="tec-char"><span>Вид:</span> жидкость </li>                        <li class="tec-char"><span>Распылитель:</span> Нет </li>                        <li class="tec-char"><span>Тип аксессуара:</span> чистящее средство </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Вид:</td><td>жидкость</td></tr>						<tr><td class="tthlbl">Распылитель:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Тип аксессуара:</td><td>чистящее средство</td></tr>					</table>;180;assets/images/melkaya-bytovaya-technika/aksessuary_i_sredstva_uhoda/Sredstvo-ot-nakipi-dlya-chaynikov-i-kofevarok-MAGIC-POWER-MP-017_STUyMzk2VHRMMTgw.jpg;assets/images/melkaya-bytovaya-technika/aksessuary_i_sredstva_uhoda/Sredstvo-ot-nakipi-dlya-chaynikov-i-kofevarok-MAGIC-POWER-MP-017_STUyMzk2VGk.jpg;MAGIC POWER;
