parent;pagetitle;content1;content2;price;picture;picture-big;brand;
2069;Гладильная доска HAUSMANN HM-3150;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/utugi_i_gladilnyje_sistemy/gladil_nyje_doski?mfr=2796">HAUSMANN</a> </li>                        <li class="tec-char"><span>Глубина:</span> 105 см</li>                        <li class="tec-char"><span>Ширина:</span> 33 см</li>                        <li class="tec-char"><span>Подставка под утюг:</span> Есть </li>                        <li class="tec-char"><span>Регулировка положения по высоте:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Глубина:</td><td>105см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>33см</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Подставка под утюг:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Регулировка положения по высоте:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Чехол:</td><td>Есть</td></tr>					</table>;980;assets/images/melkaya-bytovaya-technika/gladil_nyje_doski/Gladilnaya-doska-HAUSMANN-HM-3150_STIyODA3NlR0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/gladil_nyje_doski/Gladilnaya-doska-HAUSMANN-HM-3150_STIyODA3NlRp.jpg;HAUSMANN;
2069;Гладильная доска настольная LEIFHEIT 72402 MIKADO;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/utugi_i_gladilnyje_sistemy/gladil_nyje_doski?mfr=2738">LEIFHEIT</a> </li>                        <li class="tec-char"><span>Высота:</span> 7 см</li>                        <li class="tec-char"><span>Глубина:</span> 73 см</li>                        <li class="tec-char"><span>Ширина:</span> 30 см</li>                        <li class="tec-char"><span>Подставка под утюг:</span> Нет </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Высота:</td><td>7см</td></tr>						<tr><td class="tthlbl">Глубина:</td><td>73см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>30см</td></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>0.34кг</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Подставка под утюг:</td><td>Нет</td></tr>					</table>;1489;assets/images/melkaya-bytovaya-technika/gladil_nyje_doski/Gladilnaya-doska-nastolnaya-LEIFHEIT-72402-MIKADO_STI1MzM4NlR0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/gladil_nyje_doski/Gladilnaya-doska-nastolnaya-LEIFHEIT-72402-MIKADO_STI1MzM4NlRp.jpg;LEIFHEIT;
2069;Гладильная доска настольная LEIFHEIT 72402 MIKADO;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/utugi_i_gladilnyje_sistemy/gladil_nyje_doski?mfr=2738">LEIFHEIT</a> </li>                        <li class="tec-char"><span>Высота:</span> 7 см</li>                        <li class="tec-char"><span>Глубина:</span> 73 см</li>                        <li class="tec-char"><span>Ширина:</span> 30 см</li>                        <li class="tec-char"><span>Подставка под утюг:</span> Нет </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Высота:</td><td>7см</td></tr>						<tr><td class="tthlbl">Глубина:</td><td>73см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>30см</td></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>0.34кг</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Подставка под утюг:</td><td>Нет</td></tr>					</table>;1489;assets/images/melkaya-bytovaya-technika/gladil_nyje_doski/Gladilnaya-doska-nastolnaya-LEIFHEIT-72402-MIKADO_STI1MzM4NlR0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/gladil_nyje_doski/Gladilnaya-doska-nastolnaya-LEIFHEIT-72402-MIKADO_STI1MzM4NlRp.jpg;LEIFHEIT;
2069;Гладильная доска TEFAL TI 1100 E3;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/utugi_i_gladilnyje_sistemy/gladil_nyje_doski?mfr=2143">TEFAL</a> </li>                        <li class="tec-char"><span>Глубина:</span> 120 см</li>                        <li class="tec-char"><span>Ширина:</span> 40 см</li>                        <li class="tec-char"><span>Подставка под утюг:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Глубина:</td><td>120см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>40см</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Подставка под утюг:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Чехол:</td><td>Есть</td></tr>					</table>;1579;assets/images/melkaya-bytovaya-technika/gladil_nyje_doski/Gladilnaya-doska-TEFAL-TI-1100-E3_STE4NDgxM1R0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/gladil_nyje_doski/Gladilnaya-doska-TEFAL-TI-1100-E3_STE4NDgxM1Rp.jpg;TEFAL;
2069;Гладильная доска LEIFHEIT 71035 FASHION S;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/utugi_i_gladilnyje_sistemy/gladil_nyje_doski?mfr=2738">LEIFHEIT</a> </li>                        <li class="tec-char"><span>Глубина:</span> 110 см</li>                        <li class="tec-char"><span>Ширина:</span> 30 см</li>                        <li class="tec-char"><span>Подставка под утюг:</span> Есть </li>                        <li class="tec-char"><span>Регулировка положения по высоте:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Глубина:</td><td>110см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>30см</td></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>4кг</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Подставка под утюг:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Регулировка положения по высоте:</td><td>Есть</td></tr>					</table>;2989;assets/images/melkaya-bytovaya-technika/gladil_nyje_doski/Gladilnaya-doska-LEIFHEIT-71035-FASHION-S_STI1MzM1NFR0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/gladil_nyje_doski/Gladilnaya-doska-LEIFHEIT-71035-FASHION-S_STI1MzM1NFRp.jpg;LEIFHEIT;
2069;Гладильная доска HAUSMANN HM-3170;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/utugi_i_gladilnyje_sistemy/gladil_nyje_doski?mfr=2796">HAUSMANN</a> </li>                        <li class="tec-char"><span>Глубина:</span> 122 см</li>                        <li class="tec-char"><span>Ширина:</span> 42 см</li>                        <li class="tec-char"><span>Подставка под утюг:</span> Есть </li>                        <li class="tec-char"><span>Регулировка положения по высоте:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Глубина:</td><td>122см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>42см</td></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>7кг</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Подставка под утюг:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Регулировка положения по высоте:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Чехол:</td><td>Есть</td></tr>					</table>;3498;assets/images/melkaya-bytovaya-technika/gladil_nyje_doski/Gladilnaya-doska-HAUSMANN-HM-3170_STIyODA3N1R0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/gladil_nyje_doski/Gladilnaya-doska-HAUSMANN-HM-3170_STIyODA3N1Rp.jpg;HAUSMANN;
2069;Гладильная доска LEIFHEIT 72502 CONTOUR M;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/utugi_i_gladilnyje_sistemy/gladil_nyje_doski?mfr=2738">LEIFHEIT</a> </li>                        <li class="tec-char"><span>Глубина:</span> 120 см</li>                        <li class="tec-char"><span>Ширина:</span> 38 см</li>                        <li class="tec-char"><span>Подставка под утюг:</span> Есть </li>                        <li class="tec-char"><span>Регулировка положения по высоте:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Глубина:</td><td>120см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>38см</td></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>7.5кг</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Подставка под утюг:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Регулировка положения по высоте:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Чехол:</td><td>Есть</td></tr>					</table>;3690;assets/images/melkaya-bytovaya-technika/gladil_nyje_doski/Gladilnaya-doska-LEIFHEIT-72502-CONTOUR-M_STI1MzM5M1R0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/gladil_nyje_doski/Gladilnaya-doska-LEIFHEIT-72502-CONTOUR-M_STI1MzM5M1Rp.jpg;LEIFHEIT;
2069;Гладильная доска LEIFHEIT 72414 CLASSIK M Complete Plus;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/utugi_i_gladilnyje_sistemy/gladil_nyje_doski?mfr=2738">LEIFHEIT</a> </li>                        <li class="tec-char"><span>Глубина:</span> 120 см</li>                        <li class="tec-char"><span>Ширина:</span> 38 см</li>                        <li class="tec-char"><span>Подставка под утюг:</span> Есть </li>                        <li class="tec-char"><span>Регулировка положения по высоте:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Глубина:</td><td>120см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>38см</td></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>10.2кг</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Подставка под утюг:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Регулировка положения по высоте:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Чехол:</td><td>Есть</td></tr>					</table>;3769;assets/images/melkaya-bytovaya-technika/gladil_nyje_doski/Gladilnaya-doska-LEIFHEIT-72414-CLASSIK-M-Complete-Plus_STI1MzQwOFR0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/gladil_nyje_doski/Gladilnaya-doska-LEIFHEIT-72414-CLASSIK-M-Complete-Plus_STI1MzQwOFRp.jpg;LEIFHEIT;
2069;Гладильная доска LEIFHEIT 72503 CONTOUR M PLUS;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/utugi_i_gladilnyje_sistemy/gladil_nyje_doski?mfr=2738">LEIFHEIT</a> </li>                        <li class="tec-char"><span>Подставка под утюг:</span> Есть </li>                        <li class="tec-char"><span>Регулировка положения по высоте:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Материал покрытия:</td><td>металическая сетка</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Подставка под утюг:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Регулировка положения по высоте:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Чехол:</td><td>Есть</td></tr>					</table>;3980;assets/images/melkaya-bytovaya-technika/gladil_nyje_doski/Gladilnaya-doska-LEIFHEIT-72503-CONTOUR-M-PLUS_STI1MzM1MVR0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/gladil_nyje_doski/Gladilnaya-doska-LEIFHEIT-72503-CONTOUR-M-PLUS_STI1MzM1MVRp.jpg;LEIFHEIT;
2069;Гладильная доска LEIFHEIT 72504 CONTOUR L Express;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/utugi_i_gladilnyje_sistemy/gladil_nyje_doski?mfr=2738">LEIFHEIT</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;4689;assets/images/melkaya-bytovaya-technika/gladil_nyje_doski/Gladilnaya-doska-LEIFHEIT-72504-CONTOUR-L-Express_STI1MzQxM1R0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/gladil_nyje_doski/Gladilnaya-doska-LEIFHEIT-72504-CONTOUR-L-Express_STI1MzQxM1Rp.jpg;LEIFHEIT;
