parent;pagetitle;content1;content2;price;picture;picture-big;brand;
2068;Отпариватель универсальный HANSA HB-2009A;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/utugi_i_gladilnyje_sistemy/parovyje_stancii?mfr=958">HANSA</a> </li>                        <li class="tec-char"><span>Объём резервуара для воды:</span> 320 мл</li>                        <li class="tec-char"><span>Мощность:</span> 900 Вт</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Объём резервуара для воды:</td><td>320мл</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Мощность:</td><td>900Вт</td></tr>					</table>;1249;assets/images/melkaya-bytovaya-technika/parovyje_stancii/Otparivatel-universalnyy-HANSA-HB-2009A_STE3MDQwMlR0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/parovyje_stancii/Otparivatel-universalnyy-HANSA-HB-2009A_STE3MDQwMlRp.jpg;HANSA;
2068;Отпариватель универсальный GRAND MASTER GM-H-600;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/utugi_i_gladilnyje_sistemy/parovyje_stancii?mfr=2802">GRAND MASTER</a> </li>                        <li class="tec-char"><span>Автоматическое отключение:</span> Нет </li>                        <li class="tec-char"><span>Система защиты от накипи:</span> Нет </li>                        <li class="tec-char"><span>Противокапельная система:</span> Нет </li>                        <li class="tec-char"><span>Объём резервуара для воды:</span> 200 мл</li>                        <li class="tec-char"><span>Паровой удар:</span> Нет </li>                        <li class="tec-char"><span>Вертикальное отпаривание:</span> Нет </li>                        <li class="tec-char"><span>Материал подошвы:</span> нерж. сталь </li>                        <li class="tec-char"><span>Мощность:</span> 900 Вт</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Безопасность и защита</th></tr>						<tr><td class="tthlbl">Автоматическое отключение:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Система защиты от накипи:</td><td>Нет</td></tr>						<tr><th colspan="2">Конструкция</th></tr>						<tr><td class="tthlbl">Противокапельная система:</td><td>Нет</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Объём резервуара для воды:</td><td>200мл</td></tr>						<tr><td class="tthlbl">Паровой удар:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Постоянная подача пара:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Вертикальное отпаривание:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Материал подошвы:</td><td>нерж. сталь</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>900Вт</td></tr>						<tr><td class="tthlbl">Скорость постоянной подачи пара:</td><td>13г/мин</td></tr>					</table>;2200;assets/images/melkaya-bytovaya-technika/parovyje_stancii/Otparivatel-universalnyy-GRAND-MASTER-GM-H-600_STIzMjg0NlR0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/parovyje_stancii/Otparivatel-universalnyy-GRAND-MASTER-GM-H-600_STIzMjg0NlRp.jpg;GRAND MASTER;
2068;Отпариватель универсальный GRAND MASTER GM-H-600;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/utugi_i_gladilnyje_sistemy/parovyje_stancii?mfr=2802">GRAND MASTER</a> </li>                        <li class="tec-char"><span>Автоматическое отключение:</span> Нет </li>                        <li class="tec-char"><span>Система защиты от накипи:</span> Нет </li>                        <li class="tec-char"><span>Противокапельная система:</span> Нет </li>                        <li class="tec-char"><span>Объём резервуара для воды:</span> 200 мл</li>                        <li class="tec-char"><span>Паровой удар:</span> Нет </li>                        <li class="tec-char"><span>Вертикальное отпаривание:</span> Нет </li>                        <li class="tec-char"><span>Материал подошвы:</span> нерж. сталь </li>                        <li class="tec-char"><span>Мощность:</span> 900 Вт</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Безопасность и защита</th></tr>						<tr><td class="tthlbl">Автоматическое отключение:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Система защиты от накипи:</td><td>Нет</td></tr>						<tr><th colspan="2">Конструкция</th></tr>						<tr><td class="tthlbl">Противокапельная система:</td><td>Нет</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Объём резервуара для воды:</td><td>200мл</td></tr>						<tr><td class="tthlbl">Паровой удар:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Постоянная подача пара:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Вертикальное отпаривание:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Материал подошвы:</td><td>нерж. сталь</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>900Вт</td></tr>						<tr><td class="tthlbl">Скорость постоянной подачи пара:</td><td>13г/мин</td></tr>					</table>;2200;assets/images/melkaya-bytovaya-technika/parovyje_stancii/Otparivatel-universalnyy-GRAND-MASTER-GM-H-600_STIzMjg0NlR0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/parovyje_stancii/Otparivatel-universalnyy-GRAND-MASTER-GM-H-600_STIzMjg0NlRp.jpg;GRAND MASTER;
2068;Паровая станция PHILIPS GC 6510/02;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/utugi_i_gladilnyje_sistemy/parovyje_stancii?mfr=1652">PHILIPS</a> </li>                        <li class="tec-char"><span>Автоматическое отключение:</span> Нет </li>                        <li class="tec-char"><span>Система защиты от накипи:</span> Нет </li>                        <li class="tec-char"><span>Противокапельная система:</span> Нет </li>                        <li class="tec-char"><span>Объём резервуара для воды:</span> 800 мл</li>                        <li class="tec-char"><span>Паровой удар:</span> Есть </li>                        <li class="tec-char"><span>Вертикальное отпаривание:</span> Есть </li>                        <li class="tec-char"><span>Материал подошвы:</span> нерж. сталь </li>                        <li class="tec-char"><span>Мощность:</span> 2400 Вт</li>                        <li class="tec-char"><span>Скорость парового удара:</span> 170 г/мин</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Безопасность и защита</th></tr>						<tr><td class="tthlbl">Автоматическое отключение:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Система защиты от накипи:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Система самоочистки:</td><td>Нет</td></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>1.2кг</td></tr>						<tr><th colspan="2">Комфорт</th></tr>						<tr><td class="tthlbl">Длина шнура:</td><td>1.8м</td></tr>						<tr><th colspan="2">Конструкция</th></tr>						<tr><td class="tthlbl">Противокапельная система:</td><td>Нет</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Возможность сухого глажения:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Объём резервуара для воды:</td><td>800мл</td></tr>						<tr><td class="tthlbl">Паровой удар:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Парогенератор:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Постоянная подача пара:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Функция разбрызгивания:</td><td>Нет</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Дополнительная информация:</td><td>паровой носик, время разогрева 6 минут, отсек для хранения шланга, вес утюга и подставки 4</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Вертикальное отпаривание:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Длина шланга для пара:</td><td>1.7м</td></tr>						<tr><td class="tthlbl">Максимальное давление пара:</td><td>4бар</td></tr>						<tr><td class="tthlbl">Материал подошвы:</td><td>нерж. сталь</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>2400Вт</td></tr>						<tr><td class="tthlbl">Скорость парового удара:</td><td>170г/мин</td></tr>						<tr><td class="tthlbl">Скорость постоянной подачи пара:</td><td>95г/мин</td></tr>					</table>;3580;assets/images/melkaya-bytovaya-technika/parovyje_stancii/Parovaya-stanciya-PHILIPS-GC-6510-02_STIzNDA0OVR0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/parovyje_stancii/Parovaya-stanciya-PHILIPS-GC-6510-02_STIzNDA0OVRp.jpg;PHILIPS;
2068;Отпариватель универсальный SUPER JET SJ-21BJ;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/utugi_i_gladilnyje_sistemy/parovyje_stancii?mfr=2801">SUPER JET</a> </li>                        <li class="tec-char"><span>Автоматическое отключение:</span> Есть </li>                        <li class="tec-char"><span>Система защиты от накипи:</span> Нет </li>                        <li class="tec-char"><span>Объём резервуара для воды:</span> 2000 мл</li>                        <li class="tec-char"><span>Паровой удар:</span> Нет </li>                        <li class="tec-char"><span>Вертикальное отпаривание:</span> Есть </li>                        <li class="tec-char"><span>Мощность:</span> 1500 Вт</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Безопасность и защита</th></tr>						<tr><td class="tthlbl">Автоматическое отключение:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Система защиты от накипи:</td><td>Нет</td></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>5.5кг</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Объём резервуара для воды:</td><td>2000мл</td></tr>						<tr><td class="tthlbl">Паровой удар:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Парогенератор:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Постоянная подача пара:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Вертикальное отпаривание:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>1500Вт</td></tr>						<tr><td class="tthlbl">Регулировка подачи пара:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Скорость постоянной подачи пара:</td><td>25г/мин</td></tr>					</table>;3799;assets/images/melkaya-bytovaya-technika/parovyje_stancii/Otparivatel-universalnyy-SUPER-JET-SJ-21BJ_STIzMzA5MFR0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/parovyje_stancii/Otparivatel-universalnyy-SUPER-JET-SJ-21BJ_STIzMzA5MFRp.jpg;SUPER JET;
2068;Гладильная система DELONGHI VVX 380;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/utugi_i_gladilnyje_sistemy/parovyje_stancii?mfr=554">DELONGHI</a> </li>                        <li class="tec-char"><span>Система защиты от накипи:</span> Есть </li>                        <li class="tec-char"><span>Высота:</span> 17 см</li>                        <li class="tec-char"><span>Глубина:</span> 36.8 см</li>                        <li class="tec-char"><span>Ширина:</span> 20.8 см</li>                        <li class="tec-char"><span>Противокапельная система:</span> Нет </li>                        <li class="tec-char"><span>Объём резервуара для воды:</span> 1000 мл</li>                        <li class="tec-char"><span>Паровой удар:</span> Есть </li>                        <li class="tec-char"><span>Вертикальное отпаривание:</span> Есть </li>                        <li class="tec-char"><span>Материал подошвы:</span> нерж. сталь </li>                        <li class="tec-char"><span>Мощность:</span> 2200 Вт</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Безопасность и защита</th></tr>						<tr><td class="tthlbl">Система защиты от накипи:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Система самоочистки:</td><td>Нет</td></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Высота:</td><td>17см</td></tr>						<tr><td class="tthlbl">Глубина:</td><td>36.8см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>20.8см</td></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>4.4кг</td></tr>						<tr><th colspan="2">Конструкция</th></tr>						<tr><td class="tthlbl">Противокапельная система:</td><td>Нет</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Возможность сухого глажения:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Объём резервуара для воды:</td><td>1000мл</td></tr>						<tr><td class="tthlbl">Паровой удар:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Парогенератор:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Постоянная подача пара:</td><td>Есть</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Дополнительная информация:</td><td>Функция непрерывного паровыделения. Возможность установки в вертикальном положении. Защитный колпачок. Лампа индикации готовности пара. Термореле.</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Вертикальное отпаривание:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Максимальное давление пара:</td><td>3.5бар</td></tr>						<tr><td class="tthlbl">Материал подошвы:</td><td>нерж. сталь</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>2200Вт</td></tr>						<tr><td class="tthlbl">Регулировка подачи пара:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Скорость постоянной подачи пара:</td><td>80г/мин</td></tr>					</table>;3809;assets/images/melkaya-bytovaya-technika/parovyje_stancii/Gladilnaya-sistema-DELONGHI-VVX-380_STEwOTI1M1R0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/parovyje_stancii/Gladilnaya-sistema-DELONGHI-VVX-380_STEwOTI1M1Rp.jpg;DELONGHI;
2068;Гладильная система DELONGHI VVX-1420;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/utugi_i_gladilnyje_sistemy/parovyje_stancii?mfr=554">DELONGHI</a> </li>                        <li class="tec-char"><span>Автоматическое отключение:</span> Нет </li>                        <li class="tec-char"><span>Система защиты от накипи:</span> Нет </li>                        <li class="tec-char"><span>Высота:</span> 17.5 см</li>                        <li class="tec-char"><span>Глубина:</span> 20 см</li>                        <li class="tec-char"><span>Ширина:</span> 35 см</li>                        <li class="tec-char"><span>Противокапельная система:</span> Нет </li>                        <li class="tec-char"><span>Объём резервуара для воды:</span> 850 мл</li>                        <li class="tec-char"><span>Паровой удар:</span> Есть </li>                        <li class="tec-char"><span>Вертикальное отпаривание:</span> Есть </li>                        <li class="tec-char"><span>Материал подошвы:</span> нерж. сталь </li>                        <li class="tec-char"><span>Мощность:</span> 2200 Вт</li>                        <li class="tec-char"><span>Скорость парового удара:</span> 80 г/мин</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Безопасность и защита</th></tr>						<tr><td class="tthlbl">Автоматическое отключение:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Противокапельная система:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Система защиты от накипи:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Система самоочистки:</td><td>Нет</td></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Высота:</td><td>17.5см</td></tr>						<tr><td class="tthlbl">Глубина:</td><td>20см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>35см</td></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>3.8кг</td></tr>						<tr><th colspan="2">Комфорт</th></tr>						<tr><td class="tthlbl">Сетевой кабель:</td><td>шаровое крепление к корпусу</td></tr>						<tr><th colspan="2">Конструкция</th></tr>						<tr><td class="tthlbl">Противокапельная система:</td><td>Нет</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Возможность сухого глажения:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>2200Вт</td></tr>						<tr><td class="tthlbl">Объём резервуара для воды:</td><td>850мл</td></tr>						<tr><td class="tthlbl">Паровой удар:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Парогенератор:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Подошва:</td><td>нерж. сталь</td></tr>						<tr><td class="tthlbl">Постоянная подача пара:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Вертикальное отпаривание:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Максимальное давление пара:</td><td>4бар</td></tr>						<tr><td class="tthlbl">Материал подошвы:</td><td>нерж. сталь</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>2200Вт</td></tr>						<tr><td class="tthlbl">Скорость парового удара:</td><td>80г/мин</td></tr>						<tr><td class="tthlbl">Шаровое крепление шнура:</td><td>Есть</td></tr>					</table>;3884;assets/images/melkaya-bytovaya-technika/parovyje_stancii/Gladilnaya-sistema-DELONGHI-VVX-1420_STIyNjc1M1R0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/parovyje_stancii/Gladilnaya-sistema-DELONGHI-VVX-1420_STIyNjc1M1Rp.jpg;DELONGHI;
2068;Гладильная система ZELMER 28Z014;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/utugi_i_gladilnyje_sistemy/parovyje_stancii?mfr=2430">ZELMER</a> </li>                        <li class="tec-char"><span>Автоматическое отключение:</span> Есть </li>                        <li class="tec-char"><span>Система защиты от накипи:</span> Есть </li>                        <li class="tec-char"><span>Противокапельная система:</span> Есть </li>                        <li class="tec-char"><span>Объём резервуара для воды:</span> 1100 мл</li>                        <li class="tec-char"><span>Паровой удар:</span> Есть </li>                        <li class="tec-char"><span>Вертикальное отпаривание:</span> Есть </li>                        <li class="tec-char"><span>Материал подошвы:</span> алюминий </li>                        <li class="tec-char"><span>Мощность:</span> 2400 Вт</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Безопасность и защита</th></tr>						<tr><td class="tthlbl">Автоматическое отключение:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Система защиты от накипи:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Система самоочистки:</td><td>Нет</td></tr>						<tr><th colspan="2">Конструкция</th></tr>						<tr><td class="tthlbl">Противокапельная система:</td><td>Есть</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Возможность сухого глажения:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Объём резервуара для воды:</td><td>1100мл</td></tr>						<tr><td class="tthlbl">Паровой удар:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Парогенератор:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Постоянная подача пара:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Вертикальное отпаривание:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Материал подошвы:</td><td>алюминий</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>2400Вт</td></tr>						<tr><td class="tthlbl">Шаровое крепление шнура:</td><td>Есть</td></tr>					</table>;3949;assets/images/melkaya-bytovaya-technika/parovyje_stancii/Gladilnaya-sistema-ZELMER-28Z014_STEwNzcwOVR0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/parovyje_stancii/Gladilnaya-sistema-ZELMER-28Z014_STEwNzcwOVRp.jpg;ZELMER;
2068;Паровая станция BOSCH TDS 1601;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/utugi_i_gladilnyje_sistemy/parovyje_stancii?mfr=343">BOSCH</a> </li>                        <li class="tec-char"><span>Система защиты от накипи:</span> Нет </li>                        <li class="tec-char"><span>Противокапельная система:</span> Нет </li>                        <li class="tec-char"><span>Объём резервуара для воды:</span> 1000 мл</li>                        <li class="tec-char"><span>Паровой удар:</span> Есть </li>                        <li class="tec-char"><span>Вертикальное отпаривание:</span> Есть </li>                        <li class="tec-char"><span>Мощность:</span> 2200 Вт</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Безопасность и защита</th></tr>						<tr><td class="tthlbl">Система защиты от накипи:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Система самоочистки:</td><td>Нет</td></tr>						<tr><th colspan="2">Конструкция</th></tr>						<tr><td class="tthlbl">Противокапельная система:</td><td>Нет</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Возможность сухого глажения:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Объём резервуара для воды:</td><td>1000мл</td></tr>						<tr><td class="tthlbl">Паровой удар:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Парогенератор:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Постоянная подача пара:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Вертикальное отпаривание:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Длина шланга для пара:</td><td>1.6м</td></tr>						<tr><td class="tthlbl">Максимальное давление пара:</td><td>4бар</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>2200Вт</td></tr>						<tr><td class="tthlbl">Скорость постоянной подачи пара:</td><td>90г/мин</td></tr>					</table>;4039;assets/images/melkaya-bytovaya-technika/parovyje_stancii/Parovaya-stanciya-BOSCH-TDS-1601_STI0MDI2NFR0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/parovyje_stancii/Parovaya-stanciya-BOSCH-TDS-1601_STI0MDI2NFRp.jpg;BOSCH;
2068;Гладильная система MOULINEX GM 5010;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/utugi_i_gladilnyje_sistemy/parovyje_stancii?mfr=1454">MOULINEX</a> </li>                        <li class="tec-char"><span>Система защиты от накипи:</span> Есть </li>                        <li class="tec-char"><span>Противокапельная система:</span> Нет </li>                        <li class="tec-char"><span>Объём резервуара для воды:</span> 1000 мл</li>                        <li class="tec-char"><span>Паровой удар:</span> Есть </li>                        <li class="tec-char"><span>Вертикальное отпаривание:</span> Есть </li>                        <li class="tec-char"><span>Материал подошвы:</span> нерж. сталь </li>                        <li class="tec-char"><span>Мощность:</span> 2135 Вт</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Безопасность и защита</th></tr>						<tr><td class="tthlbl">Система защиты от накипи:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Система самоочистки:</td><td>Есть</td></tr>						<tr><th colspan="2">Конструкция</th></tr>						<tr><td class="tthlbl">Противокапельная система:</td><td>Нет</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Возможность сухого глажения:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Объём резервуара для воды:</td><td>1000мл</td></tr>						<tr><td class="tthlbl">Паровой удар:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Парогенератор:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Постоянная подача пара:</td><td>Есть</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Насадка для деликатных тканей:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Вертикальное отпаривание:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Максимальное давление пара:</td><td>4бар</td></tr>						<tr><td class="tthlbl">Материал подошвы:</td><td>нерж. сталь</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>2135Вт</td></tr>						<tr><td class="tthlbl">Скорость постоянной подачи пара:</td><td>90г/мин</td></tr>						<tr><td class="tthlbl">Шаровое крепление шнура:</td><td>Есть</td></tr>					</table>;4055;assets/images/melkaya-bytovaya-technika/parovyje_stancii/Gladilnaya-sistema-MOULINEX-GM-5010_STI0MTUyNVR0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/parovyje_stancii/Gladilnaya-sistema-MOULINEX-GM-5010_STI0MTUyNVRp.jpg;MOULINEX;
