parent;pagetitle;content1;content2;price;picture;picture-big;brand;
21;Утюг SUPRA IS-2750;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/utugi_i_gladilnyje_sistemy/utugi?mfr=2092">SUPRA</a> </li>                        <li class="tec-char"><span>Система защиты от накипи:</span> Нет </li>                        <li class="tec-char"><span>Противокапельная система:</span> Нет </li>                        <li class="tec-char"><span>Объём резервуара для воды:</span> 150 мл</li>                        <li class="tec-char"><span>Материал подошвы:</span> нерж. сталь </li>                        <li class="tec-char"><span>Мощность:</span> 1200 Вт</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Безопасность и защита</th></tr>						<tr><td class="tthlbl">Система защиты от накипи:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Система самоочистки:</td><td>Нет</td></tr>						<tr><th colspan="2">Конструкция</th></tr>						<tr><td class="tthlbl">Противокапельная система:</td><td>Нет</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Возможность сухого глажения:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Объём резервуара для воды:</td><td>150мл</td></tr>						<tr><td class="tthlbl">Постоянная подача пара:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Функция разбрызгивания:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Материал подошвы:</td><td>нерж. сталь</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>1200Вт</td></tr>					</table>;311;assets/images/melkaya-bytovaya-technika/utugi/Utyug-SUPRA-IS-2750_STI0NzY0MFR0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/utugi/Utyug-SUPRA-IS-2750_STI0NzY0MFRp.jpg;SUPRA;
21;Утюг SUPRA IS-2740;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/utugi_i_gladilnyje_sistemy/utugi?mfr=2092">SUPRA</a> </li>                        <li class="tec-char"><span>Система защиты от накипи:</span> Нет </li>                        <li class="tec-char"><span>Противокапельная система:</span> Нет </li>                        <li class="tec-char"><span>Объём резервуара для воды:</span> 140 мл</li>                        <li class="tec-char"><span>Паровой удар:</span> Нет </li>                        <li class="tec-char"><span>Материал подошвы:</span> нерж. сталь </li>                        <li class="tec-char"><span>Мощность:</span> 1200 Вт</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Безопасность и защита</th></tr>						<tr><td class="tthlbl">Система защиты от накипи:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Система самоочистки:</td><td>Нет</td></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>1.3кг</td></tr>						<tr><th colspan="2">Конструкция</th></tr>						<tr><td class="tthlbl">Противокапельная система:</td><td>Нет</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Возможность сухого глажения:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Объём резервуара для воды:</td><td>140мл</td></tr>						<tr><td class="tthlbl">Паровой удар:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Постоянная подача пара:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Функция разбрызгивания:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Материал подошвы:</td><td>нерж. сталь</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>1200Вт</td></tr>						<tr><td class="tthlbl">Шаровое крепление шнура:</td><td>Есть</td></tr>					</table>;319;assets/images/melkaya-bytovaya-technika/utugi/Utyug-SUPRA-IS-2740_STI0NzY0N1R0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/utugi/Utyug-SUPRA-IS-2740_STI0NzY0N1Rp.jpg;SUPRA;
21;Утюг SUPRA IS-2740;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/utugi_i_gladilnyje_sistemy/utugi?mfr=2092">SUPRA</a> </li>                        <li class="tec-char"><span>Система защиты от накипи:</span> Нет </li>                        <li class="tec-char"><span>Противокапельная система:</span> Нет </li>                        <li class="tec-char"><span>Объём резервуара для воды:</span> 140 мл</li>                        <li class="tec-char"><span>Паровой удар:</span> Нет </li>                        <li class="tec-char"><span>Материал подошвы:</span> нерж. сталь </li>                        <li class="tec-char"><span>Мощность:</span> 1200 Вт</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Безопасность и защита</th></tr>						<tr><td class="tthlbl">Система защиты от накипи:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Система самоочистки:</td><td>Нет</td></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>1.3кг</td></tr>						<tr><th colspan="2">Конструкция</th></tr>						<tr><td class="tthlbl">Противокапельная система:</td><td>Нет</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Возможность сухого глажения:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Объём резервуара для воды:</td><td>140мл</td></tr>						<tr><td class="tthlbl">Паровой удар:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Постоянная подача пара:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Функция разбрызгивания:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Материал подошвы:</td><td>нерж. сталь</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>1200Вт</td></tr>						<tr><td class="tthlbl">Шаровое крепление шнура:</td><td>Есть</td></tr>					</table>;319;assets/images/melkaya-bytovaya-technika/utugi/Utyug-SUPRA-IS-2740_STI0NzY0N1R0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/utugi/Utyug-SUPRA-IS-2740_STI0NzY0N1Rp.jpg;SUPRA;
21;Утюг SUPRA IS-3720;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/utugi_i_gladilnyje_sistemy/utugi?mfr=2092">SUPRA</a> </li>                        <li class="tec-char"><span>Система защиты от накипи:</span> Есть </li>                        <li class="tec-char"><span>Противокапельная система:</span> Нет </li>                        <li class="tec-char"><span>Объём резервуара для воды:</span> 280 мл</li>                        <li class="tec-char"><span>Паровой удар:</span> Есть </li>                        <li class="tec-char"><span>Вертикальное отпаривание:</span> Есть </li>                        <li class="tec-char"><span>Материал подошвы:</span> нерж. сталь </li>                        <li class="tec-char"><span>Мощность:</span> 2000 Вт</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Безопасность и защита</th></tr>						<tr><td class="tthlbl">Система защиты от накипи:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Система самоочистки:</td><td>Есть</td></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>1.8кг</td></tr>						<tr><th colspan="2">Комфорт</th></tr>						<tr><td class="tthlbl">Желобок для пуговиц:</td><td>Нет</td></tr>						<tr><th colspan="2">Конструкция</th></tr>						<tr><td class="tthlbl">Противокапельная система:</td><td>Нет</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Возможность сухого глажения:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Объём резервуара для воды:</td><td>280мл</td></tr>						<tr><td class="tthlbl">Паровой удар:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Постоянная подача пара:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Функция разбрызгивания:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Вертикальное отпаривание:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Материал подошвы:</td><td>нерж. сталь</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>2000Вт</td></tr>						<tr><td class="tthlbl">Шаровое крепление шнура:</td><td>Есть</td></tr>					</table>;502;assets/images/melkaya-bytovaya-technika/utugi/Utyug-SUPRA-IS-3720_STI0NzY3NFR0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/utugi/Utyug-SUPRA-IS-3720_STI0NzY3NFRp.jpg;SUPRA;
21;Утюг SUPRA IS-4750;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/utugi_i_gladilnyje_sistemy/utugi?mfr=2092">SUPRA</a> </li>                        <li class="tec-char"><span>Автоматическое отключение:</span> Нет </li>                        <li class="tec-char"><span>Система защиты от накипи:</span> Есть </li>                        <li class="tec-char"><span>Противокапельная система:</span> Нет </li>                        <li class="tec-char"><span>Объём резервуара для воды:</span> 300 мл</li>                        <li class="tec-char"><span>Паровой удар:</span> Есть </li>                        <li class="tec-char"><span>Вертикальное отпаривание:</span> Есть </li>                        <li class="tec-char"><span>Материал подошвы:</span> нерж. сталь </li>                        <li class="tec-char"><span>Мощность:</span> 2200 Вт</li>                        <li class="tec-char"><span>Скорость парового удара:</span> 95 г/мин</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Безопасность и защита</th></tr>						<tr><td class="tthlbl">Автоматическое отключение:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Система защиты от накипи:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Система самоочистки:</td><td>Есть</td></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>1.2кг</td></tr>						<tr><th colspan="2">Комфорт</th></tr>						<tr><td class="tthlbl">Желобок для пуговиц:</td><td>Нет</td></tr>						<tr><th colspan="2">Конструкция</th></tr>						<tr><td class="tthlbl">Противокапельная система:</td><td>Нет</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Возможность сухого глажения:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Объём резервуара для воды:</td><td>300мл</td></tr>						<tr><td class="tthlbl">Паровой удар:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Постоянная подача пара:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Функция разбрызгивания:</td><td>Есть</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Дополнительная информация:</td><td>Индикатор нагрева подошвы. Питание - 220-240V / 50Hz</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Вертикальное отпаривание:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Материал подошвы:</td><td>нерж. сталь</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>2200Вт</td></tr>						<tr><td class="tthlbl">Регулировка подачи пара:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Скорость парового удара:</td><td>95г/мин</td></tr>						<tr><td class="tthlbl">Скорость постоянной подачи пара:</td><td>40г/мин</td></tr>						<tr><td class="tthlbl">Шаровое крепление шнура:</td><td>Есть</td></tr>					</table>;519;assets/images/melkaya-bytovaya-technika/utugi/Utyug-SUPRA-IS-4750_STE0MjMyNlR0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/utugi/Utyug-SUPRA-IS-4750_STE0MjMyNlRp.jpg;SUPRA;
21;Утюг BINATONE SI 2042;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/utugi_i_gladilnyje_sistemy/utugi?mfr=303">BINATONE</a> </li>                        <li class="tec-char"><span>Система защиты от накипи:</span> Нет </li>                        <li class="tec-char"><span>Противокапельная система:</span> Нет </li>                        <li class="tec-char"><span>Паровой удар:</span> Есть </li>                        <li class="tec-char"><span>Материал подошвы:</span> нерж. сталь </li>                        <li class="tec-char"><span>Мощность:</span> 1400 Вт</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Безопасность и защита</th></tr>						<tr><td class="tthlbl">Система защиты от накипи:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Система самоочистки:</td><td>Нет</td></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>1.12кг</td></tr>						<tr><th colspan="2">Конструкция</th></tr>						<tr><td class="tthlbl">Противокапельная система:</td><td>Нет</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Возможность сухого глажения:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Паровой удар:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Постоянная подача пара:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Функция разбрызгивания:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Материал подошвы:</td><td>нерж. сталь</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>1400Вт</td></tr>						<tr><td class="tthlbl">Регулировка подачи пара:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Шаровое крепление шнура:</td><td>Есть</td></tr>						<tr><th colspan="2">Функциональные возможности</th></tr>						<tr><td class="tthlbl">Мерный стакан:</td><td>Есть</td></tr>					</table>;523;assets/images/melkaya-bytovaya-technika/utugi/Utyug-BINATONE-SI-2042_STI0MTg4NVR0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/utugi/Utyug-BINATONE-SI-2042_STI0MTg4NVRp.jpg;BINATONE;
21;Утюг SUPRA IS-5700;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/utugi_i_gladilnyje_sistemy/utugi?mfr=2092">SUPRA</a> </li>                        <li class="tec-char"><span>Система защиты от накипи:</span> Есть </li>                        <li class="tec-char"><span>Противокапельная система:</span> Нет </li>                        <li class="tec-char"><span>Объём резервуара для воды:</span> 300 мл</li>                        <li class="tec-char"><span>Паровой удар:</span> Есть </li>                        <li class="tec-char"><span>Вертикальное отпаривание:</span> Есть </li>                        <li class="tec-char"><span>Материал подошвы:</span> нерж. сталь </li>                        <li class="tec-char"><span>Мощность:</span> 2200 Вт</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Безопасность и защита</th></tr>						<tr><td class="tthlbl">Система защиты от накипи:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Система самоочистки:</td><td>Есть</td></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>1.5кг</td></tr>						<tr><th colspan="2">Комфорт</th></tr>						<tr><td class="tthlbl">Желобок для пуговиц:</td><td>Нет</td></tr>						<tr><th colspan="2">Конструкция</th></tr>						<tr><td class="tthlbl">Противокапельная система:</td><td>Нет</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Возможность сухого глажения:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Объём резервуара для воды:</td><td>300мл</td></tr>						<tr><td class="tthlbl">Паровой удар:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Постоянная подача пара:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Функция разбрызгивания:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Вертикальное отпаривание:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Материал подошвы:</td><td>нерж. сталь</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>2200Вт</td></tr>						<tr><td class="tthlbl">Шаровое крепление шнура:</td><td>Есть</td></tr>					</table>;527;assets/images/melkaya-bytovaya-technika/utugi/Utyug-SUPRA-IS-5700_STI0NzY5MVR0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/utugi/Utyug-SUPRA-IS-5700_STI0NzY5MVRp.jpg;SUPRA;
21;Утюг SUPRA IS-6850;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/utugi_i_gladilnyje_sistemy/utugi?mfr=2092">SUPRA</a> </li>                        <li class="tec-char"><span>Система защиты от накипи:</span> Есть </li>                        <li class="tec-char"><span>Противокапельная система:</span> Нет </li>                        <li class="tec-char"><span>Объём резервуара для воды:</span> 300 мл</li>                        <li class="tec-char"><span>Паровой удар:</span> Есть </li>                        <li class="tec-char"><span>Вертикальное отпаривание:</span> Есть </li>                        <li class="tec-char"><span>Материал подошвы:</span> нерж. сталь </li>                        <li class="tec-char"><span>Мощность:</span> 2000 Вт</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Безопасность и защита</th></tr>						<tr><td class="tthlbl">Система защиты от накипи:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Система самоочистки:</td><td>Есть</td></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>1.4кг</td></tr>						<tr><th colspan="2">Комфорт</th></tr>						<tr><td class="tthlbl">Желобок для пуговиц:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Сетевой кабель:</td><td>шаровое крепление к корпусу</td></tr>						<tr><th colspan="2">Конструкция</th></tr>						<tr><td class="tthlbl">Противокапельная система:</td><td>Нет</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Возможность сухого глажения:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Объём резервуара для воды:</td><td>300мл</td></tr>						<tr><td class="tthlbl">Паровой удар:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Постоянная подача пара:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Функция разбрызгивания:</td><td>Есть</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Дополнительная информация:</td><td>Индикатор нагрева подошвы. Питание - 220-240V / 50Hz.</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Вертикальное отпаривание:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Материал подошвы:</td><td>нерж. сталь</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>2000Вт</td></tr>						<tr><td class="tthlbl">Регулировка подачи пара:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Шаровое крепление шнура:</td><td>Есть</td></tr>					</table>;539;assets/images/melkaya-bytovaya-technika/utugi/Utyug-SUPRA-IS-6850_STE0MjMyN1R0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/utugi/Utyug-SUPRA-IS-6850_STE0MjMyN1Rp.jpg;SUPRA;
21;Утюг SUPRA IS-5740;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/utugi_i_gladilnyje_sistemy/utugi?mfr=2092">SUPRA</a> </li>                        <li class="tec-char"><span>Система защиты от накипи:</span> Есть </li>                        <li class="tec-char"><span>Противокапельная система:</span> Нет </li>                        <li class="tec-char"><span>Объём резервуара для воды:</span> 300 мл</li>                        <li class="tec-char"><span>Паровой удар:</span> Есть </li>                        <li class="tec-char"><span>Вертикальное отпаривание:</span> Есть </li>                        <li class="tec-char"><span>Материал подошвы:</span> нерж. сталь </li>                        <li class="tec-char"><span>Мощность:</span> 2000 Вт</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Безопасность и защита</th></tr>						<tr><td class="tthlbl">Система защиты от накипи:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Система самоочистки:</td><td>Есть</td></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>1.8кг</td></tr>						<tr><th colspan="2">Комфорт</th></tr>						<tr><td class="tthlbl">Желобок для пуговиц:</td><td>Нет</td></tr>						<tr><th colspan="2">Конструкция</th></tr>						<tr><td class="tthlbl">Противокапельная система:</td><td>Нет</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Возможность сухого глажения:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Объём резервуара для воды:</td><td>300мл</td></tr>						<tr><td class="tthlbl">Паровой удар:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Постоянная подача пара:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Функция разбрызгивания:</td><td>Есть</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Вертикальное отпаривание:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Материал подошвы:</td><td>нерж. сталь</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>2000Вт</td></tr>						<tr><td class="tthlbl">Шаровое крепление шнура:</td><td>Есть</td></tr>					</table>;559;assets/images/melkaya-bytovaya-technika/utugi/Utyug-SUPRA-IS-5740_STI0NzY2MVR0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/utugi/Utyug-SUPRA-IS-5740_STI0NzY2MVRp.jpg;SUPRA;
21;Утюг SUPRA IS-9750;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/small/utugi_i_gladilnyje_sistemy/utugi?mfr=2092">SUPRA</a> </li>                        <li class="tec-char"><span>Система защиты от накипи:</span> Есть </li>                        <li class="tec-char"><span>Противокапельная система:</span> Нет </li>                        <li class="tec-char"><span>Объём резервуара для воды:</span> 300 мл</li>                        <li class="tec-char"><span>Паровой удар:</span> Есть </li>                        <li class="tec-char"><span>Вертикальное отпаривание:</span> Есть </li>                        <li class="tec-char"><span>Материал подошвы:</span> нерж. сталь </li>                        <li class="tec-char"><span>Мощность:</span> 2200 Вт</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Безопасность и защита</th></tr>						<tr><td class="tthlbl">Система защиты от накипи:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Система самоочистки:</td><td>Есть</td></tr>						<tr><th colspan="2">Габариты и вес</th></tr>						<tr><td class="tthlbl">Вес:</td><td>1.8кг</td></tr>						<tr><th colspan="2">Комфорт</th></tr>						<tr><td class="tthlbl">Желобок для пуговиц:</td><td>Нет</td></tr>						<tr><th colspan="2">Конструкция</th></tr>						<tr><td class="tthlbl">Противокапельная система:</td><td>Нет</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Возможность сухого глажения:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Объём резервуара для воды:</td><td>300мл</td></tr>						<tr><td class="tthlbl">Паровой удар:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Постоянная подача пара:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Функция разбрызгивания:</td><td>Есть</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Дополнительная информация:</td><td>Индикатор нагрева подошвы. Питание - 220-240V / 50Hz</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Вертикальное отпаривание:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Материал подошвы:</td><td>нерж. сталь</td></tr>						<tr><td class="tthlbl">Мощность:</td><td>2200Вт</td></tr>						<tr><td class="tthlbl">Регулировка подачи пара:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Шаровое крепление шнура:</td><td>Есть</td></tr>					</table>;579;assets/images/melkaya-bytovaya-technika/utugi/Utyug-SUPRA-IS-9750_STE0MjMyNVR0TDE4MA.jpg;assets/images/melkaya-bytovaya-technika/utugi/Utyug-SUPRA-IS-9750_STE0MjMyNVRp.jpg;SUPRA;
