parent;pagetitle;content1;content2;price;picture;picture-big;brand;
9069;Аккумулятор холода CAMPINGAS M15;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/standalone/holod/holodilniki_portativnyje_avtomobilnyje?mfr=2779">CAMPINGAS</a> </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>					</table>;150;assets/images/standalone/holodilniki_portativnyje_avtomobilnyje	/Akkumulyator-kholoda-CAMPINGAS-M15_STY4NTc5VHRMMTgw.jpg;assets/images/standalone/holodilniki_portativnyje_avtomobilnyje	/Akkumulyator-kholoda-CAMPINGAS-M15_STY4NTc5VGk.jpg;CAMPINGAS;
9069;Адаптер SUPRA AS50;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/standalone/holod/holodilniki_portativnyje_avtomobilnyje?mfr=2092">SUPRA</a> </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Электропитание:</span> AC 220-240V -> DC 12V </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общее</th></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><th colspan="2">Питание</th></tr>						<tr><td class="tthlbl">Электропитание:</td><td>AC 220-240V -> DC 12V</td></tr>					</table>;700;assets/images/standalone/holodilniki_portativnyje_avtomobilnyje	/Adapter-SUPRA-AS50_STY3Njk0VHRMMTgw.jpg;assets/images/standalone/holodilniki_portativnyje_avtomobilnyje	/Adapter-SUPRA-AS50_STY3Njk0VGk.jpg;SUPRA;
9069;Адаптер SUPRA AS50;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/standalone/holod/holodilniki_portativnyje_avtomobilnyje?mfr=2092">SUPRA</a> </li>                        <li class="tec-char"><span>Материал корпуса:</span> пластик </li>                        <li class="tec-char"><span>Электропитание:</span> AC 220-240V -> DC 12V </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Общее</th></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>пластик</td></tr>						<tr><th colspan="2">Питание</th></tr>						<tr><td class="tthlbl">Электропитание:</td><td>AC 220-240V -> DC 12V</td></tr>					</table>;700;assets/images/standalone/holodilniki_portativnyje_avtomobilnyje	/Adapter-SUPRA-AS50_STY3Njk0VHRMMTgw.jpg;assets/images/standalone/holodilniki_portativnyje_avtomobilnyje	/Adapter-SUPRA-AS50_STY3Njk0VGk.jpg;SUPRA;
9069;Сумка-холодильник SUPRA MBC-21;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/standalone/holod/holodilniki_portativnyje_avtomobilnyje?mfr=2092">SUPRA</a> </li>                        <li class="tec-char"><span>Ручка для переноски:</span> Есть </li>                        <li class="tec-char"><span>Электропитание:</span> DC 12V </li>                        <li class="tec-char"><span>Максимальное охлаждение:</span> 12-18°C (не ниже +5°C) °C</li>                        <li class="tec-char"><span>Рабочий объем:</span> 21 л</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Вес:</td><td>2.1кг</td></tr>						<tr><th colspan="2">Дополнительная информация</th></tr>						<tr><td class="tthlbl">Габариты (ВхШхГ):</td><td>37,4х25,8х34,7см</td></tr>						<tr><th colspan="2">Общее</th></tr>						<tr><td class="tthlbl">Теплоизоляция корпуса:</td><td>высококачественная плотная полиэтиленовая пена</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Дополнительная информация:</td><td>Эластичная тесьма на крышке</td></tr>						<tr><td class="tthlbl">Карманы:</td><td>3 кармана</td></tr>						<tr><td class="tthlbl">Регулируемый съемный наплечный ремень:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Ручка для переноски:</td><td>Есть</td></tr>						<tr><th colspan="2">Питание</th></tr>						<tr><td class="tthlbl">Электропитание:</td><td>DC 12V</td></tr>						<tr><th colspan="2">Холод</th></tr>						<tr><td class="tthlbl">Максимальное охлаждение:</td><td>12-18°C (не ниже +5°C)°C</td></tr>						<tr><td class="tthlbl">Рабочий объем:</td><td>21л</td></tr>					</table>;2399;assets/images/standalone/holodilniki_portativnyje_avtomobilnyje	/Sumka-kholodilnik-SUPRA-MBC-21_STQ0OTY2VHRMMTgw.jpg;assets/images/standalone/holodilniki_portativnyje_avtomobilnyje	/Sumka-kholodilnik-SUPRA-MBC-21_STQ0OTY2VGk.jpg;SUPRA;
9069;Сумка-холодильник SUPRA MBC-28;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/standalone/holod/holodilniki_portativnyje_avtomobilnyje?mfr=2092">SUPRA</a> </li>                        <li class="tec-char"><span>Ручка для переноски:</span> Есть </li>                        <li class="tec-char"><span>Электропитание:</span> DC 12V </li>                        <li class="tec-char"><span>Максимальное охлаждение:</span> 10-12 °C ниже температуры окружающей среды (не ниже +5°C) °C</li>                        <li class="tec-char"><span>Рабочий объем:</span> 28 л</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Вес:</td><td>2кг</td></tr>						<tr><th colspan="2">Дополнительная информация</th></tr>						<tr><td class="tthlbl">Габариты (ВхШхГ):</td><td>390х208х382см</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Карманы:</td><td>два боковых кармана, небольшой карман на крышке</td></tr>						<tr><td class="tthlbl">Регулируемый съемный наплечный ремень:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Ручка для переноски:</td><td>Есть</td></tr>						<tr><th colspan="2">Питание</th></tr>						<tr><td class="tthlbl">Электропитание:</td><td>DC 12V</td></tr>						<tr><th colspan="2">Холод</th></tr>						<tr><td class="tthlbl">Максимальное охлаждение:</td><td>10-12 °C ниже температуры окружающей среды (не ниже +5°C)°C</td></tr>						<tr><td class="tthlbl">Рабочий объем:</td><td>28л</td></tr>					</table>;2502;assets/images/standalone/holodilniki_portativnyje_avtomobilnyje	/Sumka-kholodilnik-SUPRA-MBC-28_STQ1MDIyVHRMMTgw.jpg;assets/images/standalone/holodilniki_portativnyje_avtomobilnyje	/Sumka-kholodilnik-SUPRA-MBC-28_STQ1MDIyVGk.jpg;SUPRA;
9069;Сумка-холодильник SUPRA MFC-18;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/standalone/holod/holodilniki_portativnyje_avtomobilnyje?mfr=2092">SUPRA</a> </li>                        <li class="tec-char"><span>Ручка для переноски:</span> Есть </li>                        <li class="tec-char"><span>Электропитание:</span> D C 12В / AC 220-240В </li>                        <li class="tec-char"><span>Максимальное охлаждение:</span> 20 °C</li>                        <li class="tec-char"><span>Максимальный нагрев:</span> 65 °C</li>                        <li class="tec-char"><span>Рабочий объем:</span> 18 л</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Вес:</td><td>5.3кг</td></tr>						<tr><th colspan="2">Дополнительная информация</th></tr>						<tr><td class="tthlbl">Габариты (ВхШхГ):</td><td>378х553х453см</td></tr>						<tr><th colspan="2">Общее</th></tr>						<tr><td class="tthlbl">Теплоизоляция корпуса:</td><td>30 мм цельная полиуретановая пена</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Регулируемый съемный наплечный ремень:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Ручка для переноски:</td><td>Есть</td></tr>						<tr><th colspan="2">Питание</th></tr>						<tr><td class="tthlbl">Электропитание:</td><td>D C 12В / AC 220-240В</td></tr>						<tr><th colspan="2">Холод</th></tr>						<tr><td class="tthlbl">Максимальное охлаждение:</td><td>20°C</td></tr>						<tr><td class="tthlbl">Максимальный нагрев:</td><td>65°C</td></tr>						<tr><td class="tthlbl">Рабочий объем:</td><td>18л</td></tr>					</table>;3229;assets/images/standalone/holodilniki_portativnyje_avtomobilnyje	/Sumka-kholodilnik-SUPRA-MFC-18_STI0MzI5OFR0TDE4MA.jpg;assets/images/standalone/holodilniki_portativnyje_avtomobilnyje	/Sumka-kholodilnik-SUPRA-MFC-18_STI0MzI5OFRp.jpg;SUPRA;
9069;Сумка-холодильник CAMPING WORLD Unicool 7;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/standalone/holod/holodilniki_portativnyje_avtomobilnyje?mfr=2775">CAMPING WORLD</a> </li>                        <li class="tec-char"><span>Страна сборки:</span> Китай </li>                        <li class="tec-char"><span>Электропитание:</span> 12 V </li>                        <li class="tec-char"><span>Максимальное охлаждение:</span> 25 °C</li>                        <li class="tec-char"><span>Максимальный нагрев:</span> 60 °C</li>                        <li class="tec-char"><span>Рабочий объем:</span> 7 л</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Вес:</td><td>2.8кг</td></tr>						<tr><th colspan="2">Дополнительная информация</th></tr>						<tr><td class="tthlbl">Габариты (ВхШхГ):</td><td>320х303х176см</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Страна сборки:</td><td>Китай</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Дополнительная информация:</td><td>подключение к сети переменного тока 220 V при использовании адаптера, помещается в любом месте вашего автомобиля, цвет: серый</td></tr>						<tr><td class="tthlbl">Регулируемый съемный наплечный ремень:</td><td>Есть</td></tr>						<tr><th colspan="2">Питание</th></tr>						<tr><td class="tthlbl">Электропитание:</td><td>12 V</td></tr>						<tr><th colspan="2">Холод</th></tr>						<tr><td class="tthlbl">Максимальное охлаждение:</td><td>25°C</td></tr>						<tr><td class="tthlbl">Максимальный нагрев:</td><td>60°C</td></tr>						<tr><td class="tthlbl">Рабочий объем:</td><td>7л</td></tr>					</table>;3319;assets/images/standalone/holodilniki_portativnyje_avtomobilnyje	/Sumka-kholodilnik-CAMPING-WORLD-Unicool-7_STY1NzYzVHRMMTgw.jpg;assets/images/standalone/holodilniki_portativnyje_avtomobilnyje	/Sumka-kholodilnik-CAMPING-WORLD-Unicool-7_STY1NzYzVGk.jpg;CAMPING WORLD;
9069;Сумка-холодильник SUPRA MFC-32;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/standalone/holod/holodilniki_portativnyje_avtomobilnyje?mfr=2092">SUPRA</a> </li>                        <li class="tec-char"><span>Ручка для переноски:</span> Есть </li>                        <li class="tec-char"><span>Электропитание:</span> DC 12В / AC 220-240В </li>                        <li class="tec-char"><span>Максимальное охлаждение:</span> 0-12°C ниже температуры окружающей среды (не ниже +5 С) °C</li>                        <li class="tec-char"><span>Максимальный нагрев:</span> 65 °C</li>                        <li class="tec-char"><span>Рабочий объем:</span> 32 л</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Вес:</td><td>7кг</td></tr>						<tr><th colspan="2">Дополнительная информация</th></tr>						<tr><td class="tthlbl">Габариты (ВхШхГ):</td><td>48.2x33.5x46см</td></tr>						<tr><th colspan="2">Общее</th></tr>						<tr><td class="tthlbl">Теплоизоляция корпуса:</td><td>30 мм цельная полиуретановая пена</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Дополнительная информация:</td><td>Охлаждающее устройство: термоэлектрический элемент</td></tr>						<tr><td class="tthlbl">Регулируемый съемный наплечный ремень:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Ручка для переноски:</td><td>Есть</td></tr>						<tr><th colspan="2">Питание</th></tr>						<tr><td class="tthlbl">Электропитание:</td><td>DC 12В / AC 220-240В</td></tr>						<tr><th colspan="2">Холод</th></tr>						<tr><td class="tthlbl">Максимальное охлаждение:</td><td>0-12°C ниже температуры окружающей среды (не ниже +5 С)°C</td></tr>						<tr><td class="tthlbl">Максимальный нагрев:</td><td>65°C</td></tr>						<tr><td class="tthlbl">Рабочий объем:</td><td>32л</td></tr>					</table>;3624;assets/images/standalone/holodilniki_portativnyje_avtomobilnyje	/Sumka-kholodilnik-SUPRA-MFC-32_STU2NDEzVHRMMTgw.jpg;assets/images/standalone/holodilniki_portativnyje_avtomobilnyje	/Sumka-kholodilnik-SUPRA-MFC-32_STU2NDEzVGk.jpg;SUPRA;
9069;Сумка-холодильник SUPRA MFC-33;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/standalone/holod/holodilniki_portativnyje_avtomobilnyje?mfr=2092">SUPRA</a> </li>                        <li class="tec-char"><span>Электропитание:</span> DC 12В / AC 220-240В </li>                        <li class="tec-char"><span>Максимальное охлаждение:</span> 10-12°C (не ниже +5?С) °C</li>                        <li class="tec-char"><span>Максимальный нагрев:</span> 65 °C</li>                        <li class="tec-char"><span>Рабочий объем:</span> 32 л</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Вес:</td><td>7.5кг</td></tr>						<tr><th colspan="2">Дополнительная информация</th></tr>						<tr><td class="tthlbl">Габариты (ВхШхГ):</td><td>45x34x48,5см</td></tr>						<tr><th colspan="2">Общее</th></tr>						<tr><td class="tthlbl">Теплоизоляция корпуса:</td><td>30 мм цельная полиуретановая пена</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Дополнительная информация:</td><td>Охлаждающее устройство: термоэлектрический элемент</td></tr>						<tr><th colspan="2">Питание</th></tr>						<tr><td class="tthlbl">Электропитание:</td><td>DC 12В / AC 220-240В</td></tr>						<tr><th colspan="2">Холод</th></tr>						<tr><td class="tthlbl">Максимальное охлаждение:</td><td>10-12°C (не ниже +5?С)°C</td></tr>						<tr><td class="tthlbl">Максимальный нагрев:</td><td>65°C</td></tr>						<tr><td class="tthlbl">Рабочий объем:</td><td>32л</td></tr>					</table>;4174;assets/images/standalone/holodilniki_portativnyje_avtomobilnyje	/Sumka-kholodilnik-SUPRA-MFC-33_STI0MzI5NlR0TDE4MA.jpg;assets/images/standalone/holodilniki_portativnyje_avtomobilnyje	/Sumka-kholodilnik-SUPRA-MFC-33_STI0MzI5NlRp.jpg;SUPRA;
9069;Сумка-холодильник CAMPING WORLD Unicool 25;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/standalone/holod/holodilniki_portativnyje_avtomobilnyje?mfr=2775">CAMPING WORLD</a> </li>                        <li class="tec-char"><span>Материал корпуса:</span> Пластик </li>                        <li class="tec-char"><span>Страна сборки:</span> Китай </li>                        <li class="tec-char"><span>Ручка для переноски:</span> Есть </li>                        <li class="tec-char"><span>Электропитание:</span> 12 В </li>                        <li class="tec-char"><span>Максимальное охлаждение:</span> 18-23 от температуры окружающей среды °C</li>                        <li class="tec-char"><span>Максимальный нагрев:</span> 60 °C</li>                        <li class="tec-char"><span>Рабочий объем:</span> 25 л</li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Вес:</td><td>4.36кг</td></tr>						<tr><th colspan="2">Дополнительная информация</th></tr>						<tr><td class="tthlbl">Габариты (ВхШхГ):</td><td>40х44х30см</td></tr>						<tr><th colspan="2">Общее</th></tr>						<tr><td class="tthlbl">Материал корпуса:</td><td>Пластик</td></tr>						<tr><td class="tthlbl">Теплоизоляция корпуса:</td><td>Пенополиуретан толщиной 20мм</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Страна сборки:</td><td>Китай</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Дополнительная информация:</td><td>При отключении от источника питания, держит температуру 22-24 ч (с аккумуляторами холода), шнур питания 2,5 мм</td></tr>						<tr><td class="tthlbl">Ручка для переноски:</td><td>Есть</td></tr>						<tr><th colspan="2">Питание</th></tr>						<tr><td class="tthlbl">Электропитание:</td><td>12 В</td></tr>						<tr><th colspan="2">Холод</th></tr>						<tr><td class="tthlbl">Максимальное охлаждение:</td><td>18-23 от температуры окружающей среды°C</td></tr>						<tr><td class="tthlbl">Максимальный нагрев:</td><td>60°C</td></tr>						<tr><td class="tthlbl">Рабочий объем:</td><td>25л</td></tr>					</table>;4249;assets/images/standalone/holodilniki_portativnyje_avtomobilnyje	/Sumka-kholodilnik-CAMPING-WORLD-Unicool-25_STE3MDc3NlR0TDE4MA.jpg;assets/images/standalone/holodilniki_portativnyje_avtomobilnyje	/Sumka-kholodilnik-CAMPING-WORLD-Unicool-25_STE3MDc3NlRp.jpg;CAMPING WORLD;
