parent;pagetitle;content1;content2;price;picture;picture-big;brand;
10049;Сушильная машина BOSCH WTC 84101;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/standalone/sushil_nyje_i_gladil_nyje_mashiny/sushil_nyje_mashiny?mfr=343">BOSCH</a> </li>                        <li class="tec-char"><span>Высота:</span> 84.2 см</li>                        <li class="tec-char"><span>Глубина:</span> 63.5 см</li>                        <li class="tec-char"><span>Ширина:</span> 59.9 см</li>                        <li class="tec-char"><span>Максимальная загрузка белья:</span> 7 кг</li>                        <li class="tec-char"><span>Тип сушки:</span> конденсационная </li>                        <li class="tec-char"><span>Тип управления:</span> механическое </li>                        <li class="tec-char"><span>Цвет:</span> белый </li>                        <li class="tec-char"><span>Дисплей:</span> Нет </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Высота:</td><td>84.2см</td></tr>						<tr><td class="tthlbl">Глубина:</td><td>63.5см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>59.9см</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Класс энергопотребления:</td><td>B</td></tr>						<tr><td class="tthlbl">Максимальная загрузка белья:</td><td>7кг</td></tr>						<tr><td class="tthlbl">Тип сушки:</td><td>конденсационная</td></tr>						<tr><td class="tthlbl">Тип управления:</td><td>механическое</td></tr>						<tr><td class="tthlbl">Цвет:</td><td>белый</td></tr>						<tr><th colspan="2">Отжим</th></tr>						<tr><td class="tthlbl">Скорость вращения при отжиме:</td><td>1400об/мин</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Клавиши специальных функций:</td><td>деликатная сушкалегко гладить</td></tr>						<tr><td class="tthlbl">Объем барабана:</td><td>112л</td></tr>						<tr><td class="tthlbl">Программы:</td><td>cушка в шкафcушка под утюгочень сухоесинтетикатеплый обдувхлопокхолодный обдув</td></tr>						<tr><td class="tthlbl">Светодиодная индикация:</td><td>заполнения емкости для конденсатахода программы</td></tr>					</table>;15698;assets/images/standalone/sushil_nyje_mashiny/Sushilnaya-mashina-BOSCH-WTC-84101_STIzNzIyOFR0TDE4MA.jpg;assets/images/standalone/sushil_nyje_mashiny/Sushilnaya-mashina-BOSCH-WTC-84101_STIzNzIyOFRp.jpg;BOSCH;
10049;Сушильная машина ELECTROLUX EDC 3150;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/standalone/sushil_nyje_i_gladil_nyje_mashiny/sushil_nyje_mashiny?mfr=680">ELECTROLUX</a> </li>                        <li class="tec-char"><span>Высота:</span> 68.6 см</li>                        <li class="tec-char"><span>Глубина:</span> 42 см</li>                        <li class="tec-char"><span>Ширина:</span> 59.5 см</li>                        <li class="tec-char"><span>Максимальная загрузка белья:</span> 3.4 кг</li>                        <li class="tec-char"><span>Тип сушки:</span> конденсационная </li>                        <li class="tec-char"><span>Тип управления:</span> механическое </li>                        <li class="tec-char"><span>Цвет:</span> белый </li>                        <li class="tec-char"><span>Дисплей:</span> Нет </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Высота:</td><td>68.6см</td></tr>						<tr><td class="tthlbl">Глубина:</td><td>42см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>59.5см</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Класс энергопотребления:</td><td>C</td></tr>						<tr><td class="tthlbl">Максимальная загрузка белья:</td><td>3.4кг</td></tr>						<tr><td class="tthlbl">Тип сушки:</td><td>конденсационная</td></tr>						<tr><td class="tthlbl">Тип управления:</td><td>механическое</td></tr>						<tr><td class="tthlbl">Цвет:</td><td>белый</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Уровень шума:</td><td>65дБ</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Объем барабана:</td><td>65л</td></tr>					</table>;18754;assets/images/standalone/sushil_nyje_mashiny/Sushilnaya-mashina-ELECTROLUX-EDC-3150_STQxOTk3VHRMMTgw.jpg;assets/images/standalone/sushil_nyje_mashiny/Sushilnaya-mashina-ELECTROLUX-EDC-3150_STQxOTk3VGk.jpg;ELECTROLUX;
10049;Сушильная машина ELECTROLUX EDC 3150;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/standalone/sushil_nyje_i_gladil_nyje_mashiny/sushil_nyje_mashiny?mfr=680">ELECTROLUX</a> </li>                        <li class="tec-char"><span>Высота:</span> 68.6 см</li>                        <li class="tec-char"><span>Глубина:</span> 42 см</li>                        <li class="tec-char"><span>Ширина:</span> 59.5 см</li>                        <li class="tec-char"><span>Максимальная загрузка белья:</span> 3.4 кг</li>                        <li class="tec-char"><span>Тип сушки:</span> конденсационная </li>                        <li class="tec-char"><span>Тип управления:</span> механическое </li>                        <li class="tec-char"><span>Цвет:</span> белый </li>                        <li class="tec-char"><span>Дисплей:</span> Нет </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Высота:</td><td>68.6см</td></tr>						<tr><td class="tthlbl">Глубина:</td><td>42см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>59.5см</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Класс энергопотребления:</td><td>C</td></tr>						<tr><td class="tthlbl">Максимальная загрузка белья:</td><td>3.4кг</td></tr>						<tr><td class="tthlbl">Тип сушки:</td><td>конденсационная</td></tr>						<tr><td class="tthlbl">Тип управления:</td><td>механическое</td></tr>						<tr><td class="tthlbl">Цвет:</td><td>белый</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Уровень шума:</td><td>65дБ</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Объем барабана:</td><td>65л</td></tr>					</table>;18754;assets/images/standalone/sushil_nyje_mashiny/Sushilnaya-mashina-ELECTROLUX-EDC-3150_STQxOTk3VHRMMTgw.jpg;assets/images/standalone/sushil_nyje_mashiny/Sushilnaya-mashina-ELECTROLUX-EDC-3150_STQxOTk3VGk.jpg;ELECTROLUX;
10049;Сушильная машина BOSCH WTE 84123;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/standalone/sushil_nyje_i_gladil_nyje_mashiny/sushil_nyje_mashiny?mfr=343">BOSCH</a> </li>                        <li class="tec-char"><span>Высота:</span> 84.2 см</li>                        <li class="tec-char"><span>Глубина:</span> 62.5 см</li>                        <li class="tec-char"><span>Ширина:</span> 59.8 см</li>                        <li class="tec-char"><span>Максимальная загрузка белья:</span> 7 кг</li>                        <li class="tec-char"><span>Тип сушки:</span> конденсационная </li>                        <li class="tec-char"><span>Тип управления:</span> механическое </li>                        <li class="tec-char"><span>Цвет:</span> белый </li>                        <li class="tec-char"><span>Дисплей:</span> Нет </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Высота:</td><td>84.2см</td></tr>						<tr><td class="tthlbl">Глубина:</td><td>62.5см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>59.8см</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Класс энергопотребления:</td><td>B</td></tr>						<tr><td class="tthlbl">Максимальная загрузка белья:</td><td>7кг</td></tr>						<tr><td class="tthlbl">Тип сушки:</td><td>конденсационная</td></tr>						<tr><td class="tthlbl">Тип управления:</td><td>механическое</td></tr>						<tr><td class="tthlbl">Цвет:</td><td>белый</td></tr>						<tr><th colspan="2">Отжим</th></tr>						<tr><td class="tthlbl">Скорость вращения при отжиме:</td><td>1400об/мин</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Нет</td></tr>						<tr><td class="tthlbl">Клавиши специальных функций:</td><td>деликатная сушка</td></tr>						<tr><td class="tthlbl">Объем барабана:</td><td>112л</td></tr>						<tr><td class="tthlbl">Программы:</td><td>cушка в шкафcушка под утюгочень сухоесинтетикаспортивнаясуперсушка по временихлопок</td></tr>						<tr><td class="tthlbl">Светодиодная индикация:</td><td>заполнения емкости для конденсатахода программы</td></tr>					</table>;19559;assets/images/standalone/sushil_nyje_mashiny/Sushilnaya-mashina-BOSCH-WTE-84123_STUwMzEyVHRMMTgw.jpg;assets/images/standalone/sushil_nyje_mashiny/Sushilnaya-mashina-BOSCH-WTE-84123_STUwMzEyVGk.jpg;BOSCH;
10049;Сушильная машина BOSCH WTE 86305;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/standalone/sushil_nyje_i_gladil_nyje_mashiny/sushil_nyje_mashiny?mfr=343">BOSCH</a> </li>                        <li class="tec-char"><span>Высота:</span> 84.2 см</li>                        <li class="tec-char"><span>Глубина:</span> 62.5 см</li>                        <li class="tec-char"><span>Ширина:</span> 59.8 см</li>                        <li class="tec-char"><span>Максимальная загрузка белья:</span> 8 кг</li>                        <li class="tec-char"><span>Тип сушки:</span> конденсационная </li>                        <li class="tec-char"><span>Тип управления:</span> электронное </li>                        <li class="tec-char"><span>Цвет:</span> белый </li>                        <li class="tec-char"><span>Внутренняя подсветка барабана:</span> Есть </li>                        <li class="tec-char"><span>Дисплей:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Высота:</td><td>84.2см</td></tr>						<tr><td class="tthlbl">Глубина:</td><td>62.5см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>59.8см</td></tr>						<tr><th colspan="2">Другие функции и особенности</th></tr>						<tr><td class="tthlbl">Материал бака:</td><td>пластик</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Класс энергопотребления:</td><td>B</td></tr>						<tr><td class="tthlbl">Максимальная загрузка белья:</td><td>8кг</td></tr>						<tr><td class="tthlbl">Тип сушки:</td><td>конденсационная</td></tr>						<tr><td class="tthlbl">Тип управления:</td><td>электронное</td></tr>						<tr><td class="tthlbl">Цвет:</td><td>белый</td></tr>						<tr><th colspan="2">Отжим</th></tr>						<tr><td class="tthlbl">Скорость вращения при отжиме:</td><td>1400об/мин</td></tr>						<tr><th colspan="2">Программы</th></tr>						<tr><td class="tthlbl">Количество программ:</td><td>13</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Внутренняя подсветка барабана:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Клавиши специальных функций:</td><td>деликатная сушкалегко гладить</td></tr>						<tr><td class="tthlbl">Материал барабана:</td><td>нержавеющая сталь</td></tr>						<tr><td class="tthlbl">Объем барабана:</td><td>112л</td></tr>						<tr><td class="tthlbl">Программы:</td><td>cушка в шкафcушка под утюгочень сухоепуховикисинтетикаспортивнаясуперсушка по временихлопокшерсть (сушка в корзине)</td></tr>						<tr><td class="tthlbl">Светодиодная индикация:</td><td>заполнения емкости для конденсатахода программы</td></tr>					</table>;22149;assets/images/standalone/sushil_nyje_mashiny/Sushilnaya-mashina-BOSCH-WTE-86305_STIzMjA0MlR0TDE4MA.jpg;assets/images/standalone/sushil_nyje_mashiny/Sushilnaya-mashina-BOSCH-WTE-86305_STIzMjA0MlRp.jpg;BOSCH;
10049;Сушильная машина ELECTROLUX EDI 97170;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/standalone/sushil_nyje_i_gladil_nyje_mashiny/sushil_nyje_mashiny?mfr=680">ELECTROLUX</a> </li>                        <li class="tec-char"><span>Высота:</span> 84.4 см</li>                        <li class="tec-char"><span>Глубина:</span> 58 см</li>                        <li class="tec-char"><span>Ширина:</span> 60 см</li>                        <li class="tec-char"><span>Максимальная загрузка белья:</span> 7 кг</li>                        <li class="tec-char"><span>Тип сушки:</span> конденсационная </li>                        <li class="tec-char"><span>Тип управления:</span> электронное </li>                        <li class="tec-char"><span>Цвет:</span> белый </li>                        <li class="tec-char"><span>Дисплей:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Высота:</td><td>84.4см</td></tr>						<tr><td class="tthlbl">Глубина:</td><td>58см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>60см</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Класс энергопотребления:</td><td>B</td></tr>						<tr><td class="tthlbl">Максимальная загрузка белья:</td><td>7кг</td></tr>						<tr><td class="tthlbl">Тип сушки:</td><td>конденсационная</td></tr>						<tr><td class="tthlbl">Тип управления:</td><td>электронное</td></tr>						<tr><td class="tthlbl">Цвет:</td><td>белый</td></tr>						<tr><th colspan="2">Особенности</th></tr>						<tr><td class="tthlbl">Уровень шума:</td><td>62дБ</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Объем барабана:</td><td>108л</td></tr>						<tr><td class="tthlbl">Программы:</td><td>cушка в шкафcушка под утюгосвежающаяочень сухоесинтетикахлопок</td></tr>					</table>;39321;assets/images/standalone/sushil_nyje_mashiny/Sushilnaya-mashina-ELECTROLUX-EDI-97170_STEzNjA3NVR0TDE4MA.jpg;assets/images/standalone/sushil_nyje_mashiny/Sushilnaya-mashina-ELECTROLUX-EDI-97170_STEzNjA3NVRp.jpg;ELECTROLUX;
10049;Сушильная машина MIELE T 8428 C сталь;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/standalone/sushil_nyje_i_gladil_nyje_mashiny/sushil_nyje_mashiny?mfr=1409">MIELE</a> </li>                        <li class="tec-char"><span>Высота:</span> 85 см</li>                        <li class="tec-char"><span>Глубина:</span> 58 см</li>                        <li class="tec-char"><span>Ширина:</span> 60 см</li>                        <li class="tec-char"><span>Максимальная загрузка белья:</span> 6 кг</li>                        <li class="tec-char"><span>Тип сушки:</span> конденсационная </li>                        <li class="tec-char"><span>Тип управления:</span> электронное </li>                        <li class="tec-char"><span>Цвет:</span> нержавеющая сталь </li>                        <li class="tec-char"><span>Дисплей:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Высота:</td><td>85см</td></tr>						<tr><td class="tthlbl">Глубина:</td><td>58см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>60см</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Максимальная загрузка белья:</td><td>6кг</td></tr>						<tr><td class="tthlbl">Тип сушки:</td><td>конденсационная</td></tr>						<tr><td class="tthlbl">Тип управления:</td><td>электронное</td></tr>						<tr><td class="tthlbl">Цвет:</td><td>нержавеющая сталь</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Программы:</td><td>деликатные тканисинтетикахлопокхолодный обдувшерсть (сушка в корзине)</td></tr>					</table>;;assets/images/standalone/sushil_nyje_mashiny/Sushilnaya-mashina-MIELE-T-8428-C-stal_STUwNTA0VHRMMTgw.jpg;assets/images/standalone/sushil_nyje_mashiny/Sushilnaya-mashina-MIELE-T-8428-C-stal_STUwNTA0VGk.jpg;MIELE;
10049;Сушильная машина MIELE T 8822 C;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/standalone/sushil_nyje_i_gladil_nyje_mashiny/sushil_nyje_mashiny?mfr=1409">MIELE</a> </li>                        <li class="tec-char"><span>Высота:</span> 85 см</li>                        <li class="tec-char"><span>Глубина:</span> 58 см</li>                        <li class="tec-char"><span>Ширина:</span> 59.5 см</li>                        <li class="tec-char"><span>Максимальная загрузка белья:</span> 7 кг</li>                        <li class="tec-char"><span>Тип сушки:</span> конденсационная </li>                        <li class="tec-char"><span>Тип управления:</span> электронное </li>                        <li class="tec-char"><span>Цвет:</span> белый </li>                        <li class="tec-char"><span>Дисплей:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Высота:</td><td>85см</td></tr>						<tr><td class="tthlbl">Глубина:</td><td>58см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>59.5см</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Максимальная загрузка белья:</td><td>7кг</td></tr>						<tr><td class="tthlbl">Тип сушки:</td><td>конденсационная</td></tr>						<tr><td class="tthlbl">Тип управления:</td><td>электронное</td></tr>						<tr><td class="tthlbl">Цвет:</td><td>белый</td></tr>						<tr><th colspan="2">Отжим</th></tr>						<tr><td class="tthlbl">Скорость вращения при отжиме:</td><td>1400об/мин</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Программы:</td><td>быстрая сушкаделикатные тканитеплый обдувхлопокхолодный обдувшерсть (сушка в корзине)</td></tr>					</table>;;assets/images/standalone/sushil_nyje_mashiny/Sushilnaya-mashina-MIELE-T-8822-C_STUxMDY1VHRMMTgw.jpg;assets/images/standalone/sushil_nyje_mashiny/Sushilnaya-mashina-MIELE-T-8822-C_STUxMDY1VGk.jpg;MIELE;
10049;Сушильная машина MIELE T 9666 C;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/standalone/sushil_nyje_i_gladil_nyje_mashiny/sushil_nyje_mashiny?mfr=1409">MIELE</a> </li>                        <li class="tec-char"><span>Высота:</span> 85 см</li>                        <li class="tec-char"><span>Глубина:</span> 63.4 см</li>                        <li class="tec-char"><span>Ширина:</span> 59.5 см</li>                        <li class="tec-char"><span>Максимальная загрузка белья:</span> 7 кг</li>                        <li class="tec-char"><span>Тип сушки:</span> конденсационная </li>                        <li class="tec-char"><span>Тип управления:</span> электронное </li>                        <li class="tec-char"><span>Цвет:</span> белый </li>                        <li class="tec-char"><span>Дисплей:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Высота:</td><td>85см</td></tr>						<tr><td class="tthlbl">Глубина:</td><td>63.4см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>59.5см</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Максимальная загрузка белья:</td><td>7кг</td></tr>						<tr><td class="tthlbl">Тип сушки:</td><td>конденсационная</td></tr>						<tr><td class="tthlbl">Тип управления:</td><td>электронное</td></tr>						<tr><td class="tthlbl">Цвет:</td><td>белый</td></tr>						<tr><th colspan="2">Отжим</th></tr>						<tr><td class="tthlbl">Скорость вращения при отжиме:</td><td>1400об/мин</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Программы:</td><td>быстрая сушкаделикатные тканипропитываниесинтетикатеплый обдув</td></tr>					</table>;;assets/images/standalone/sushil_nyje_mashiny/Sushilnaya-mashina-MIELE-T-9666-C_STUxMDc1VHRMMTgw.jpg;assets/images/standalone/sushil_nyje_mashiny/Sushilnaya-mashina-MIELE-T-9666-C_STUxMDc1VGk.jpg;MIELE;
10049;Сушильная машина MIELE T 8822 C сталь;<ul class="tec-char">                        <li class="tec-char"><span>Код марки:</span> <a href="http://www.electrovenik.ru/catalog/standalone/sushil_nyje_i_gladil_nyje_mashiny/sushil_nyje_mashiny?mfr=1409">MIELE</a> </li>                        <li class="tec-char"><span>Высота:</span> 85 см</li>                        <li class="tec-char"><span>Глубина:</span> 58 см</li>                        <li class="tec-char"><span>Ширина:</span> 59.5 см</li>                        <li class="tec-char"><span>Максимальная загрузка белья:</span> 7 кг</li>                        <li class="tec-char"><span>Тип сушки:</span> конденсационная </li>                        <li class="tec-char"><span>Тип управления:</span> электронное </li>                        <li class="tec-char"><span>Цвет:</span> нержавеющая сталь </li>                        <li class="tec-char"><span>Дисплей:</span> Есть </li>						</ul>;<table class="item-tec-char" id="tthtable">						<tr><th colspan="2"></th></tr>						<tr><th colspan="2">Габариты</th></tr>						<tr><td class="tthlbl">Высота:</td><td>85см</td></tr>						<tr><td class="tthlbl">Глубина:</td><td>58см</td></tr>						<tr><td class="tthlbl">Ширина:</td><td>59.5см</td></tr>						<tr><th colspan="2">Общие характеристики</th></tr>						<tr><td class="tthlbl">Максимальная загрузка белья:</td><td>7кг</td></tr>						<tr><td class="tthlbl">Тип сушки:</td><td>конденсационная</td></tr>						<tr><td class="tthlbl">Тип управления:</td><td>электронное</td></tr>						<tr><td class="tthlbl">Цвет:</td><td>нержавеющая сталь</td></tr>						<tr><th colspan="2">Отжим</th></tr>						<tr><td class="tthlbl">Скорость вращения при отжиме:</td><td>1400об/мин</td></tr>						<tr><th colspan="2">Технические характеристики</th></tr>						<tr><td class="tthlbl">Дисплей:</td><td>Есть</td></tr>						<tr><td class="tthlbl">Программы:</td><td>быстрая сушкаделикатные тканитеплый обдувхлопокхолодный обдувшерсть (сушка в корзине)</td></tr>					</table>;;assets/images/standalone/sushil_nyje_mashiny/Sushilnaya-mashina-MIELE-T-8822-C-stal_STUxMDYyVHRMMTgw.jpg;assets/images/standalone/sushil_nyje_mashiny/Sushilnaya-mashina-MIELE-T-8822-C-stal_STUxMDYyVGk.jpg;MIELE;
